FATP-QT,V2.3.8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Durations,Version,List of Failing Tests,Read_FATP_SN,PPORION_OVP_OUT_16V_CURR,PPORION_OVP_OUT_5V2_CURR,PORION_RVP_OUT_-16V_CURR,SYS_IDBUS_6V_VBUS_5V2_CURR,SYS_IDBUS_6V_VBUS_0V_CURR,SYS_IDBUS_-5V2_VBUS_0V_CURR,Query SFC Lang,Read Lang Blob,Query MLB SN,Read MLB SN,KBM SN,WO NO,Unit LBL,Build EVENT,Build MATRIX CONFIG,UNIT#,S BUILD,USBC BOARD SN,BACKLIGHT SN,TRACKPAD SN,TOUCH FLEX SN,P line SN,KBD_HW_Layout,READ_HW_VERSION,FW_VERSION_L4R5,FW_VERSION_MTFW,FW_VERSION_CCG3,MIX FW,Production signed check,GreenPAK ID,OrionPWR_On_Sys Voltage,OrionPWR_SYS_CURRENT_ALL_RAILS,OrionPWR_SYS_CURRENT_IDLE,OrionPWR_SYS_CURRENT_LEDs_to_0PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_3P8PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_100PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_UserMax_brightness,OrionPWR_SYS_CURRENT_CAPSLOCK_ONLY,OrionPWR_SYS_CURRENT_MFI_ONLY,OrionPWR_SYS_CURRENT_BLC_ONLY,OrionPWR_SYS_CURRENT_USBC_AltPWR_ONLY,OrionPWR_SYS_CURRENT_TOUCH_ONLY,OrionPWR_SYS_CURRENT_Energy_Storage_ONLY,OrionPWR_SYS_CURRENT_Energy_Storage,USBC_PWR_On_Sys Voltage,USBC_PWR_SYS_CURRENT_ALL_RAILS,USBC_PWR_SYS_CURRENT_IDLE,USBC_PWR_SYS_CURRENT_CAPSLOCK_ONLY,USBC_PWR_SYS_CURRENT_BLC_ONLY,USBC_PWR_SYS_CURRENT_MFI_ONLY,USBC_PWR_SYS_CURRENT_TOUCH_ONLY,USBC_PWR_SYS_CURRENT_Energy_Storage_ONLY,USBC_PWR_SYS_CURRENT_LEDs_to_100PCT_brightness,USBC_PWR_SYS_CURRENT_Energy_Storage_5V,5W_5V_1P0A_BRICKID_System_Curr,5W_5V_1P0A_BRICKID_CAPABILITY_Type,5W_5V_1P0A_BRICKID_CAPABILITY_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_Curr,5W_5V_1P0A_BRICKID_CAPABILITY_DM_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_DP_Vol,10W_5V_1P5A_BRICKID_System_Curr,10W_5V_1P5A_BRICKID_CAPABILITY_Type,10W_5V_1P5A_BRICKID_CAPABILITY_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_Curr,10W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,12.5W_5V_1P5A_BRICKID_System_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_Type,12.5W_5V_1P5A_BRICKID_CAPABILITY_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,CC_Rp_Capability_Type-56kohm_5V,CC_Rp_Capability_VOL-56kohm_5V,CC_Rp_Capability_CURR-56kohm_5V,CC_Rp_Capability_Type-22kohm_5V,CC_Rp_Capability_VOL-22kohm_5V,CC_Rp_Capability_CURR-22kohm_5V,CC_Rp_Capability_Type-10kohm_5V,CC_Rp_Capability_VOL-10kohm_5V,CC_Rp_Capability_CURR-10kohm_5V,5V_2P5A_CURR_USBC_PD,5V_2P5A_Charge_Type,5V_2P5A_Charge_Voltage,5V_2P5A_Charge_Capability,5V_2P5A_Orion_Power_Voltage,5V_2P5A_DUT_Input_Voltage,5V_2P5A_DCR,9V_2P5A_CURR_USBC_PD,9V_2P5A_Charge_Type,9V_2P5A_Charge_Voltage,9V_2P5A_Charge_Capability,9V_2P5A_Orion_Power_Voltage,9V_2P5A_DUT_Input_Voltage,9V_2P5A_DCR,PHASE1_CONSUMER_DUT_MODE,PHASE2_SYS_CURRENT_pre_swap_consumer,PHASE2_C2P_DUT_MODE,PHASE2_SYS_CURRENT_pre_swap_provider,PHASE3_Vol_IDBUS_provider,PHASE5_P2C_DUT_MODE,Read_PHASE5_BROWNOUT_STATUS,4V8_DUT_Applied_Voltage,4V8_MCU_AID_Rise_Time,4V8_MCU_AID_Fall_Time,4V8_MCU_VOH,4V8_MCU_VOL,4V8_MCU_Bits_period,2V4_DUT_Applied_Voltage,2V4_MCU_AID_Rise_Time,2V4_MCU_AID_Fall_Time,2V4_MCU_VOH,2V4_MCU_VOL,2V4_MCU_Bits_period,USBC Mux_In_Tristar CCG3_USB_VID,USBC Mux_In_Tristar CCG3_USB_PID,USBC Mux_In_Tristar STM32L4_VID,USBC Mux_In_Tristar STM32L4_PID
Upper Limited-------->,,,,,,,,,,,,,,11.5,8,0.1,0.23,0.22,-30,,,,,,,,,,,,,,,,,,4,624,1301,258,,0,3,4900,9.7,0.3,3.05,20.7,294,96,20.5,0.3,3.05,3.35,3.9,0.7,3.05,9100,12,8.4,17.5,9.25,8.4,10.5,8.4,178,7.5,1040,4,5000,1,2.1,1.25,1540,4,5000,1500,1.25,2.1,1540,4,5000,1500,2.1,2.1,5,5000,500,5,5000,1500,5,5000,3000,2540,6,5000,3000,4.85,5.25,0.221,2540,6,9000,3000,8.9,9.3,0.221,5,143,4,149,2900,5,1,4.9,70,66,1.95,0.2,10.2,2.5,70,90,1.85,0.2,10.2,1452,623,1452,623
Lower Limited-------->,,,,,,,,,,,,,,10.5,2,-0.3,0.19,0.19,-40,,,,,,,,,,,,,,,,,,4,624,1301,258,,0,3,4750,8.1,0.14,2.55,18.2,263,82,17,0.14,2.55,2.8,2.7,0.2,2.55,8900,8,6.2,13.75,7.25,6.2,7.9,6.3,148,5.5,980,4,5000,1,1.5,0.6,1480,4,5000,1500,0.6,1.5,1480,4,5000,1500,1.5,1.5,5,5000,500,5,5000,1500,5,5000,3000,2480,6,5000,3000,4.4,4.75,0.12,2480,6,9000,3000,8.35,8.9,0.12,5,108,4,114,2760,5,1,4.7,40,40,1.8,0,9.8,2.35,35,62,1.5,0,9.8,1452,623,1452,623
Measurement Units---->,,,,,,,,,,,,,,mA,mA,mA,mA,mA,mA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,,NA,NA,mV,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mV,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,NA,mV,A,V,V,mA,NA,mV,mA,V,V,mA,NA,mV,mA,V,V,NA,NA,NA,NA,NA,NA,NA,NA,NA,mA,NA,mV,mA,V,V,ohms,mA,NA,mV,mA,V,V,ohms,NA,mA,NA,mA,mV,NA,NA,V,ns,ns,V,V,us,V,ns,ns,V,V,us,NA,NA,NA,NA
FXLH,R128,FTPZR08XPPLC,R128-EVT,R128-EVT_E2AEN-TC2,,FXLH_F05-4FT-01_1_QT1,PASS,12-14-19:03:43,12-14-19:09:52,368.95,V2.3.8.0,PASS,FTPZR08XPPLC,11.08137316,3.264590462,-0.020072897,0.206651436,0.200728231,-37.38963802,US ENGLISH,02 01 01 05 49,DLX94850063N4735C,DLX94850063N4735C,C4P945700L4JCPQ38,WCS-JB001E,R128-EVT_E2AEN-TC2_C02785,R128-EVT,E2AEN-TC2,C02785,R128-EVT_E2AEN-TC2,DLX949200ECMW013K,GV29481000AN5TG5L,FM7944601JSKG9X5D+51J,C47946603HGJFK02J,DKB9487009JPQGM0Q,33,4,624,1301,258," ""1.0.29""",0,3,4805.377566,9.10312721,0.222141813,2.832728208,19.79568475,280.0922661,89.73090821,18.86746546,0.245808469,2.832057664,3.125085361,3.342793118,0.494782265,2.867944198,8999.402408,10.15519751,7.346362,15.50495707,8.165611784,7.365779311,9.378659631,7.408169945,164.126445,6.477009656,1009.977583,4,5000,1,1.812,0.892,1512.988773,4,5000,1500,0.892,1.786,1510.032786,4,5000,1500,1.812,1.786,5,5000,500,5,5000,1500,5,5000,3000,2508.286577,6,5000,3000,4.665018143,5.069563745,0.161283645,2506.497071,6,9000,3000,8.649911176,9.053693615,0.161094319,5,126.0602798,4,132.3556052,2817.980558,5,1,4.813445746,52.61,56.22,1.91451926,0.000752,10.014,2.428756273,53.9,74.25,1.689779929,0.000428,10.017,1452,623,1452,623
FXLH,R128,FTPZR08BPPLC,R128-EVT,R128-EVT_E2AEN-TC2,,FXLH_F05-4FT-01_1_QT1,PASS,12-14-19:56:46,12-14-20:02:58,371.11,V2.3.8.0,PASS,FTPZR08BPPLC,11.09499634,3.315993631,-0.019448811,0.207082221,0.201042984,-37.30734544,US ENGLISH,02 01 01 05 49,DLX9485004FN47356,DLX9485004FN47356,C4P945700VDJCPQ36,WCS-JB001E,R128-EVT_E2AEN-TC2_C02758,R128-EVT,E2AEN-TC2,C02758,R128-EVT_E2AEN-TC2,DLX9484020EMW013Q,GV29481000GN5TG5E,FM7944601EDKG9X54+51J,C47946603HLJFK02E,DKB94870084PQGM07,33,4,624,1301,258," ""1.0.29""",0,3,4805.504682,8.864238873,0.223458727,2.81774178,19.76429643,279.0652024,89.15235609,18.76323269,0.249490789,2.80141127,3.114737844,3.306499646,0.488939855,2.836933647,8999.783688,10.37185751,7.549357556,15.72835062,8.370582865,7.567153705,9.562885618,7.616068582,164.3322742,6.659570256,1010.222706,4,5000,1,1.806,0.902,1514.102072,4,5000,1500,0.902,1.806,1510.203712,4,5000,1500,1.832,1.806,5,5000,500,5,5000,1500,5,5000,3000,2508.381722,6,5000,3000,4.659170768,5.06951888,0.163590776,2506.620719,6,9000,3000,8.644423742,9.053917897,0.163365024,5,125.4707579,4,130.9686017,2820.231274,5,1,4.813498088,55.61,55.22,1.916956471,4.10E-05,10.022,2.428763751,56.9,75.25,1.687239684,0.000295,10.024,1452,623,1452,623
FXLH,R128,FTPZR07NPPLC,R128-EVT,R128-EVT_E2AEN-TC2,,FXLH_F05-4FT-01_1_QT1,PASS,12-14-20:11:50,12-14-20:17:56,365.24,V2.3.8.0,PASS,FTPZR07NPPLC,11.07715331,3.285959583,-0.020188493,0.205489892,0.199661344,-37.35833345,US ENGLISH,02 01 01 05 49,DLX9485005AN47358,DLX9485005AN47358,C4P945700EPJCPQ37,WCS-JB001E,R128-EVT_E2AEN-TC2_C02731,R128-EVT,E2AEN-TC2,C02731,R128-EVT_E2AEN-TC2,DLX94840213MW013Y,GV294810004N5TG5S,FM7944601YSKG9X55+51J,C47946600DZJFK02G,DKB94870083PQGM08,33,4,624,1301,258," ""1.0.29""",0,3,4805.459818,8.782271033,0.220705677,2.80286546,19.71121332,279.4500404,89.29247401,19.03760615,0.245784902,2.785811397,3.106411976,3.293086278,0.51411563,2.827838607,8999.252887,10.30360977,7.606674065,15.85204891,8.397669997,7.621319649,9.489528606,7.667211473,164.2841943,6.681499875,1010.304288,4,5000,1,1.832,0.928,1513.705016,4,5000,1500,0.928,1.832,1510.051135,4,5000,1500,1.856,1.832,5,5000,500,5,5000,1500,5,5000,3000,2508.376181,6,5000,3000,4.650302499,5.069474015,0.167108713,2506.523505,6,9000,3000,8.635811312,9.053701091,0.16672087,5,125.5923538,4,130.9627595,2807.594364,5,1,4.813460701,54.61,53.22,1.916881767,0.000245,9.998,2.428778706,53.9,75.25,1.688873657,0.000484,9.998,1452,623,1452,623
FXLH,R128,FTPZR07APPLC,R128-EVT,R128-EVT_E2AEN-TC2,,FXLH_F05-4FT-01_1_QT1,PASS,12-14-23:33:13,12-14-23:39:21,367.83,V2.3.8.0,PASS,FTPZR07APPLC,11.08310323,3.25627583,-0.019928905,0.206409783,0.200448043,-37.14864592,US ENGLISH,02 01 01 05 49,DLX94850053N4735F,DLX94850053N4735F,C4P9457009SJCPQ3K,WCS-JB001E,R128-EVT_E2AEN-TC2_C02723,R128-EVT,E2AEN-TC2,C02723,R128-EVT_E2AEN-TC2,DLX9484020CMW013S,GV29481003AN5TG5B,FM79446027YKG9X55+51J,C47946600AEJFK02A,DKB9487008SPQGM0K,33,4,624,1301,258," ""1.0.29""",0,3,4805.549547,9.091307666,0.220043097,2.810141664,19.76341683,284.6331721,90.93138223,18.96637916,0.244606511,2.826224047,3.116625018,3.429757831,0.478088024,2.856132903,8999.282791,10.39753779,7.505807588,15.76081744,8.334027495,7.525033045,9.605582814,7.563480967,167.3206726,6.567870041,1010.333069,4,5000,1,1.806,0.876,1515.952789,4,5000,1500,0.876,1.76,1508.617002,4,5000,1500,1.806,1.806,5,5000,500,5,5000,1500,5,5000,3000,2507.493822,6,5000,3000,4.663245984,5.069257169,0.161919117,2506.55677,6,9000,3000,8.649118713,9.053566521,0.161355934,5,127.0167072,4,132.8643907,2819.206862,5,1,4.813617728,54.61,55.22,1.917902992,0.000827,10.005,2.42885348,55.9,77.25,1.690124205,0.000881,10.001,1452,623,1452,623
FXLH,R128,FTPZR07GPPLC,R128-EVT,R128-EVT_E2AEN-TC2,,FXLH_F05-4FT-01_1_QT1,PASS,12-15-06:52:09,12-15-06:58:20,370.91,V2.3.8.0,PASS,FTPZR07GPPLC,11.07341585,3.290557944,-0.01984091,0.205145153,0.199262682,-37.43839503,US ENGLISH,02 01 01 05 49,DLX9485006AN47355,DLX9485006AN47355,C4P945700C5JCPQ3X,WCS-JB001E,R128-EVT_E2AEN-TC2_C02737,R128-EVT,E2AEN-TC2,C02737,R128-EVT_E2AEN-TC2,DLX948401X7MW0137,GV29481000PN5TG57,FM79446028QKG9X5A+51J,C47946602ADJFK029,DKB94870086PQGM05,33,4,624,1301,258," ""1.0.29""",0,3,4805.57198,8.976637084,0.22264913,2.803423209,19.80209352,282.0939817,90.00780866,18.88449667,0.246486613,2.818564816,3.136384099,3.359565529,0.495757058,2.835234384,8999.566882,10.32408204,7.57535186,15.76374253,8.394506957,7.594538864,9.587602874,7.639200173,164.9602752,6.705207963,1010.137388,4,5000,1,1.806,0.902,1510.396813,4,5000,1500,0.902,1.806,1508.565602,4,5000,1500,1.806,1.806,5,5000,500,5,5000,1500,5,5000,3000,2507.325049,6,5000,3000,4.656247081,5.069002935,0.164620002,2506.663664,6,9000,3000,8.64125389,9.053506713,0.16446276,5,127.1593058,4,131.7801057,2822.242711,5,1,4.813692502,55.61,54.22,1.917146975,0.000444,10.012,2.428846003,55.9,74.25,1.683296629,0.000249,10.011,1452,623,1452,623
FXLH,R128,FTPZV001PPLL,R128-EVT,R128-EVT_E2ISWI-M9,,FXLH_F05-4FT-01_3_QT1,PASS,12-14-18:01:33,12-14-18:07:44,370.94,V2.3.8.0,PASS,FTPZV001PPLL,11.07231213,3.270899534,-0.021764501,0.20574418,0.199811776,-37.44752474,SF SWISS,02 01 02 11 4A,DLX949700CFN4735B,DLX949700CFN4735B,C4P9467000QN34F36,WCR-JC000E,R128-EVT_E2ISWI-M9_C03181,R128-EVT,E2ISWI-M9,C03181,R128-EVT_E2ISWI-M9,DLX949200CZMW0134,GV29476000DP2RX56,FM7944603PRKG9X5X+52J,CR19485001RJFK011,DKB95040039PQGM09,13,4,624,1301,258," ""1.0.29""",0,3,4802.055122,8.941529329,0.224081654,2.807894011,19.79683886,280.6787397,89.59977013,18.68320838,0.247560506,2.806636041,3.140823082,3.363595264,0.540744491,2.865005551,9000.272095,10.1230115,7.34432592,15.46254355,8.165592987,7.357367766,9.367252076,7.404419267,164.7313255,6.453227977,1010.385727,4,5000,1,1.78,0.876,1520.999693,4,5000,1500,0.876,1.806,1509.751511,4,5000,1500,1.806,1.806,5,5000,500,5,5000,1500,5,5000,3000,2507.47574,6,5000,3000,4.650225052,5.061913237,0.164184314,2506.896855,6,9000,3000,8.636448554,9.046308009,0.163492748,5,126.1605864,4,131.9814849,2825.646709,5,1,4.810161899,54.7,50.9,1.923226597,0.00095,10.022,2.425236219,54,73.37,1.700951733,0.000855,10.021,1452,623,1452,623
FXLH,R128,FTPZR07GPPLC,R128-EVT,R128-EVT_E2AEN-TC2,,FXLH_F05-4FT-01_3_QT1,PASS,12-14-19:01:07,12-14-19:07:13,365.51,V2.3.8.0,PASS,FTPZR07GPPLC,11.07760054,3.292918233,-0.021004063,0.204035948,0.198165318,-37.48090522,US ENGLISH,02 01 01 05 49,DLX9485006AN47355,DLX9485006AN47355,C4P945700C5JCPQ3X,WCS-JB001E,R128-EVT_E2AEN-TC2_C02737,R128-EVT,E2AEN-TC2,C02737,R128-EVT_E2AEN-TC2,DLX948401X7MW0137,GV29481000PN5TG57,FM79446028QKG9X5A+51J,C47946602ADJFK029,DKB94870086PQGM05,33,4,624,1301,258," ""1.0.29""",0,3,4801.995293,8.836697461,0.223666866,2.80099436,19.79319387,283.1484094,90.0478862,18.90088137,0.245222312,2.800745491,3.102623687,3.342311291,0.472147342,2.84456512,9000.249664,10.4128339,7.577692333,15.77015319,8.401430852,7.595422705,9.607582703,7.641468482,165.0405256,6.704146334,1010.434544,4,5000,1,1.806,0.902,1510.512119,4,5000,1500,0.902,1.806,1510.38797,4,5000,1500,1.806,1.806,5,5000,500,5,5000,1500,5,5000,3000,2508.886232,6,5000,3000,4.640570209,5.062242294,0.168071425,2509.032618,6,9000,3000,8.625920932,9.04675663,0.167728269,5,125.9293722,4,131.5576722,2824.450137,5,1,4.810199292,53.7,49.9,1.923509273,0.000867,10.01,2.425266133,53,76.37,1.690518361,0.000191,10.012,1452,623,1452,623
