QT1,V2.3.7.0 - All,,,,,,,,,,,Parametric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,2V4_DUT_Applied_Voltage,2V4_MCU_AID_Fall_Time,2V4_MCU_AID_Rise_Time,2V4_MCU_Bits_period,2V4_MCU_VOH,2V4_MCU_VOL,4V8_DUT_Applied_Voltage,4V8_MCU_AID_Fall_Time,4V8_MCU_AID_Rise_Time,4V8_MCU_Bits_period,4V8_MCU_VOH,4V8_MCU_VOL,5V_2P5A_Charge_Capability,5V_2P5A_Charge_Type,5V_2P5A_Charge_Voltage,5V_2P5A_CURR_USBC_PD,5V_2P5A_DCR,5V_2P5A_DUT_Input_Voltage,5V_2P5A_Orion_Power_Voltage,5W_5V_1P0A_BRICKID_CAPABILITY_Curr,5W_5V_1P0A_BRICKID_CAPABILITY_DM_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_DP_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_Type,5W_5V_1P0A_BRICKID_CAPABILITY_Vol,5W_5V_1P0A_BRICKID_System_Curr,9V_2P5A_Charge_Capability,9V_2P5A_Charge_Type,9V_2P5A_Charge_Voltage,9V_2P5A_CURR_USBC_PD,9V_2P5A_DCR,9V_2P5A_DUT_Input_Voltage,9V_2P5A_Orion_Power_Voltage,10W_5V_1P5A_BRICKID_CAPABILITY_Curr,10W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_Type,10W_5V_1P5A_BRICKID_CAPABILITY_Vol,10W_5V_1P5A_BRICKID_System_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_Type,12.5W_5V_1P5A_BRICKID_CAPABILITY_Vol,12.5W_5V_1P5A_BRICKID_System_Curr,CC_Rp_Capability_CURR-10kohm_5V,CC_Rp_Capability_CURR-22kohm_5V,CC_Rp_Capability_CURR-56kohm_5V,CC_Rp_Capability_Type-10kohm_5V,CC_Rp_Capability_Type-22kohm_5V,CC_Rp_Capability_Type-56kohm_5V,CC_Rp_Capability_VOL-10kohm_5V,CC_Rp_Capability_VOL-22kohm_5V,CC_Rp_Capability_VOL-56kohm_5V,FW_VERSION_CCG3,FW_VERSION_L4R5,FW_VERSION_MTFW,GreenPAK ID,KBD_HW_Layout,OrionPWR_On_Sys Voltage,OrionPWR_SYS_CURRENT_ALL_RAILS,OrionPWR_SYS_CURRENT_BLC_ONLY,OrionPWR_SYS_CURRENT_CAPSLOCK_ONLY,OrionPWR_SYS_CURRENT_Energy_Storage,OrionPWR_SYS_CURRENT_Energy_Storage_ONLY,OrionPWR_SYS_CURRENT_IDLE,OrionPWR_SYS_CURRENT_LEDs_to_0PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_3P8PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_100PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_UserMax_brightness,OrionPWR_SYS_CURRENT_MFI_ONLY,OrionPWR_SYS_CURRENT_TOUCH_ONLY,OrionPWR_SYS_CURRENT_USBC_AltPWR_ONLY,PHASE1_CONSUMER_DUT_MODE,PHASE2_C2P_DUT_MODE,PHASE2_SYS_CURRENT_pre_swap_consumer,PHASE2_SYS_CURRENT_pre_swap_provider,PHASE3_Vol_IDBUS_provider,PHASE5_P2C_DUT_MODE,PORION_RVP_OUT_-16V_CURR,PPORION_OVP_OUT_5V2_CURR,PPORION_OVP_OUT_16V_CURR,Production signed check,READ_HW_VERSION,Read_PHASE5_BROWNOUT_STATUS,SYS_IDBUS_6V_VBUS_0V_CURR,SYS_IDBUS_6V_VBUS_5V2_CURR,SYS_IDBUS_-5V2_VBUS_0V_CURR,USBC Mux_In_Tristar CCG3_USB_PID,USBC Mux_In_Tristar CCG3_USB_VID,USBC Mux_In_Tristar STM32L4_PID,USBC Mux_In_Tristar STM32L4_VID,USBC_PWR_On_Sys Voltage,USBC_PWR_SYS_CURRENT_ALL_RAILS,USBC_PWR_SYS_CURRENT_BLC_ONLY,USBC_PWR_SYS_CURRENT_CAPSLOCK_ONLY,USBC_PWR_SYS_CURRENT_Energy_Storage_5V,USBC_PWR_SYS_CURRENT_Energy_Storage_ONLY,USBC_PWR_SYS_CURRENT_IDLE,USBC_PWR_SYS_CURRENT_LEDs_to_100PCT_brightness,USBC_PWR_SYS_CURRENT_MFI_ONLY,USBC_PWR_SYS_CURRENT_TOUCH_ONLY
Display Name ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCA Priority ----->,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Limit ----->,,,,,,,,,,,,2.5,90,70,10.2,1.85,0.2,4.9,66,70,10.2,1.95,0.2,3000,6,5000,2540,0.221,5.25,4.85,1,2.1,1.25,4,5000,1040,3000,6,9000,2540,0.221,9.3,8.9,1500,1.25,2.1,4,5000,1540,1500,2.1,2.1,4,5000,1540,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,NA,4900,9.7,3.05,20.5,3.05,0.7,0.3,3.05,20.7,294,96,0.3,3.9,3.35,5,4,143,149,2900,5,0.1,8,11.5,0,4,1,0.22,0.23,-30,623,1452,623,1452,9100,12,9.25,17.5,7.5,8.4,8.4,178,8.4,10.5
Lower Limit ----->,,,,,,,,,,,,2.35,62,35,9.8,1.5,0,4.7,40,40,9.8,1.8,0,3000,6,5000,2480,0.12,4.75,4.4,1,1.5,0.6,4,5000,980,3000,6,9000,2480,0.12,8.9,8.35,1500,0.6,1.5,4,5000,1480,1500,1.5,1.5,4,5000,1480,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,NA,4750,8.1,2.55,17,2.55,0.2,0.14,2.55,18.2,263,82,0.14,2.7,2.8,5,4,108,114,2760,5,-0.3,2,10.5,0,4,1,0.19,0.19,-40,623,1452,623,1452,8900,8,7.25,13.75,5.5,6.3,6.2,148,6.2,7.9
Measurement Unit ----->,,,,,,,,,,,,V,ns,ns,us,V,V,V,ns,ns,us,V,V,mA,NA,mV,mA,ohms,V,V,A,V,V,NA,mV,mA,mA,NA,mV,mA,ohms,V,V,mA,V,V,NA,mV,mA,mA,V,V,NA,mV,mA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mV,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,NA,NA,mA,mA,mV,NA,mA,mA,mA,NA,NA,NA,mA,mA,mA,NA,NA,NA,NA,mV,mA,mA,mA,mA,mA,mA,mA,mA,mA
FXLH,R128,FTPZR070PPLC,R128-EVT,R128-EVT_E2AEN-TC2,,FXLH_F05-4FT-01_4_QT1,PASS,2019/12/14 09:42,2019/12/14 09:48,V2.3.7.0,,2.428155599,76,55.9,9.994,1.717767932,0.006858,4.812646756,55,56,9.995,1.927576834,0.009363,3000,6,5000,2509.997922,0.165193628,5.048360812,4.633725149,1,1.832,0.902,4,5000,1010.92307,3000,6,9000,2510.290343,0.164920472,9.051480685,8.637482416,1500,0.902,1.832,4,5000,1514.480058,1500,1.812,1.832,4,5000,1511.235898,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,33,4804.274276,9.024552155,2.833679264,18.50297522,2.850443163,0.491021776,0.223532819,2.816232917,19.80829831,280.3810889,89.33393503,0.246965863,3.398993567,3.097374026,5,4,125.401261,130.2620833,2828.346681,5,-0.01915701,3.3315554,11.0912807,0,4,1,0.200543056,0.206464575,-37.09517934,623,1452,623,1452,9000.815517,10.13432903,8.074035834,15.27640086,6.394819992,7.314771636,7.256500757,163.8360931,7.266965025,9.17929724
FXLH,R128,FTPZR070PPLC,R128-EVT,R128-EVT_E2AEN-TC2,,FXLH_F05-4FT-01_4_QT1,PASS,2019/12/14 09:53,2019/12/14 09:59,V2.3.7.0,,2.42820788,78,55.9,9.994,1.718099973,0.007604,4.812654225,58,54,9.994,1.928647139,0.008819,3000,6,5000,2509.971572,0.16410628,5.048360812,4.636458715,1,1.832,0.902,4,5000,1010.927768,3000,6,9000,2508.631758,0.164068063,9.051525488,8.639939135,1500,0.902,1.832,4,5000,1519.392689,1500,1.832,1.832,4,5000,1511.188517,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,33,4804.25187,9.063894364,2.815894745,18.50219406,2.841731712,0.471304627,0.221748926,2.818538029,19.78503398,280.5352531,89.31455679,0.249155038,3.531736038,3.097630754,5,4,125.8152972,130.6332722,2828.578212,5,-0.019209088,3.328386939,11.09176486,0,4,1,0.200512286,0.20649095,-37.09335141,623,1452,623,1452,9000.897656,10.0299182,8.072673011,15.28287818,6.400445404,7.312163152,7.256898212,163.79719,7.26791144,9.159950217
FXLH,R128,FTPZR070PPLC,R128-EVT,R128-EVT_E2AEN-TC2,,FXLH_F05-4FT-01_4_QT1,PASS,2019/12/14 10:00,2019/12/14 10:06,V2.3.7.0,,2.428252693,81,53.9,9.992,1.718676674,0.006643,4.812639287,55,55,9.992,1.926163081,0.008675,3000,6,5000,2509.978276,0.164983652,5.048308531,4.634203149,1,1.832,0.902,4,5000,1011.0177,3000,6,9000,2510.778979,0.164394681,9.051503087,8.638744378,1500,0.902,1.832,4,5000,1519.68179,1500,1.812,1.832,4,5000,1511.278315,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,33,4804.229464,9.008397084,2.817402751,18.50274714,2.842492919,0.484366707,0.221740455,2.817908085,19.7813389,280.9188331,89.36584642,0.247086196,3.390873809,3.098469071,5,4,125.8853876,131.3222549,2828.667837,5,-0.019141686,3.334861108,11.09222212,0,4,1,0.20061461,0.206589184,-37.09221666,623,1452,623,1452,9001.039534,10.04259036,8.074426816,15.28110629,6.397226208,7.311077998,7.25734572,163.8523122,7.268556859,9.24718568
FXLH,R128,FTPZR07LPPLC,R128-EVT,R128-EVT_E2AEN-TC2,,FXLH_F05-4FT-01_3_QT1,PASS,2019/12/14 09:40,2019/12/14 09:46,V2.3.7.0,,2.425303526,75.37,53,10.008,1.686961079,0.000766,4.810296514,51.9,51.7,10.01,1.916391592,0.000276,3000,6,5000,2509.002892,0.17999534,5.062145073,4.610536244,1,1.806,0.902,4,5000,1010.75771,3000,6,9000,2507.086753,0.17799545,9.046659429,8.600409394,1500,0.928,1.832,4,5000,1513.476911,1500,1.806,1.832,4,5000,1510.655663,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,33,4802.182258,8.943291175,2.820223441,18.81979629,2.840916896,0.47478176,0.220405173,2.804961721,19.73190265,284.5531799,89.61745021,0.243582859,3.416165716,3.134223992,5,4,125.8848344,132.6066118,2824.509966,5,-0.020773396,3.259558492,11.06803039,0,4,1,0.199325036,0.205229212,-37.31657439,623,1452,623,1452,9000.15994,10.59887888,8.519588114,15.91910091,6.780757026,7.748934583,7.701724274,165.6278095,7.718816353,9.716272228
FXLH,R128,FTPZR07LPPLC,R128-EVT,R128-EVT_E2AEN-TC2,,FXLH_F05-4FT-01_3_QT1,PASS,2019/12/14 09:47,2019/12/14 09:53,V2.3.7.0,,2.425303526,76.37,54,10.014,1.685719733,0.000563,4.810303992,50.9,54.7,10.005,1.915809655,0.000641,3000,6,5000,2508.542799,0.176319686,5.061995501,4.619690022,1,1.806,0.902,4,5000,1010.517643,3000,6,9000,2507.163299,0.175714554,9.046450072,8.605904992,1500,0.928,1.832,4,5000,1513.918214,1500,1.806,1.832,4,5000,1510.714864,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,33,4802.339308,8.950567556,2.822275067,18.81999527,2.840698823,0.478713314,0.220634206,2.80570405,19.71341926,284.5051124,89.66657469,0.243706146,3.474200308,3.138731068,5,4,126.4823174,131.95212,2824.554837,5,-0.020461889,3.268014353,11.06905388,0,4,1,0.199517263,0.20551187,-37.31062358,623,1452,623,1452,9000.436589,10.49448573,8.527311299,15.9071357,6.781144597,7.758118476,7.702602362,165.7250621,7.719962505,9.75672328
