FATP-QT,,,,,,,,,,,,Parametric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,2V4_DUT_Applied_Voltage,2V4_MCU_AID_Fall_Time,2V4_MCU_AID_Rise_Time,2V4_MCU_Bits_period,2V4_MCU_VOH,2V4_MCU_VOL,4V8_DUT_Applied_Voltage,4V8_MCU_AID_Fall_Time,4V8_MCU_AID_Rise_Time,4V8_MCU_Bits_period,4V8_MCU_VOH,4V8_MCU_VOL,5V_2P5A_Charge_Capability,5V_2P5A_Charge_Type,5V_2P5A_Charge_Voltage,5V_2P5A_CURR_USBC_PD,5V_2P5A_DCR,5V_2P5A_DUT_Input_Voltage,5V_2P5A_Orion_Power_Voltage,5W_5V_1P0A_BRICKID_CAPABILITY_Curr,5W_5V_1P0A_BRICKID_CAPABILITY_DM_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_DP_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_Type,5W_5V_1P0A_BRICKID_CAPABILITY_Vol,5W_5V_1P0A_BRICKID_System_Curr,9V_2P5A_Charge_Capability,9V_2P5A_Charge_Type,9V_2P5A_Charge_Voltage,9V_2P5A_CURR_USBC_PD,9V_2P5A_DCR,9V_2P5A_DUT_Input_Voltage,9V_2P5A_Orion_Power_Voltage,10W_5V_1P5A_BRICKID_CAPABILITY_Curr,10W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_Type,10W_5V_1P5A_BRICKID_CAPABILITY_Vol,10W_5V_1P5A_BRICKID_System_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_Type,12.5W_5V_1P5A_BRICKID_CAPABILITY_Vol,12.5W_5V_1P5A_BRICKID_System_Curr,CC_Rp_Capability_CURR-10kohm_5V,CC_Rp_Capability_CURR-22kohm_5V,CC_Rp_Capability_CURR-56kohm_5V,CC_Rp_Capability_Type-10kohm_5V,CC_Rp_Capability_Type-22kohm_5V,CC_Rp_Capability_Type-56kohm_5V,CC_Rp_Capability_VOL-10kohm_5V,CC_Rp_Capability_VOL-22kohm_5V,CC_Rp_Capability_VOL-56kohm_5V,FW_VERSION_CCG3,FW_VERSION_L4R5,FW_VERSION_MTFW,GreenPAK ID,KBD_HW_Layout,OrionPWR_On_Sys Voltage,OrionPWR_SYS_CURRENT_ALL_RAILS,OrionPWR_SYS_CURRENT_BLC_ONLY,OrionPWR_SYS_CURRENT_CAPSLOCK_ONLY,OrionPWR_SYS_CURRENT_Energy_Storage,OrionPWR_SYS_CURRENT_Energy_Storage_ONLY,OrionPWR_SYS_CURRENT_IDLE,OrionPWR_SYS_CURRENT_LEDs_to_0PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_3P8PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_100PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_UserMax_brightness,OrionPWR_SYS_CURRENT_MFI_ONLY,OrionPWR_SYS_CURRENT_TOUCH_ONLY,OrionPWR_SYS_CURRENT_USBC_AltPWR_ONLY,PHASE1_CONSUMER_DUT_MODE,PHASE2_C2P_DUT_MODE,PHASE2_SYS_CURRENT_pre_swap_consumer,PHASE2_SYS_CURRENT_pre_swap_provider,PHASE3_Vol_IDBUS_provider,PHASE5_P2C_DUT_MODE,PORION_RVP_OUT_-16V_CURR,PPORION_OVP_OUT_5V2_CURR,PPORION_OVP_OUT_16V_CURR,Production signed check,READ_HW_VERSION,Read_PHASE5_BROWNOUT_STATUS,SYS_IDBUS_6V_VBUS_0V_CURR,SYS_IDBUS_6V_VBUS_5V2_CURR,SYS_IDBUS_-5V2_VBUS_0V_CURR,USBC Mux_In_Tristar CCG3_USB_PID,USBC Mux_In_Tristar CCG3_USB_VID,USBC Mux_In_Tristar STM32L4_PID,USBC Mux_In_Tristar STM32L4_VID,USBC_PWR_On_Sys Voltage,USBC_PWR_SYS_CURRENT_ALL_RAILS,USBC_PWR_SYS_CURRENT_BLC_ONLY,USBC_PWR_SYS_CURRENT_CAPSLOCK_ONLY,USBC_PWR_SYS_CURRENT_Energy_Storage_5V,USBC_PWR_SYS_CURRENT_Energy_Storage_ONLY,USBC_PWR_SYS_CURRENT_IDLE,USBC_PWR_SYS_CURRENT_LEDs_to_100PCT_brightness,USBC_PWR_SYS_CURRENT_MFI_ONLY,USBC_PWR_SYS_CURRENT_TOUCH_ONLY
Display Name ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCA Priority ----->,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Limit ----->,,,,,,,,,,,,2.5,90,85,10.2,1.85,0.2,4.9,75,77,10.2,1.95,0.2,3000,6,5000,2540,0.205,5.25,5,1,2.1,1.25,4,5000,1040,3000,6,9000,2540,0.205,9.3,8.9,1500,1.25,2.1,4,5000,1540,1500,2.1,2.1,4,5000,1540,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,NA,4900,9.7,3.05,20.5,3.05,0.7,0.3,3.05,18,235,87,0.3,3.9,3.35,5,4,135,140,2900,5,0.1,8,11.5,0,4,1,0.22,0.23,-30,622,1452,622,1452,9100,12,9.25,17.5,7.5,8.4,8.4,142,8.4,10.5
Lower Limit ----->,,,,,,,,,,,,2.35,62,35,9.8,1.5,0,4.7,40,40,9.8,1.8,0,3000,6,5000,2480,0.12,5,4.4,1,1.5,0.6,4,5000,980,3000,6,9000,2480,0.12,8.9,8.5,1500,0.6,1.5,4,5000,1480,1500,1.5,1.5,4,5000,1480,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,NA,4750,8.1,2.55,17,2.55,0.2,0.14,2.55,15,205,75,0.14,2.7,2.8,5,4,100,106,2760,5,-0.3,2,10.5,0,4,1,0.19,0.19,-40,622,1452,622,1452,8900,8,7.25,13.75,5.5,6.3,6.2,122,6.2,7.9
Measurement Unit ----->,,,,,,,,,,,,V,ns,ns,us,V,V,V,ns,ns,us,V,V,mA,NA,mV,mA,ohms,V,V,A,V,V,NA,mV,mA,mA,NA,mV,mA,ohms,V,V,mA,V,V,NA,mV,mA,mA,V,V,NA,mV,mA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mV,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,NA,NA,mA,mA,mV,NA,mA,mA,mA,NA,NA,NA,mA,mA,mA,NA,NA,NA,NA,mV,mA,mA,mA,mA,mA,mA,mA,mA,mA
FXLH,R118,FTPZQ01PPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_6_QT1,PASS,2019/12/18 17:26,2019/12/18 17:32,V1.2.8.1,,2.425545262,80,56.5,10.002,1.706964449,0.000204,4.809800438,52,53,10.006,1.914445986,0.001457,3000,6,5000,2510.176521,0.155586727,5.067670659,4.67712051,1,1.78,0.876,4,5000,1010.74222,3000,6,9000,2508.563611,0.15517573,9.050954336,8.661686147,1500,0.876,1.78,4,5000,1522.118516,1500,1.78,1.78,4,5000,1511.301502,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,33,4801.631961,8.727275463,2.780521444,18.95088496,2.815046526,0.511398276,0.223209807,2.796796353,16.77192191,220.9228454,81.37329965,0.248294276,3.484455535,3.125289567,5,4,117.8688288,122.3739479,2829.858734,5,-0.019522809,3.359021703,11.0564486,0,4,1,0.200233568,0.206183911,-37.11216267,622,1452,622,1452,9000.237297,10.2372126,8.222385591,15.63979267,6.560646966,7.47216467,7.420712743,131.6907171,7.43548684,9.265827091
FXLH,R118,FTPZQ01PPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_6_QT1,PASS,2019/12/18 17:33,2019/12/18 17:38,V1.2.8.1,,2.425560181,78,56.5,10.005,1.708080558,0.000381,4.809860116,52,51,10.008,1.913251046,0.00153,3000,6,5000,2510.223977,0.154894336,5.067745257,4.67892578,1,1.78,0.876,4,5000,1010.831468,3000,6,9000,2508.621848,0.154755893,9.051088587,8.662864573,1500,0.876,1.78,4,5000,1511.800598,1500,1.78,1.78,4,5000,1510.231644,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,33,4801.609582,8.76086661,2.780304678,18.96719047,2.814570057,0.489105472,0.223081199,2.797740559,16.76314715,221.0401874,81.37213514,0.248415511,3.370097516,3.1238659,5,4,117.9320618,123.210612,2830.02285,5,-0.019532886,3.359741385,11.05806317,0,4,1,0.200362504,0.206253967,-37.11323738,622,1452,622,1452,9000.707176,10.12887576,8.233842606,15.64543695,6.563323221,7.488016736,7.420641632,131.7010744,7.43649734,9.289632652
FXLH,R118,FTPZQ01PPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_6_QT1,PASS,2019/12/18 17:39,2019/12/18 17:45,V1.2.8.1,,2.425582561,76,54.5,10.006,1.708752039,0.000859,4.809934714,51,52,10.004,1.913537952,0.001872,3000,6,5000,2508.630754,0.154629924,5.067700498,4.679791116,1,1.78,0.876,4,5000,1011.125116,3000,6,9000,2508.639437,0.154412904,9.051066212,8.663699912,1500,0.876,1.78,4,5000,1522.286971,1500,1.78,1.78,4,5000,1510.740267,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,33,4801.758778,8.730266294,2.780817917,18.96676272,2.828236629,0.488016817,0.223326246,2.796428908,16.77315471,220.8850192,81.35728589,0.248244381,3.45236972,3.115257014,5,4,117.9282327,122.9710357,2830.164586,5,-0.019309656,3.361108189,11.0590734,0,4,1,0.200469146,0.2063884,-37.11554097,622,1452,622,1452,9000.602758,10.1207098,8.233328695,15.64465657,6.565962463,7.488730128,7.420192959,131.7154702,7.436002171,9.349939158
FXLH,R118,FTPZV003PPHX,R118-EVT,R118-EVT_E1IIC-M8,,FXLH_F05-4FT-02_6_QT1,PASS,2019/12/18 17:04,2019/12/18 17:11,V1.2.8.1,,2.425701917,73,54.5,10.008,1.695798821,0.000871,4.809837737,51,52,10.004,1.906097443,0.001389,3000,6,5000,2509.540669,0.160423883,5.067872074,4.665281814,1,1.78,0.876,4,5000,1011.30977,3000,6,9000,2508.45236,0.159345235,9.051215379,8.651505448,1500,0.876,1.78,4,5000,1512.063835,1500,1.78,1.78,4,5000,1511.276557,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,13,4801.646881,9.023484174,2.829996531,18.56830061,2.864490464,0.491894477,0.221435264,2.848382847,16.78855314,219.8557775,81.70469479,0.245939941,3.479110139,3.142719706,5,4,118.0376418,123.1743054,2824.696556,5,-0.020970106,3.232068295,11.07855648,0,4,1,0.200534744,0.206580124,-37.3639663,622,1452,622,1452,8999.976254,10.40313648,8.506187775,15.77047499,6.839680178,7.744707427,7.685066371,131.6368686,7.707096415,9.647246309
FXLH,R118,FTPZV003PPHX,R118-EVT,R118-EVT_E1IIC-M8,,FXLH_F05-4FT-02_6_QT1,PASS,2019/12/18 17:11,2019/12/18 17:17,V1.2.8.1,,2.425769055,77,53.5,10.013,1.69523787,0.000072,4.809934714,51,51,10.008,1.904536029,0.00153,3000,6,5000,2510.423442,0.158667757,5.067715418,4.669392161,1,1.78,0.876,4,5000,1011.257225,3000,6,9000,2510.532371,0.158348701,9.051178087,8.653638546,1500,0.876,1.78,4,5000,1522.167558,1500,1.78,1.78,4,5000,1511.357304,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,13,4801.773697,9.026605058,2.832433361,18.5660503,2.879431246,0.495718145,0.221445019,2.846803064,16.76754855,219.898921,81.72193627,0.246354136,3.341720352,3.152132623,5,4,119.8175606,122.3221687,2824.823372,5,-0.019962733,3.225446155,11.08017385,0,4,1,0.200796463,0.206760243,-37.36511221,622,1452,622,1452,9000.416298,10.40423224,8.513394187,15.77324948,6.860058614,7.739514268,7.685145119,131.5932607,7.708054729,9.647868658
