QT1,V2.3.2.0 - All,,,,,,,,,,,Parametric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,2V4_DUT_Applied_Voltage,2V4_MCU_AID_Fall_Time,2V4_MCU_AID_Rise_Time,2V4_MCU_Bits_period,2V4_MCU_VOH,2V4_MCU_VOL,4V8_DUT_Applied_Voltage,4V8_MCU_AID_Fall_Time,4V8_MCU_AID_Rise_Time,4V8_MCU_Bits_period,4V8_MCU_VOH,4V8_MCU_VOL,5V_2P5A_Charge_Capability,5V_2P5A_Charge_Type,5V_2P5A_Charge_Voltage,5V_2P5A_CURR_USBC_PD,5V_2P5A_DCR,5V_2P5A_DUT_Input_Voltage,5V_2P5A_Orion_Power_Voltage,5W_5V_1P0A_BRICKID_CAPABILITY_Curr,5W_5V_1P0A_BRICKID_CAPABILITY_DM_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_DP_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_Type,5W_5V_1P0A_BRICKID_CAPABILITY_Vol,5W_5V_1P0A_BRICKID_System_Curr,9V_2P5A_Charge_Capability,9V_2P5A_Charge_Type,9V_2P5A_Charge_Voltage,9V_2P5A_CURR_USBC_PD,9V_2P5A_DCR,9V_2P5A_DUT_Input_Voltage,9V_2P5A_Orion_Power_Voltage,10W_5V_1P5A_BRICKID_CAPABILITY_Curr,10W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_Type,10W_5V_1P5A_BRICKID_CAPABILITY_Vol,10W_5V_1P5A_BRICKID_System_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_Type,12.5W_5V_1P5A_BRICKID_CAPABILITY_Vol,12.5W_5V_1P5A_BRICKID_System_Curr,Atlas Hyperion Closed,CB Error Could not set FAIL CB,CB Error Could not set PASS CB,CC_Rp_Capability_CURR-10kohm_5V,CC_Rp_Capability_CURR-22kohm_5V,CC_Rp_Capability_CURR-56kohm_5V,CC_Rp_Capability_Type-10kohm_5V,CC_Rp_Capability_Type-22kohm_5V,CC_Rp_Capability_Type-56kohm_5V,CC_Rp_Capability_VOL-10kohm_5V,CC_Rp_Capability_VOL-22kohm_5V,CC_Rp_Capability_VOL-56kohm_5V,CC_Rp_SYS_CURR-10kohm_5V,CC_Rp_SYS_CURR-22kohm_5V,CC_Rp_SYS_Curr-56kohm_5V,FW_VERSION_CCG3,FW_VERSION_L4R5,FW_VERSION_MTFW,GreenPAK ID,KBD_HW_Layout,OrionPWR_On_Sys Voltage error,OrionPWR_On_Sys Voltage,OrionPWR_SYS_CURRENT_ALL_RAILS error,OrionPWR_SYS_CURRENT_ALL_RAILS,OrionPWR_SYS_CURRENT_BLC_ONLY error,OrionPWR_SYS_CURRENT_BLC_ONLY,OrionPWR_SYS_CURRENT_CAPSLOCK_ONLY error,OrionPWR_SYS_CURRENT_CAPSLOCK_ONLY,OrionPWR_SYS_CURRENT_Energy_Storage error,OrionPWR_SYS_CURRENT_Energy_Storage,OrionPWR_SYS_CURRENT_Energy_Storage_ONLY error,OrionPWR_SYS_CURRENT_Energy_Storage_ONLY,OrionPWR_SYS_CURRENT_IDLE error,OrionPWR_SYS_CURRENT_IDLE,OrionPWR_SYS_CURRENT_LEDs_to_0PCT_brightness error,OrionPWR_SYS_CURRENT_LEDs_to_0PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_3P8PCT_brightness error,OrionPWR_SYS_CURRENT_LEDs_to_3P8PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_100PCT_brightness error,OrionPWR_SYS_CURRENT_LEDs_to_100PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_UserMax_brightness error,OrionPWR_SYS_CURRENT_LEDs_to_UserMax_brightness,OrionPWR_SYS_CURRENT_MFI_ONLY error,OrionPWR_SYS_CURRENT_MFI_ONLY,OrionPWR_SYS_CURRENT_TOUCH_ONLY error,OrionPWR_SYS_CURRENT_TOUCH_ONLY,OrionPWR_SYS_CURRENT_USBC_AltPWR_ONLY error,OrionPWR_SYS_CURRENT_USBC_AltPWR_ONLY,PHASE1_CONSUMER_DUT_MODE,PHASE2_C2P_DUT_MODE,PHASE2_SYS_CURRENT_pre_swap_consumer,PHASE2_SYS_CURRENT_pre_swap_provide,PHASE3_Vol_IDBUS_provider,PHASE5:P2C_DUT_MODE,PORION_RVP_OUT_-16V_CURR error,PORION_RVP_OUT_-16V_CURR,PPORION_OVP_OUT_5V2_CURR error,PPORION_OVP_OUT_5V2_CURR,PPORION_OVP_OUT_16V_CURR error,PPORION_OVP_OUT_16V_CURR,Production signed check,READ_HW_VERSION,Read_PHASE5_BROWNOUT_STATUS,SYS_IDBUS_6V_VBUS_0V_CURR error,SYS_IDBUS_6V_VBUS_0V_CURR,SYS_IDBUS_6V_VBUS_5V2_CURR error,SYS_IDBUS_6V_VBUS_5V2_CURR,SYS_IDBUS_-5V2_VBUS_0V_CURR error,SYS_IDBUS_-5V2_VBUS_0V_CURR,USBC_PWR_On_Sys Voltage error,USBC_PWR_On_Sys Voltage,USBC_PWR_SYS_CURRENT_ALL_RAILS,USBC_PWR_SYS_CURRENT_BLC_ONLY,USBC_PWR_SYS_CURRENT_CAPSLOCK_ONLY,USBC_PWR_SYS_CURRENT_Energy_Storage_5V,USBC_PWR_SYS_CURRENT_Energy_Storage_ONLY,USBC_PWR_SYS_CURRENT_IDLE,USBC_PWR_SYS_CURRENT_LEDs_to_100PCT_brightness,USBC_PWR_SYS_CURRENT_MFI_ONLY,USBC_PWR_SYS_CURRENT_TOUCH_ONLY, 
Display Name ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCA Priority ----->,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,
Upper Limit ----->,,,,,,,,,,,,2.5,88,84,10.15,1.85,0.08,4.9,66,77,10.15,1.95,0.08,3000,6,5000,2540,0.19,5.25,5.15,1,3.6,1.426,4,5000,1040,3000,6,9000,2540,0.19,9.45,9.1,1500,1.426,3.6,4,5000,1540,1500,3.6,3.6,4,5000,1540,NA,NA,NA,3000,1500,500,5,5,5,5000,5000,5000,22,22,22,258,624,1301,3,NA,NA,4900,NA,11.5,NA,3.84,NA,20,NA,4.16,NA,0.7,NA,0.24,NA,3.84,NA,20.9,NA,293,NA,96.5,NA,0.24,NA,5,NA,3.35,5,4,140,165,2960,5,NA,0.1,NA,8,NA,11.5,0,4,1,NA,0.22,NA,0.23,NA,-30,NA,9100,13,9.61,16.75,7.5,8.5,8.4,178,8.4,10.5,
Lower Limit ----->,,,,,,,,,,,,2.35,54,13,9.9,1.5,0,4.7,43,25,9.9,1.8,0,3000,6,5000,2480,0.08,4.75,4.4,1,1.398,0.25,4,5000,980,3000,6,9000,2480,0.08,8.75,8.6,1500,0.25,1.398,4,5000,1480,1500,1.398,1.398,4,5000,1480,NA,NA,NA,3000,1500,500,5,5,5,5000,5000,5000,12,12,12,258,624,1301,3,NA,NA,4750,NA,5.7,NA,2.07,NA,17.5,NA,2.24,NA,0.2,NA,0.04,NA,2.07,NA,17.9,NA,263,NA,81.5,NA,0.04,NA,2,NA,2.5,5,4,80,80,2740,5,NA,-0.3,NA,2,NA,10.5,0,4,1,NA,0.19,NA,0.19,NA,-40,NA,8900,7,6.79,14.25,5.5,6.5,6.2,148,6.2,8,
Measurement Unit ----->,,,,,,,,,,,,V,ns,ns,us,V,V,V,ns,ns,us,V,V,mA,NA,mV,mA,ohms,V,V,A,V,V,NA,mV,mA,mA,NA,mV,mA,ohms,V,V,mA,V,V,NA,mV,mA,mA,V,V,NA,mV,mA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mA,mA,mA,NA,NA,NA,NA,NA,NA,mV,NA,mA,NA,mA,NA,mA,NA,mA,NA,mA,NA,mA,NA,mA,NA,mA,NA,mA,NA,mA,NA,mA,NA,mA,NA,mA,NA,NA,mA,mA,mV,NA,NA,mA,NA,mA,NA,mA,NA,NA,NA,NA,mA,NA,mA,NA,mA,NA,mV,mA,mA,mA,mA,mA,mA,mA,mA,mA,
FXLH,R128,FTPZQ02EPPLC,R128-EVT,R128-EVT_E2AEN-LHWTE1,,FXLH_F05-4FT-01_1_QT1,PASS,2019/12/5 18:58,2019/12/5 19:03,V2.3.2.0,,2.428835256,77.45,56.9,10.097,1.690310552,0.000544,4.812758787,53.22,53.61,10.097,1.912363722,0.00079,3000,6,5000,2507.56376,0.161088785,5.077787725,4.673847326,1,1.806,0.876,4,5000,1010.031589,3000,6,9000,2506.980412,0.160995015,9.049397327,8.645785978,1500,0.876,1.78,4,5000,1523.648544,1500,1.806,1.78,4,5000,1509.734154,,,,3000,1500,500,5,5,5,5000,5000,5000,16.12165368,16.13643822,16.12443692,258,624,1301,3,33,,4805.118246,,9.084495285,,2.730190936,,18.81149885,,2.738277938,,0.428890849,,0.159839174,,2.725810275,,19.42529352,,276.6496167,,88.290348,,0.188163084,,3.256976971,,3.061927787,5,4,123.5306122,130.4829676,2824.709395,5,,-0.019696292,,3.250795356,,11.03249394,0,4,1,,0.200147922,,0.20612042,,-36.27003606,,8995.834873,10.47300238,8.330541282,15.71448537,6.57551159,7.593117848,7.519522254,163.2443329,7.543516441,9.44341252,
FXLH,R128,FTPZQ02EPPLC,R128-EVT,R128-EVT_E2AEN-LHWTE1,,FXLH_F05-4FT-01_1_QT1,PASS,2019/12/5 19:05,2019/12/5 19:10,V2.3.2.0,,2.428797912,75.45,56.9,10.096,1.691447887,0.000515,4.812736381,54.22,54.61,10.094,1.913534296,0.000863,3000,6,5000,2507.350303,0.160974413,5.077668225,4.674048982,1,1.806,0.876,4,5000,1009.997812,3000,6,9000,2507.002731,0.160877418,9.049330122,8.646009995,1500,0.876,1.78,4,5000,1523.728723,1500,1.786,1.78,4,5000,1509.739186,,,,3000,1500,500,5,5,5,5000,5000,5000,16.14456527,16.12610686,16.10339566,258,624,1301,3,33,,4805.177996,,9.072265333,,2.710950956,,18.81104041,,2.748962773,,0.440907347,,0.164569124,,2.710819973,,19.41695426,,276.7285364,,88.25585575,,0.188548757,,3.414133817,,3.083906287,5,4,124.6489756,130.4425435,2824.769145,5,,-0.019637559,,3.251433618,,11.0328027,0,4,1,,0.200140962,,0.206082018,,-36.26199475,,8995.819939,10.48405833,8.306530117,15.68878597,6.584697395,7.566901798,7.496823346,163.3021017,7.527548615,9.424802839,
FXLH,R128,FTPZQ02EPPLC,R128-EVT,R128-EVT_E2AEN-LHWTE1,,FXLH_F05-4FT-01_1_QT1,FAIL,2019/12/5 19:11,2019/12/5 19:15,V2.3.2.0,CB Error Could not set PASS CB,2.428775506,78.45,55.9,10.097,1.689755475,0.000807,4.812736381,55.22,56.61,10.094,1.913598048,0.000815,3000,6,5000,2507.671101,0.160572589,5.077810131,4.67514689,1,1.806,0.876,4,5000,1009.380089,3000,6,9000,2506.037419,0.160581824,9.049479467,8.647055407,1500,0.876,1.78,4,5000,1522.305756,1500,1.806,1.78,4,5000,1507.780413,,,,3000,1500,500,5,5,5,5000,5000,5000,16.1361265,16.1145954,16.11359343,258,624,1301,3,33,,4805.230278,,8.109383382,,2.711574339,,18.81468611,,2.744111543,,0.428417854,,0.161444932,,2.712554288,,19.42403463,,276.6014955,,88.26467287,,0.191721462,,3.235330344,,3.102239087,5,4,123.7427541,129.5806596,2824.79902,5,,-0.019393163,,3.25229883,,11.03380465,0,4,1,,0.200309407,,0.206369271,,-36.26560857,,8995.931947,10.46613061,8.303177916,15.69626414,6.571307999,7.557235721,7.493590001,163.2787943,7.527473421,9.44502508,
FXLH,R128,FTPZQ02EPPLC,R128-EVT,R128-EVT_E2AEN-LHWTE1,,FXLH_F05-4FT-01_1_QT1,PASS,2019/12/5 19:16,2019/12/5 19:20,V2.3.2.0,,2.428760568,75.45,54.9,10.097,1.691417463,0.000017,4.812721444,54.22,55.61,10.097,1.912659138,0.000485,3000,6,5000,2505.865548,0.160512436,5.077653288,4.675430703,1,1.806,0.876,4,5000,1009.964457,3000,6,9000,2505.945804,0.160385068,9.049412262,8.647495974,1500,0.876,1.78,4,5000,1513.797342,1500,1.806,1.78,4,5000,1509.13901,,,,3000,1500,500,5,5,5,5000,5000,5000,16.14218282,16.13394444,16.12388027,258,624,1301,3,33,,4805.170528,,9.111371103,,2.714249793,,18.81252974,,2.75888354,,0.432597189,,0.178099206,,2.714979903,,19.42974695,,276.8001227,,88.28372122,,0.192810563,,3.263768314,,3.108579646,5,4,124.4337596,130.1194613,2824.813957,5,,-0.019371306,,3.250265806,,11.03452528,0,4,1,,0.200349824,,0.206393448,,-36.26992734,,8996.088759,9.605869165,8.306704761,15.68806314,6.576743803,7.559263535,7.493946566,163.2784353,7.530034871,9.421101881,
FXLH,R128,FTPZQ02EPPLC,R128-EVT,R128-EVT_E2AEN-LHWTE1,,FXLH_F05-4FT-01_1_QT1,FAIL,2019/12/5 19:21,2019/12/5 19:26,V2.3.2.0,CB Error Could not set PASS CB,2.428782974,76.45,54.9,10.094,1.689211807,0.000909,4.812706506,53.22,53.61,10.098,1.914354537,0.0001,3000,6,5000,2507.362843,0.160634032,5.077727975,4.674960171,1,1.806,0.876,4,5000,1009.956798,3000,6,9000,2506.896548,0.160532749,9.049367458,8.646928464,1500,0.876,1.78,4,5000,1516.519612,1500,1.806,1.78,4,5000,1509.587467,,,,3000,1500,500,5,5,5,5000,5000,5000,16.12517169,16.12047359,16.10450896,258,624,1301,3,33,,4805.237746,,7.484413898,,2.715033266,,18.8185865,,2.75107791,,0.432206665,,0.163358742,,2.71201095,,19.42779918,,276.8606278,,88.2776305,,0.197142712,,3.40994622,,3.106881715,5,4,124.6762298,130.4433901,2824.85877,5,,-0.019279055,,3.250690567,,11.0347046,0,4,1,,0.200421012,,0.206387831,,-36.26425248,,8996.014087,9.613684498,8.315456381,15.69581541,6.585851988,7.568277122,7.497660183,163.1881385,7.521986679,9.449771516,
