QT1,V2.3.8.1 - All,,,,,,,,,,,Parametric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,2V4_DUT_Applied_Voltage,2V4_MCU_AID_Fall_Time,2V4_MCU_AID_Rise_Time,2V4_MCU_Bits_period,2V4_MCU_VOH,2V4_MCU_VOL,4V8_DUT_Applied_Voltage,4V8_MCU_AID_Fall_Time,4V8_MCU_AID_Rise_Time,4V8_MCU_Bits_period,4V8_MCU_VOH,4V8_MCU_VOL,5V_2P5A_Charge_Capability,5V_2P5A_Charge_Type,5V_2P5A_Charge_Voltage,5V_2P5A_CURR_USBC_PD,5V_2P5A_DCR,5V_2P5A_DUT_Input_Voltage,5V_2P5A_Orion_Power_Voltage,5W_5V_1P0A_BRICKID_CAPABILITY_Curr,5W_5V_1P0A_BRICKID_CAPABILITY_DM_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_DP_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_Type,5W_5V_1P0A_BRICKID_CAPABILITY_Vol,5W_5V_1P0A_BRICKID_System_Curr,9V_2P5A_Charge_Capability,9V_2P5A_Charge_Type,9V_2P5A_Charge_Voltage,9V_2P5A_CURR_USBC_PD,9V_2P5A_DCR,9V_2P5A_DUT_Input_Voltage,9V_2P5A_Orion_Power_Voltage,10W_5V_1P5A_BRICKID_CAPABILITY_Curr,10W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_Type,10W_5V_1P5A_BRICKID_CAPABILITY_Vol,10W_5V_1P5A_BRICKID_System_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_Type,12.5W_5V_1P5A_BRICKID_CAPABILITY_Vol,12.5W_5V_1P5A_BRICKID_System_Curr,CC_Rp_Capability_CURR-10kohm_5V,CC_Rp_Capability_CURR-22kohm_5V,CC_Rp_Capability_CURR-56kohm_5V,CC_Rp_Capability_Type-10kohm_5V,CC_Rp_Capability_Type-22kohm_5V,CC_Rp_Capability_Type-56kohm_5V,CC_Rp_Capability_VOL-10kohm_5V,CC_Rp_Capability_VOL-22kohm_5V,CC_Rp_Capability_VOL-56kohm_5V,FW_VERSION_CCG3,FW_VERSION_L4R5,FW_VERSION_MTFW,GreenPAK ID,KBD_HW_Layout,OrionPWR_On_Sys Voltage,OrionPWR_SYS_CURRENT_ALL_RAILS,OrionPWR_SYS_CURRENT_BLC_ONLY,OrionPWR_SYS_CURRENT_CAPSLOCK_ONLY,OrionPWR_SYS_CURRENT_Energy_Storage,OrionPWR_SYS_CURRENT_Energy_Storage_ONLY,OrionPWR_SYS_CURRENT_IDLE,OrionPWR_SYS_CURRENT_LEDs_to_0PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_3P8PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_100PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_UserMax_brightness,OrionPWR_SYS_CURRENT_MFI_ONLY,OrionPWR_SYS_CURRENT_TOUCH_ONLY,OrionPWR_SYS_CURRENT_USBC_AltPWR_ONLY,PHASE1_CONSUMER_DUT_MODE,PHASE2_C2P_DUT_MODE,PHASE2_SYS_CURRENT_pre_swap_consumer,PHASE2_SYS_CURRENT_pre_swap_provider,PHASE3_Vol_IDBUS_provider,PHASE5_P2C_DUT_MODE,PORION_RVP_OUT_-16V_CURR,PPORION_OVP_OUT_5V2_CURR,PPORION_OVP_OUT_16V_CURR,Production signed check,READ_HW_VERSION,Read_PHASE5_BROWNOUT_STATUS,SYS_IDBUS_6V_VBUS_0V_CURR,SYS_IDBUS_6V_VBUS_5V2_CURR,SYS_IDBUS_-5V2_VBUS_0V_CURR,USBC Mux_In_Tristar CCG3_USB_PID,USBC Mux_In_Tristar CCG3_USB_VID,USBC Mux_In_Tristar STM32L4_PID,USBC Mux_In_Tristar STM32L4_VID,USBC_PWR_On_Sys Voltage,USBC_PWR_SYS_CURRENT_ALL_RAILS,USBC_PWR_SYS_CURRENT_BLC_ONLY,USBC_PWR_SYS_CURRENT_CAPSLOCK_ONLY,USBC_PWR_SYS_CURRENT_Energy_Storage_5V,USBC_PWR_SYS_CURRENT_Energy_Storage_ONLY,USBC_PWR_SYS_CURRENT_IDLE,USBC_PWR_SYS_CURRENT_LEDs_to_100PCT_brightness,USBC_PWR_SYS_CURRENT_MFI_ONLY,USBC_PWR_SYS_CURRENT_TOUCH_ONLY
Display Name ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCA Priority ----->,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Limit ----->,,,,,,,,,,,,2.5,90,85,10.2,1.85,0.2,4.9,75,77,10.2,1.95,0.2,3000,6,5000,2540,0.221,5.25,4.85,1,2.1,1.25,4,5000,1040,3000,6,9000,2540,0.221,9.3,8.9,1500,1.25,2.1,4,5000,1540,1500,2.1,2.1,4,5000,1540,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,NA,4900,9.7,3.05,20.5,3.05,0.7,0.3,3.05,20.7,294,96,0.3,3.9,3.35,5,4,143,149,2900,5,0.1,8,11.5,0,4,1,0.22,0.23,-30,623,1452,623,1452,9100,12,9.25,17.5,7.5,8.4,8.4,178,8.4,10.5
Lower Limit ----->,,,,,,,,,,,,2.35,62,35,9.8,1.5,0,4.7,40,40,9.8,1.8,0,3000,6,5000,2480,0.12,4.75,4.4,1,1.5,0.6,4,5000,980,3000,6,9000,2480,0.12,8.9,8.35,1500,0.6,1.5,4,5000,1480,1500,1.5,1.5,4,5000,1480,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,NA,4750,8.1,2.55,17,2.55,0.2,0.14,2.55,18.2,263,82,0.14,2.7,2.8,5,4,108,114,2760,5,-0.3,2,10.5,0,4,1,0.19,0.19,-40,623,1452,623,1452,8900,8,7.25,13.75,5.5,6.3,6.2,148,6.2,7.9
Measurement Unit ----->,,,,,,,,,,,,V,ns,ns,us,V,V,V,ns,ns,us,V,V,mA,NA,mV,mA,ohms,V,V,A,V,V,NA,mV,mA,mA,NA,mV,mA,ohms,V,V,mA,V,V,NA,mV,mA,mA,V,V,NA,mV,mA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mV,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,NA,NA,mA,mA,mV,NA,mA,mA,mA,NA,NA,NA,mA,mA,mA,NA,NA,NA,NA,mV,mA,mA,mA,mA,mA,mA,mA,mA,mA
FXLH,R128,FTPZQ02EPPLC,R128-EVT,R128-EVT_E2AEN-LHWTE1,,FXLH_F05-4FT-01_3_QT1,PASS,2019/12/18 17:16,2019/12/18 17:21,V2.3.8.1,,2.42522874,73.37,48,10.11,1.692111615,0.000937,4.809735621,45.9,53.7,10.107,1.910208478,0.000397,3000,6,5000,2508.695313,0.148474788,5.064231595,4.69175359,1,1.78,0.876,4,5000,1010.222924,3000,6,9000,2506.794558,0.148481549,9.048274461,8.676061721,1500,0.876,1.806,4,5000,1513.365698,1500,1.78,1.806,4,5000,1510.259471,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,33,4801.913029,8.858941387,2.755853276,18.83666709,2.78093539,0.48581943,0.215835131,2.756751966,19.60604402,276.9543243,88.2390842,0.240698053,3.479098375,3.131971891,5,4,123.6338415,130.5329549,2827.441568,5,-0.021200085,3.276270105,11.03935637,0,4,1,0.198171428,0.204204774,-37.41168536,623,1452,623,1452,9000.832871,10.2872094,8.355243822,15.71568393,6.645762343,7.614397677,7.550137435,163.0589812,7.574365846,9.470294549
FXLH,R128,FTPZQ02EPPLC,R128-EVT,R128-EVT_E2AEN-LHWTE1,,FXLH_F05-4FT-01_1_QT1,PASS,2019/12/18 17:42,2019/12/18 17:48,V2.3.8.1,,2.428808616,74.25,56.9,10.108,1.694836425,0.000257,4.813296197,53.22,55.61,10.107,1.911629653,0.000402,3000,6,5000,2507.833326,0.17761045,5.068472036,4.623054631,1,1.806,0.876,4,5000,1009.734372,3000,6,9000,2505.858248,0.174259522,9.052467539,8.615797878,1500,0.876,1.78,4,5000,1512.493788,1500,1.806,1.78,4,5000,1509.329998,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,33,4805.54207,8.850318159,2.775935338,18.83965941,2.802798345,0.478362105,0.217808793,2.761147019,19.61221502,276.7665327,88.25608861,0.242547844,3.450026219,3.138368802,5,4,124.4518087,129.2705235,2828.63594,5,-0.019731909,3.274083554,11.03409822,0,4,1,0.19963942,0.205589557,-37.26011629,623,1452,623,1452,8999.036081,10.40544784,8.355886456,15.71284611,6.651463628,7.601278065,7.548779668,163.2120736,7.57281647,9.531653421
FXLH,R128,FTPZQ02EPPLC,R128-EVT,R128-EVT_E2AEN-LHWTE1,,FXLH_F05-4FT-01_1_QT1,PASS,2019/12/18 17:48,2019/12/18 17:54,V2.3.8.1,,2.428741319,73.25,56.9,10.105,1.694530651,0.000882,4.813221422,55.22,54.61,10.105,1.911596178,0.00078,3000,6,5000,2507.75972,0.171661149,5.068359874,4.637874959,1,1.806,0.876,4,5000,1009.849049,3000,6,9000,2507.860428,0.170796525,9.052362874,8.624029029,1500,0.876,1.78,4,5000,1510.799028,1500,1.806,1.78,4,5000,1509.003159,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,33,4805.579457,8.82606877,2.759540522,18.8392084,2.785839551,0.495884572,0.217797343,2.778315893,19.58961151,277.0467459,88.25270959,0.242374303,3.429430202,3.123338464,5,4,124.3234596,129.9751677,2828.63594,5,-0.019580467,3.279395391,11.03517055,0,4,1,0.199817805,0.205721223,-37.26151584,623,1452,623,1452,8999.641642,10.29004696,8.358140842,15.71247017,6.646642302,7.603522802,7.549079079,163.1490369,7.572989832,9.455855686
FXLH,R128,FTPZQ02EPPLC,R128-EVT,R128-EVT_E2AEN-LHWTE1,,FXLH_F05-4FT-01_1_QT1,PASS,2019/12/18 17:54,2019/12/18 18:00,V2.3.8.1,,2.428733841,74.25,54.9,10.106,1.69430407,0.000311,4.813221422,55.22,55.61,10.107,1.914206842,0.000641,3000,6,5000,2507.745769,0.169410886,5.068389784,4.643550352,1,1.806,0.876,4,5000,1009.845379,3000,6,9000,2505.8206,0.16905895,9.052362874,8.628731476,1500,0.876,1.78,4,5000,1517.352092,1500,1.806,1.78,4,5000,1508.677588,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,33,4805.564502,8.972131906,2.760482093,18.83902968,2.778667532,0.472536,0.217825661,2.761278258,19.60980928,277.0040912,88.25718182,0.242454307,3.513271003,3.139160325,5,4,123.8498464,129.4961456,2828.531256,5,-0.019609595,3.277066256,11.03484056,0,4,1,0.199702383,0.205702719,-37.26199376,623,1452,623,1452,8999.716403,10.30023478,8.359257745,15.71695278,6.653007408,7.614771524,7.549469872,163.1426227,7.573856188,9.484377121
FXLH,R128,FTPZQ02HPPLC,R128-EVT,R128-EVT_E2AEN-LHWTE1,,FXLH_F05-4FT-01_5_QT1,PASS,2019/12/18 17:18,2019/12/18 17:24,V2.3.8.1,,2.42349652,68.37,51,10.016,1.697785141,0.000525,4.81213018,47.9,49.7,10.012,1.911922908,0.000803,3000,6,5000,2510.308823,0.164688022,5.087064149,4.673646355,1,1.786,0.902,4,5000,1011.697104,3000,6,9000,2511.218729,0.16455539,9.075214898,8.661980319,1500,0.892,1.806,4,5000,1512.376006,1500,1.806,1.786,4,5000,1511.7572,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,33,4803.771984,8.822185513,2.765272492,18.79368305,2.819267855,0.496024901,0.2228947,2.763667511,19.60611008,279.2738096,88.22053586,0.24717289,3.499043661,3.164116768,5,4,124.924695,129.2496454,2827.565352,5,-0.019975275,3.289767605,11.02429122,0,4,1,0.199149292,0.205094075,-37.0855747,623,1452,623,1452,9000.780091,10.19523989,8.290020212,15.63047264,6.566193747,7.541106386,7.493221909,162.8153541,7.511030092,9.375348114
