FATP-QT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parametric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,BACKLIGHT_SN,BUILD_EVENT,BUILD_MATRIX_CONFIG,Build_EVENT,ID_Response,KBD HW Layout,KBM_SN,MFI_Address,MIX_FW,MLB_SN,P_SN,ReadCCG3FW,ReadMLBblob,Read_MLB_SN,STFW,TOUCH_FLEX_SN,TOUCH_FW,TRACKPAD_SN,UNIT_LBL,WO_SN,2V5 MCU AID FALL Time 2V5FALLTIME,2V5 MCU AID RISE Time 2V5RISETIME,2V5 MCU BITS PERIOD 2V5PERIOD,2V5 MCU VOH 2V5VOH,2V5 MCU VOL 2V5VOL,2V5 P203 VOLTAGE 2V5 P203 VOLTAGE,4V8 MCU AID FALL TIME 4V8FALLTIME,4V8 MCU AID RISE TIME 4V8RISETIME,4V8 MCU BITS PERIOD 4V8PERIOD,4V8 MCU VOH 4V8VOH,4V8 MCU VOL 4V8VOL,4V8 P203 VOLTAGE 4V8 P203 VOLTAGE,5V 1.5A Charge Capability ChargeCapability_1A5,5V 1.5A Charge Mode ChargeMode_1A5,5V 1.5A Charge Voltage ChargeVoltage_1A5,5V 1.5A Curr CC Rp = 22kohm CurrCharge 5V 1.5A,5V 1.5A DUT Input Voltage DUTinput_1A5,5V 1.5A Orion Power Voltage OrionPower_1A5,5V 2.5A Charge Capability ChargeCapability_2A5,5V 2.5A Charge Mode ChargeMode_2A5,5V 2.5A Charge Voltage ChargeVoltage_2A5,5V 2.5A Curr CC Rp = 10kohm CurrCharge 5V 2.5A,5V 2.5A DUT Input Voltage DUTinput_2A5,5V 2.5A Orion Power Voltage OrionPower_2A5,9V 2.5A Charge Capability ChargeCapability9V_2A5,9V 2.5A Charge Mode ChargeMode9V_2A5,9V 2.5A Charge Voltage ChargeVoltage9V_2A5,9V 2.5A Curr USBC PD CurrUSBC9VTo2A5,9V 2.5A DUT Input Voltage DUTinput9V_2A5,9V 2.5A Orion Power Voltage OrionPower9V_2A5,BL Critical errors BL_CRI_ERR_PART1,Brick ID brickID_capability,Brick ID brickID_dn_voltage,Brick ID brickID_dp_voltage,Brick ID brickID_mode,Brick ID brickID_voltage,Critical summary CRIT_ERR_E0_PART1,FW Update critical errors CRIT_ERR_E2_PART1,FW Update critical errors CRIT_ERR_E2_PART2,FW Update critical errors CRIT_ERR_E2_PART3,GRAPE critical errors CRIT_ERR_E5_PART1,GRAPE critical errors CRIT_ERR_E5_PART2,GRAPE critical errors CRIT_ERR_E5_PART3,GRAPE critical errors CRIT_ERR_E5_PART4,GRAPE critical errors CRIT_ERR_E5_PART5,GRAPE critical errors CRIT_ERR_E5_PART6,GRAPE critical errors CRIT_ERR_E5_PART7,GRAPE critical errors CRIT_ERR_E5_PART8,GRAPE critical errors CRIT_ERR_E5_PART9,GRAPE critical errors CRIT_ERR_E5_PART10,GreenPAK ID GREEN_PAK_PART1,KBD HW Layout KBD_HW_Layout,KeyScan critical errors CRIT_ERR_E7_PART1,KeyScan critical errors CRIT_ERR_E7_PART2,KeyScan critical errors CRIT_ERR_E7_PART3,KeyScan critical errors CRIT_ERR_E7_PART4,Orion Power SYS CURRENT ALL RAILS SYS CURRENT ALL RAILS,Orion Power SYS CURRENT BLC ONLY CurrBacklight,Orion Power SYS CURRENT Energy storage CurrBackupDisBoostEn,Orion Power SYS CURRENT Energy storage ONLY CurrEnergy,Orion Power SYS CURRENT IDLE SYS CURRENT IDLE,Orion Power SYS CURRENT MFI ONLY CurrMFI,Orion Power SYS CURRENT TOUCH ONLY CurrTouch,Orion Power SYS CURRENT USBC Alt power ONLY CurrUSB,Orion Power SysTem Curr Leds to 0% Brightness Sys_led_percent0,Orion Power SysTem Curr Leds to 1% Brightness Sys_led_percent1,Orion Power SysTem Curr Leds to 100% Brightness Sys_led_percent100,Orion Power SysTem Curr Leds to PD 50% Brightnes Sys_led_percent50,PHASE3 ORIONPWR DUT MODE STATUS_READ_F0_PART1,PHASE3 ORIONPWR DUT MODE STATUS_READ_F2_PART1,PPORION OVP OUT 5V2 CURR Read_Orin_Curr_5V2,PPORION OVP OUT 16V CURR Read_Orin_Curr_16V,PPORION OVP OUT -16V CURR Read_Orin_Curr_minus16V,Production signed check Production_signed_check,Read HW Version READ_HW_VERSION,Read MFI Address Read_MFI_Address,STFW STFW,SYS IDBUS 6V VBUS 0V CURR MeasSysCurr6To0,SYS IDBUS 6V VBUS 5V2 CURR MeasSysCurr6To5V2,SYS IDBUS -4V VBUS 0V CURR SYS_IDBUS_-4V_VBUS_0V_CURR,SYS IDBUS -4V VBUS 0V VOL SYS IDBUS -4V VBUS 0V VOL,System critical errors CRIT_ERR_E1_PART1,System critical errors CRIT_ERR_E1_PART2,System Curr caps lock LED is off SystemCurrentLockOff,System Curr caps lock LED is on SystemCurrentLockOn,TOUCH FW TOUCH_FW,Tristar To CCG3 PID PID,Tristar To CCG3 VID VID,USB-C Power SYS CURRENT ALL RAILS USBC SYS CURRENT ALL RAILS,USB-C Power SYS CURRENT BLC ONLY Usbc_CurrBacklight,USB-C Power SYS CURRENT Capslock ONLY Usbc_CurrCapsLock,USB-C Power SYS CURRENT IDLE (USB-C Power) SYS CURRENT IDLE,USB-C Power SYS CURRENT MFI ONLY Usbc_CurrMFI,USB-C Power SYS CURRENT TOUCH ONLY Usbc_CurrTouch,USB-C Power SysTem Curr Leds to 0% Brightness Usbc_Sys_led_percent0,USB-C Power SysTem Curr Leds to 1% Brightness Usbc_Sys_led_percent1,USB-C Power SysTem Curr Leds to 100% Brightness Usbc_Sys_led_percent100,USB-C Power SysTem Curr Leds to PD 50% Brightnes Usbc_Sys_led_percent50,USBC critical errors CRIT_ERR_E3_PART1,USBC critical errors CRIT_ERR_E3_PART2,USBC critical errors CRIT_ERR_E3_PART3,USBC critical errors CRIT_ERR_E3_PART4,USBC Power On Measure Voltage USBCPowerOnPD_Voltage,Write And Read 0x01 Read0x01_PART1
Display Name ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCA Priority ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Limit ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,120,NA,1.95,0.1,2.7,120,120,NA,1.95,0.1,4.93,500,1,5000,1520,5100,4800,500,1,5000,2525,5200,4650,3000,6,9000,2525,9100,8700,NA,1500,2000,2000,4,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,4.2,1.75,1.8,1.75,1.75,15,3.75,4.2,6.95,280,80,NA,NA,30,11.5,0.1,0,3,16,352,0.22,0.23,-25,-3.9,NA,NA,1.75,22.4,1285,65280,1452,31.5,7.4,24,4.7,4.7,18,7.5,10.5,295,85,NA,NA,NA,NA,5050,NA
Lower Limit ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,NA,1.5,0,2.25,0,0,NA,1.5,0,4.7,500,1,5000,1490,4900,4500,500,1,5000,2475,4950,4150,3000,6,9000,2475,8600,8100,NA,1500,1300,1300,4,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,2.9,0.5,0.9,0.5,0.5,11,2.6,2.9,5.75,240,65,NA,NA,7,10.5,-0.3,0,3,16,352,0.19,0.19,-35,-4.1,NA,NA,0.5,17.7,1285,65280,1452,25,5.7,21,3.2,3.2,14.5,5.5,8.5,265,70,NA,NA,NA,NA,4950,NA
Measurement Unit ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ns,ns,us,V,V,V,ns,ns,us,V,V,V,NA,NA,mV,mA,mV,mV,NA,NA,NA,mA,mV,mV,mA,NA,mA,mA,mV,mV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,NA,NA,mA,mA,mA,NA,NA,NA,NA,mA,mA,mA,V,NA,NA,mA,mA,NA,NA,NA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,NA,NA,NA,NA,mV,NA
FXLH,R128,FTPZD009P3LY,R128-P2,R128-P2_P22AEN-S1,,FXLH_F05-4FT-01_3_QT1,PASS,2019/9/28 09:47,2019/9/28 09:53,V2.2.6.6_forCYG,,GV29357000TN5TG2G,R128-P2,P22AEN-S1,R128-P2,00 f3 01 00 01 00,0x21,C4P9315000NJCPQ3X,0x10,1.0.3,DLX9373000AN47324,DKB9374000BN5RQ0P,A0 02 00 0B 00 0B 00 0B,02 01 01 05 49,DLX9373000AN47324,0x0160,C47935505YQJFK022,0x0505,FM7934700CWKG9X4X+S5J,R128-P2_P22AEN-S1_C01035,WCR-J90002,111,72,10.003,1.706342937,0.012348,2.428130851,95,97,10.008,1.881026629,0.013285,4.821754558,500,1,5000,1505.777362,4999.573167,4576.979928,500,1,5000,2505.238634,4998.894584,4299.275373,3000,6,9000,2506.509502,8999.55337,8302.352391,0,1500,1922,1922,4,5000,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,33,0,0,0,0,28.03753035,3.481897521,1.103392277,1.108158193,0.875973354,0.792932793,12.39406319,3.268562694,3.388633184,6.288468448,259.8908859,73.04194336,1,4,10.81254389,10.85221049,-0.141261812,0,3,16,352,0.1977919,0.20355923,-28.013248,-3.982241807,8704,0,0.856521231,19.40300902,1285,65280,1452,27.9863095,6.327923823,22.27438961,3.741349809,3.732718718,15.55348913,6.348065462,9.213767252,272.2661365,77.51779152,0,0,0,0,5001.571632,1
FXLH,R128,FTPZD009P3LY,R128-P2,R128-P2_P22AEN-S1,,FXLH_F05-4FT-01_3_QT1,PASS,2019/9/28 09:53,2019/9/28 09:59,V2.2.6.6_forCYG,,GV29357000TN5TG2G,R128-P2,P22AEN-S1,R128-P2,00 f3 01 00 01 00,0x21,C4P9315000NJCPQ3X,0x10,1.0.3,DLX9373000AN47324,DKB9374000BN5RQ0P,A0 02 00 0B 00 0B 00 0B,02 01 01 05 49,DLX9373000AN47324,0x0160,C47935505YQJFK022,0x0505,FM7934700CWKG9X4X+S5J,R128-P2_P22AEN-S1_C01035,WCR-J90002,109,72,10.001,1.717335211,0.012129,2.399988294,96,102,10.003,1.879820406,0.012662,4.821993181,500,1,5000,1506.715479,4999.647737,4584.250461,500,1,5000,2505.361962,4999.088465,4306.19543,3000,6,9000,2506.503464,8999.516095,8305.669911,0,1500,1922,1922,4,5000,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,33,0,0,0,0,26.76871873,3.48815658,1.097519251,1.100760462,0.858837422,0.773895836,12.49542206,3.253165119,3.394273134,6.26435238,259.88847,73.04323256,1,4,10.78857106,10.84868764,-0.144801726,0,3,16,352,0.197662749,0.203407841,-28.01071325,-3.982324831,8704,0,0.870644172,19.40285606,1285,65280,1452,27.38650332,6.311955698,22.2921932,3.72321602,3.719999088,15.7951621,6.341146023,9.221946758,272.2693343,77.54745771,0,0,0,0,5001.623831,1
FXLH,R128,FTPZD009P3LY,R128-P2,R128-P2_P22AEN-S1,,FXLH_F05-4FT-01_3_QT1,PASS,2019/9/28 09:59,2019/9/28 10:07,V2.2.6.6_forCYG,,GV29357000TN5TG2G,R128-P2,P22AEN-S1,R128-P2,00 f3 01 00 01 00,0x21,C4P9315000NJCPQ3X,0x10,1.0.3,DLX9373000AN47324,DKB9374000BN5RQ0P,A0 02 00 0B 00 0B 00 0B,02 01 01 05 49,DLX9373000AN47324,0x0160,C47935505YQJFK022,0x0505,FM7934700CWKG9X4X+S5J,R128-P2_P22AEN-S1_C01035,WCR-J90002,106,72,10.003,1.710730924,0.012794,2.400204545,96,99,10.004,1.879057439,0.013406,4.821993181,500,1,5000,1506.860849,4999.155578,4600.901848,500,1,5000,2505.312809,4998.059405,4327.067454,3000,6,9000,2506.783342,8998.509656,8325.910508,0,1500,1922,1922,4,5000,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,33,0,0,0,0,28.02716576,3.48003777,1.123706296,1.121346402,0.865550493,0.774184752,12.87098741,3.263733653,3.398837537,6.252334405,260.1734085,73.06621967,1,4,10.77236743,10.85873904,-0.143738295,0,3,16,352,0.197730745,0.203497098,-28.00594238,-3.982262563,8704,0,0.865783569,19.41512896,1285,65280,1452,28.22764985,6.327943246,22.24192893,3.748609151,3.73647221,15.59029084,6.372642827,9.165435571,272.2794351,77.58177327,0,0,0,0,5001.504519,1
FXLH,R128,FTPZF004P3MH,R128-P2,R128-P2_P22ISL-LBU,,FXLH_F05-4FT-01_2_QT1,PASS,2019/9/28 09:42,2019/9/28 09:48,V2.2.6.6_forCYG,,GV2937300D6P2RX2M,R128-P2,P22ISL-LBU,R128-P2,00 f3 01 00 01 00,,C4P93370002JCRQ33,,1.0.3,DLX93730017N47324,DKB93820006N5RQ0T,A0 02 00 0B 00 0B 00 0B,02 01 02 20 4A,DLX93730017N47324,0x0160,C47935505Q4JFK02C,0x0505,FM79363015LKG9X4R+R1J,R128-P2_P22ISL-LBU_C01180,WCR-J9000B,105,69,9.997,1.684323121,0.000458,2.400781129,93,99,9.997,1.890162167,0.000458,4.797642475,500,1,5000,1506.625579,4997.006369,4598.772168,500,1,5000,2505.510923,4994.314081,4327.82334,3000,6,9000,2506.588971,8994.342295,8328.903925,0,1500,1927,1914,4,5000,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,13,0,0,0,0,28.77485858,3.830234752,1.504132359,1.511867088,1.241792511,1.174792056,13.23300937,3.588583732,3.764218672,6.667716879,262.9370819,73.91736265,1,4,10.82613009,10.94804519,-0.11342764,0,3,16,352,0.199491466,0.205438352,-27.91508774,-3.983341649,8704,0,1.23865315,20.08065091,1285,65280,1452,28.88132357,6.62266293,22.89182818,4.077729144,4.071813213,16.57702675,6.628242674,9.51269913,276.6198041,78.54514427,0,0,0,0,4999.249942,1
FXLH,R128,FTPZF004P3MH,R128-P2,R128-P2_P22ISL-LBU,,FXLH_F05-4FT-01_2_QT1,PASS,2019/9/28 09:48,2019/9/28 09:54,V2.2.6.6_forCYG,,GV2937300D6P2RX2M,R128-P2,P22ISL-LBU,R128-P2,00 f3 01 00 01 00,,C4P93370002JCRQ33,,1.0.3,DLX93730017N47324,DKB93820006N5RQ0T,A0 02 00 0B 00 0B 00 0B,02 01 02 20 4A,DLX93730017N47324,0x0160,C47935505Q4JFK02C,0x0505,FM79363015LKG9X4R+R1J,R128-P2_P22ISL-LBU_C01180,WCR-J9000B,105,69,9.993,1.687364491,0.000855,2.367284584,88,97,10.002,1.884771013,0.000733,4.797664911,500,1,5000,1506.228722,4996.871755,4563.525637,500,1,5000,2504.383235,4994.134596,4306.142946,3000,6,9000,2506.446159,8993.983399,8312.020851,0,1500,1914,1914,4,5000,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,13,0,0,0,0,28.66433032,3.828215209,1.483402415,1.505832645,1.242184327,1.178577187,13.2476952,3.613771182,3.772533868,6.65907517,263.268221,73.92452659,1,4,10.8917592,10.95515834,-0.107375813,0,3,16,352,0.199427554,0.205386782,-27.91803384,-3.983021298,8704,0,1.240104319,20.08204161,1285,65280,1452,28.90180439,6.641346726,22.87453509,4.070156462,4.063408528,16.32976938,6.696355692,9.492087698,276.4485491,78.53714349,0,0,0,0,4999.122806,1
