FATP-QT,,,,,,,,,,,,Parametric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,2V4_DUT_Applied_Voltage,2V4_MCU_AID_Fall_Time,2V4_MCU_AID_Rise_Time,2V4_MCU_Bits_period,2V4_MCU_VOH,2V4_MCU_VOL,4V8_DUT_Applied_Voltage,4V8_MCU_AID_Fall_Time,4V8_MCU_AID_Rise_Time,4V8_MCU_Bits_period,4V8_MCU_VOH,4V8_MCU_VOL,5V_2P5A_Charge_Capability,5V_2P5A_Charge_Type,5V_2P5A_Charge_Voltage,5V_2P5A_CURR_USBC_PD,5V_2P5A_DCR,5V_2P5A_DUT_Input_Voltage,5V_2P5A_Orion_Power_Voltage,5W_5V_1P0A_BRICKID_CAPABILITY_Curr,5W_5V_1P0A_BRICKID_CAPABILITY_DM_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_DP_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_Type,5W_5V_1P0A_BRICKID_CAPABILITY_Vol,5W_5V_1P0A_BRICKID_System_Curr,9V_2P5A_Charge_Capability,9V_2P5A_Charge_Type,9V_2P5A_Charge_Voltage,9V_2P5A_CURR_USBC_PD,9V_2P5A_DCR,9V_2P5A_DUT_Input_Voltage,9V_2P5A_Orion_Power_Voltage,10W_5V_1P5A_BRICKID_CAPABILITY_Curr,10W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_Type,10W_5V_1P5A_BRICKID_CAPABILITY_Vol,10W_5V_1P5A_BRICKID_System_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_Type,12.5W_5V_1P5A_BRICKID_CAPABILITY_Vol,12.5W_5V_1P5A_BRICKID_System_Curr,CC_Rp_Capability_CURR-10kohm_5V,CC_Rp_Capability_CURR-22kohm_5V,CC_Rp_Capability_CURR-56kohm_5V,CC_Rp_Capability_Type-10kohm_5V,CC_Rp_Capability_Type-22kohm_5V,CC_Rp_Capability_Type-56kohm_5V,CC_Rp_Capability_VOL-10kohm_5V,CC_Rp_Capability_VOL-22kohm_5V,CC_Rp_Capability_VOL-56kohm_5V,FW_VERSION_CCG3,FW_VERSION_L4R5,FW_VERSION_MTFW,GreenPAK ID,KBD_HW_Layout,OrionPWR_On_Sys Voltage,OrionPWR_SYS_CURRENT_ALL_RAILS,OrionPWR_SYS_CURRENT_BLC_ONLY,OrionPWR_SYS_CURRENT_CAPSLOCK_ONLY,OrionPWR_SYS_CURRENT_Energy_Storage,OrionPWR_SYS_CURRENT_Energy_Storage_ONLY,OrionPWR_SYS_CURRENT_IDLE,OrionPWR_SYS_CURRENT_LEDs_to_0PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_3P8PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_100PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_UserMax_brightness,OrionPWR_SYS_CURRENT_MFI_ONLY,OrionPWR_SYS_CURRENT_TOUCH_ONLY,OrionPWR_SYS_CURRENT_USBC_AltPWR_ONLY,PHASE1_CONSUMER_DUT_MODE,PHASE2_C2P_DUT_MODE,PHASE2_SYS_CURRENT_pre_swap_consumer,PHASE2_SYS_CURRENT_pre_swap_provider,PHASE3_Vol_IDBUS_provider,PHASE5_P2C_DUT_MODE,PORION_RVP_OUT_-16V_CURR,PPORION_OVP_OUT_5V2_CURR,PPORION_OVP_OUT_16V_CURR,Production signed check,Read Lang Blob Read Lang Blob fail,READ_HW_VERSION,Read_PHASE5_BROWNOUT_STATUS,SYS_IDBUS_6V_VBUS_0V_CURR,SYS_IDBUS_6V_VBUS_5V2_CURR,SYS_IDBUS_-5V2_VBUS_0V_CURR,USBC Mux_In_Tristar CCG3_USB_PID,USBC Mux_In_Tristar CCG3_USB_VID,USBC Mux_In_Tristar STM32L4_PID,USBC Mux_In_Tristar STM32L4_VID,USBC_PWR_On_Sys Voltage,USBC_PWR_SYS_CURRENT_ALL_RAILS,USBC_PWR_SYS_CURRENT_BLC_ONLY,USBC_PWR_SYS_CURRENT_CAPSLOCK_ONLY,USBC_PWR_SYS_CURRENT_Energy_Storage_5V,USBC_PWR_SYS_CURRENT_Energy_Storage_ONLY,USBC_PWR_SYS_CURRENT_IDLE,USBC_PWR_SYS_CURRENT_LEDs_to_100PCT_brightness,USBC_PWR_SYS_CURRENT_MFI_ONLY,USBC_PWR_SYS_CURRENT_TOUCH_ONLY
Display Name ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCA Priority ----->,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Limit ----->,,,,,,,,,,,,2.5,90,85,10.2,1.85,0.2,4.9,75,77,10.2,1.95,0.2,3000,6,5000,2540,0.205,5.25,5,1,2.1,1.25,4,5000,1040,3000,6,9000,2540,0.205,9.3,8.9,1500,1.25,2.1,4,5000,1540,1500,2.1,2.1,4,5000,1540,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,NA,4900,9.7,3.05,20.5,3.05,0.7,0.3,3.05,18,235,87,0.3,3.9,3.35,5,4,135,140,2900,5,0.1,8,11.5,0,NA,4,1,0.22,0.23,-30,622,1452,622,1452,9100,12,9.25,17.5,7.5,8.4,8.4,142,8.4,10.5
Lower Limit ----->,,,,,,,,,,,,2.35,62,35,9.8,1.5,0,4.7,40,40,9.8,1.8,0,3000,6,5000,2480,0.12,5,4.4,1,1.5,0.6,4,5000,980,3000,6,9000,2480,0.12,8.9,8.5,1500,0.6,1.5,4,5000,1480,1500,1.5,1.5,4,5000,1480,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,NA,4750,8.1,2.55,17,2.55,0.2,0.14,2.55,15,205,75,0.14,2.7,2.8,5,4,100,106,2760,5,-0.3,2,10.5,0,NA,4,1,0.19,0.19,-40,622,1452,622,1452,8900,8,7.25,13.75,5.5,6.3,6.2,122,6.2,7.9
Measurement Unit ----->,,,,,,,,,,,,V,ns,ns,us,V,V,V,ns,ns,us,V,V,mA,NA,mV,mA,ohms,V,V,A,V,V,NA,mV,mA,mA,NA,mV,mA,ohms,V,V,mA,V,V,NA,mV,mA,mA,V,V,NA,mV,mA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mV,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,NA,NA,mA,mA,mV,NA,mA,mA,mA,NA,NA,NA,NA,mA,mA,mA,NA,NA,NA,NA,mV,mA,mA,mA,mA,mA,mA,mA,mA,mA
FXLH,R118,FTPZQ01UPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_6_QT1,PASS,2019/12/30 11:23,2019/12/30 11:29,V1.2.11.1,,2.425649699,77,53.5,10.014,1.700737659,0.000239,4.810016772,52,52,10.013,1.908912317,0.001156,3000,6,5000,2509.679331,0.154514786,5.067349888,4.679567323,1,1.786,0.892,4,5000,1010.326058,3000,6,9000,2510.162972,0.154209246,9.050700751,8.663610411,1500,0.892,1.812,4,5000,1521.828818,1500,1.786,1.812,4,5000,1510.222764,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,33,4801.997491,8.849758702,2.749747773,18.57731699,2.803421975,0.485431018,0.221303621,2.750046628,16.69577628,221.7638433,82.01138737,0.245988219,3.363274424,3.143658598,5,4,117.0333148,123.0665646,2826.792758,5,-0.01935644,3.285595909,11.05485533,0,,4,1,0.200624406,0.20664792,-37.23057935,622,1452,622,1452,8999.864378,10.11949125,8.151124158,15.43740983,6.424021121,7.417958357,7.361661046,132.3779812,7.373449623,9.176729465
FXLH,R118,FTPZQ01UPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_6_QT1,PASS,2019/12/30 11:29,2019/12/30 11:36,V1.2.11.1,,2.425664618,74,51.5,10.016,1.701191897,0.000198,4.81006899,51,52,10.014,1.907241146,0.001162,3000,6,5000,2509.29049,0.153846051,5.06726037,4.681215937,1,1.786,0.892,4,5000,1009.229782,3000,6,9000,2510.169356,0.153668083,9.050685834,8.664952921,1500,0.892,1.812,4,5000,1514.517569,1500,1.786,1.812,4,5000,1510.99382,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,33,4801.975112,8.665041699,2.749033222,18.56295346,2.798211531,0.474486571,0.220905173,2.766120286,16.69469934,221.9148346,82.02052593,0.245478921,3.218306771,3.129115677,5,4,117.7734562,122.8670585,2826.762919,5,-0.019322726,3.286685907,11.05562113,0,,4,1,0.200775513,0.206739293,-37.22895187,622,1452,622,1452,8999.968795,9.996258171,8.151033946,15.44892488,6.420169663,7.414494195,7.361626775,132.4013217,7.371833198,9.170993709
FXLH,R118,FTPZQ01UPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_6_QT1,PASS,2019/12/30 11:36,2019/12/30 11:42,V1.2.11.1,,2.425672078,77,53.5,10.012,1.699152307,0.000177,4.810001852,52,50,10.016,1.908354159,0.001609,3000,6,5000,2509.391539,0.153370161,5.067215612,4.682349826,1,1.786,0.892,4,5000,1010.774528,3000,6,9000,2508.247002,0.15336956,9.050693292,8.666004554,1500,0.892,1.812,4,5000,1521.388714,1500,1.786,1.812,4,5000,1510.515117,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,33,4802.094469,8.673441907,2.749620304,18.56148689,2.792598217,0.482252702,0.220957323,2.765432792,16.69590466,221.909549,82.02766855,0.245622559,3.401927984,3.123504318,5,4,119.7938293,122.0373241,2826.680861,5,-0.019231419,3.28536253,11.05684719,0,,4,1,0.200704968,0.206805563,-37.22880498,622,1452,622,1452,8999.953878,9.978506603,8.131162946,15.41089327,6.417565846,7.399301649,7.333250928,132.3636244,7.343085536,9.269211218
FXLH,R118,FTPZQ01WPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_1_QT1,PASS,2019/12/30 11:32,2019/12/30 11:37,V1.2.11.1,,2.424837569,80,53.5,10.004,1.68825491,0.000492,4.812845141,53,52,10.004,1.902319095,0.000425,3000,6,5000,2508.432909,0.165051257,5.062883616,4.648863612,1,1.736,0.842,4,5000,1010.005339,3000,6,9000,2506.748393,0.164209022,9.047630111,8.635999408,1500,0.842,1.736,4,5000,1515.514115,1500,1.736,1.736,4,5000,1510.044304,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,33,4805.540177,8.667204991,2.769495447,19.03740895,2.813677797,0.484319549,0.222313993,2.787610656,16.65799554,217.6889855,79.8334029,0.247034057,3.417940292,3.124722409,5,4,115.1488613,121.9452809,2815.101533,5,-0.02011039,3.287848234,11.02867777,0,,4,1,0.199344336,0.205389291,-36.88444408,622,1452,622,1452,8997.111527,10.21122624,8.326309091,15.85762369,6.59576902,7.566284641,7.515832642,130.7168934,7.536648421,9.412212458
FXLH,R118,FTPZQ01WPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_1_QT1,PASS,2019/12/30 11:38,2019/12/30 11:44,V1.2.11.1,,2.424897202,80,56.5,10.003,1.689801511,0.000852,4.812897319,54,55,10.002,1.906266542,0.000766,3000,6,5000,2508.565488,0.163069499,5.062689811,4.653619292,1,1.736,0.816,4,5000,1010.047901,3000,6,9000,2506.922509,0.162749934,9.047332022,8.63933055,1500,0.842,1.736,4,5000,1510.36628,1500,1.736,1.736,4,5000,1510.17443,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,33,4805.502907,8.885790864,2.767854137,19.03792932,2.81499911,0.473899029,0.221907506,2.771338265,16.6751538,217.749118,79.84026119,0.24705554,3.218712901,3.140729438,5,4,115.1425316,121.6290133,2814.952452,5,-0.02009867,3.282821139,11.03057385,0,,4,1,0.199385724,0.205373053,-36.87839177,622,1452,622,1452,8996.724011,10.19908806,8.323709623,15.85793569,6.589905185,7.569554441,7.517110018,130.6424942,7.538133411,9.351954651
