FATP-QT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parametric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,BACKLIGHT_SN,BUILD_EVENT,Build_EVENT,ID_Response,KBD HW Layout,KBM_SN,MFI_Address,MIX_FW,MLB_SN,MTCalibrationCheck,QUERY_SFC_LANG,READ_MLB_SN,ReadCCG3FW,ReadMLBblob,Read_MLB_SN,STFW,S_BUILD,TOUCH_FLEX_SN,UNIT_LBL,WO_NO,WO_SN,2V5 MCU AID FALL Time 2V5FALLTIME,2V5 MCU AID RISE Time 2V5RISETIME,2V5 MCU BITS PERIOD 2V5PERIOD,2V5 MCU VOH 2V5VOH,2V5 MCU VOL 2V5VOL,2V5 P203 VOLTAGE 2V5 P203 VOLTAGE,4V8 MCU AID FALL TIME 4V8FALLTIME,4V8 MCU AID RISE TIME 4V8RISETIME,4V8 MCU BITS PERIOD 4V8PERIOD,4V8 MCU VOH 4V8VOH,4V8 MCU VOL 4V8VOL,4V8 P203 VOLTAGE 4V8 P203 VOLTAGE,5V 1.5A Charge Capability ChargeCapability_1A5,5V 1.5A Charge Mode ChargeMode_1A5,5V 1.5A Charge Voltage ChargeVoltage_1A5,5V 1.5A Curr CC Rp = 22kohm CurrCharge 5V 1.5A,5V 1.5A DUT Input Voltage DUTinput_1A5,5V 1.5A Orion Power Voltage OrionPower_1A5,5V 2.5A Charge Capability ChargeCapability_2A5,5V 2.5A Charge Mode ChargeMode_2A5,5V 2.5A Charge Voltage ChargeVoltage_2A5,5V 2.5A Curr CC Rp = 10kohm $#@!(com.apple.hwte.rush.module.BasicCSV.exception.FileNotFound,5V 2.5A Curr CC Rp = 10kohm CurrCharge 5V 2.5A,5V 2.5A DUT Input Voltage DUTinput_2A5,5V 2.5A Orion Power Voltage OrionPower_2A5,9V 2.5A Charge Capability ChargeCapability9V_2A5,9V 2.5A Charge Mode ChargeMode9V_2A5,9V 2.5A Charge Voltage ChargeVoltage9V_2A5,9V 2.5A Curr USBC PD CurrUSBC9VTo2A5,9V 2.5A DUT Input Voltage DUTinput9V_2A5,9V 2.5A Orion Power Voltage OrionPower9V_2A5,BL Critical errors BL_CRI_ERR_PART1,Critical summary CRIT_ERR_E0_PART1,FW Update critical errors CRIT_ERR_E2_PART1,FW Update critical errors CRIT_ERR_E2_PART2,FW Update critical errors CRIT_ERR_E2_PART3,GRAPE critical errors CRIT_ERR_E5_PART1,GRAPE critical errors CRIT_ERR_E5_PART2,GRAPE critical errors CRIT_ERR_E5_PART3,GRAPE critical errors CRIT_ERR_E5_PART4,GRAPE critical errors CRIT_ERR_E5_PART5,GRAPE critical errors CRIT_ERR_E5_PART6,GRAPE critical errors CRIT_ERR_E5_PART7,GRAPE critical errors CRIT_ERR_E5_PART8,GRAPE critical errors CRIT_ERR_E5_PART9,GRAPE critical errors CRIT_ERR_E5_PART10,GreenPAK ID GREEN_PAK_PART1,KBD HW Layout KBD_HW_Layout,KeyScan critical errors CRIT_ERR_E7_PART1,KeyScan critical errors CRIT_ERR_E7_PART2,KeyScan critical errors CRIT_ERR_E7_PART3,KeyScan critical errors CRIT_ERR_E7_PART4,Orion Power SYS CURRENT ALL RAILS SYS CURRENT ALL RAILS,Orion Power SYS CURRENT BLC ONLY CurrBacklight,Orion Power SYS CURRENT Energy storage CurrBackupDisBoostEn,Orion Power SYS CURRENT Energy storage ONLY CurrEnergy,Orion Power SYS CURRENT IDLE SYS CURRENT IDLE,Orion Power SYS CURRENT MFI ONLY CurrMFI,Orion Power SYS CURRENT TOUCH ONLY CurrTouch,Orion Power SYS CURRENT USBC Alt power ONLY CurrUSB,Orion Power SysTem Curr Leds to 0% Brightness Sys_led_percent0,Orion Power SysTem Curr Leds to 1% Brightness Sys_led_percent1,Orion Power SysTem Curr Leds to 100% Brightness Sys_led_percent100,Orion Power SysTem Curr Leds to PD 50% Brightnes Sys_led_percent50,PHASE3 ORIONPWR DUT MODE STATUS_READ_F0_PART1,PHASE3 ORIONPWR DUT MODE STATUS_READ_F2_PART1,PPORION OVP OUT 5V2 CURR Read_Orin_Curr_5V2,PPORION OVP OUT 16V CURR Read_Orin_Curr_16V,PPORION OVP OUT -16V CURR Read_Orin_Curr_minus16V,Production signed check Production_signed_check,Read HW Version READ_HW_VERSION,Read MFI Address Read_MFI_Address,STFW STFW,SYS IDBUS 6V VBUS 0V CURR MeasSysCurr6To0,SYS IDBUS 6V VBUS 5V2 CURR MeasSysCurr6To5V2,SYS IDBUS -4V VBUS 0V CURR SYS_IDBUS_-4V_VBUS_0V_CURR,SYS IDBUS -4V VBUS 0V VOL SYS IDBUS -4V VBUS 0V VOL,System critical errors CRIT_ERR_E1_PART1,System critical errors CRIT_ERR_E1_PART2,System Curr caps lock LED is off SystemCurrentLockOff,System Curr caps lock LED is on SystemCurrentLockOn,TOUCH FW TOUCH_FW,USB-C Power SYS CURRENT ALL RAILS USBC SYS CURRENT ALL RAILS,USB-C Power SYS CURRENT BLC ONLY Usbc_CurrBacklight,USB-C Power SYS CURRENT Capslock ONLY Usbc_CurrCapsLock,USB-C Power SYS CURRENT IDLE (USB-C Power) SYS CURRENT IDLE,USB-C Power SYS CURRENT MFI ONLY Usbc_CurrMFI,USB-C Power SYS CURRENT TOUCH ONLY Usbc_CurrTouch,USB-C Power SysTem Curr Leds to 0% Brightness Usbc_Sys_led_percent0,USB-C Power SysTem Curr Leds to 1% Brightness Usbc_Sys_led_percent1,USB-C Power SysTem Curr Leds to 100% Brightness Usbc_Sys_led_percent100,USB-C Power SysTem Curr Leds to PD 50% Brightnes Usbc_Sys_led_percent50,USBC critical errors CRIT_ERR_E3_PART1,USBC critical errors CRIT_ERR_E3_PART2,USBC critical errors CRIT_ERR_E3_PART3,USBC critical errors CRIT_ERR_E3_PART4,USBC Power On Measure Voltage $#@!(com.apple.hwte.rush.module.BasicCSV.exception.FileNotFound,USBC Power On Measure Voltage USBCPowerOnPD_Voltage,Write And Read 0x01 Read0x01_PART1
Display Name ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCA Priority ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
Upper Limit ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,120,NA,1.95,0.1,2.7,120,120,NA,1.95,0.1,4.93,500,1,5000,1520,5100,4800,500,1,5000,NA,2525,5200,4650,3000,6,9000,2525,9100,8700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,4.2,1.75,1.8,1.75,1.75,15,3.75,4.2,6.95,280,80,NA,NA,30,11.5,0.1,0,3,16,352,0.22,0.23,-25,-3.9,NA,NA,1.75,22.4,1285,31.5,7.4,24,4.7,4.7,18,7.5,10.5,295,85,NA,NA,NA,NA,NA,5050,NA
Lower Limit ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,NA,1.5,0,2.25,0,0,NA,1.5,0,4.7,500,1,5000,1490,4900,4500,500,1,5000,NA,2475,4950,4150,3000,6,9000,2475,8600,8100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,2.9,0.5,0.9,0.5,0.5,11,2.6,2.9,5.75,240,65,NA,NA,7,10.5,-0.3,0,3,16,352,0.19,0.19,-35,-4.1,NA,NA,0.5,17.7,1285,25,5.7,21,3.2,3.2,14.5,5.5,8.5,265,70,NA,NA,NA,NA,NA,4950,NA
Measurement Unit ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ns,ns,us,V,V,V,ns,ns,us,V,V,V,NA,NA,mV,mA,mV,mV,NA,NA,NA,NA,mA,mV,mV,mA,NA,mA,mA,mV,mV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,NA,NA,mA,mA,mA,NA,NA,NA,NA,mA,mA,mA,V,NA,NA,mA,mA,NA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,NA,NA,NA,NA,NA,mV,NA
FXLH,R128,FTPZF001P3ML,R128-P2,R128-P2_P22J-LBU,,FXLH_F05-4FT-01_4_QT1,PASS,2019/9/26 18:59,2019/9/26 19:04,V2.2.5.6_forCYG,,GV29374004AP2RY28,R128-P2,R128-P2,00 f3 01 00 01 00,,C4P9354000NJCQW3B,,1.0.3,DLX93730025N47323,03 08 00 00,J Japanese,DLX93730025N47323,A0 02 00 0B 00 0B 00 0B,02 01 03 03 4B,DLX93730025N47323,0x0160,R128-P2_P22J-LBU,C479355067JJFK02E,R128-P2_P22J-LBU_C01187,WCR-J9000C,WCR-J9000C,102,70,10.028,1.658747615,0.001802,2.396144787,92,101,10.026,1.836695404,0.001885,4.830151582,500,1,5000,1506.652007,4999.698418,4604.317822,500,1,5000,,2504.481286,5000.57091,4340.504557,3000,6,9000,2506.714925,9000.478561,8339.544438,0,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,15,0,0,0,0,28.32758826,3.519530744,1.14937799,1.169855367,0.900633274,0.836758313,12.58878981,3.276796739,3.452150538,6.391116633,262.1258508,73.21725253,1,4,10.76039617,10.82331712,-0.122926183,0,3,16,352,0.200640217,0.20652665,-27.91371672,-3.980885745,8704,0,0.895660885,19.69116071,1285,28.60671176,6.406715575,22.5541991,3.815850429,3.806842793,16.45219864,6.42889137,9.353111344,275.6910425,77.83795811,0,0,0,0,,4998.937784,1
FXLH,R128,FTPZF001P3ML,R128-P2,R128-P2_P22J-LBU,,FXLH_F05-4FT-01_4_QT1,PASS,2019/9/26 19:04,2019/9/26 19:09,V2.2.5.6_forCYG,,GV29374004AP2RY28,R128-P2,R128-P2,00 f3 01 00 01 00,,C4P9354000NJCQW3B,,1.0.3,DLX93730025N47323,03 08 00 00,J Japanese,DLX93730025N47323,A0 02 00 0B 00 0B 00 0B,02 01 03 03 4B,DLX93730025N47323,0x0160,R128-P2_P22J-LBU,C479355067JJFK02E,R128-P2_P22J-LBU_C01187,WCR-J9000C,WCR-J9000C,108,71,10.033,1.659394762,0.00146,2.395003836,92,99,10.027,1.83657176,0.002027,4.830330555,500,1,5000,1506.726331,4999.422502,4554.048856,500,1,5000,,2504.573935,4999.661132,4242.927132,3000,6,9000,2506.873682,9000.090882,8245.94963,0,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,15,0,0,0,0,27.34940807,3.514117489,1.14744589,1.162919559,0.899881633,0.83534176,12.67247723,3.263291307,3.469199761,6.382699226,262.625877,73.24533785,1,4,10.82395553,10.8454881,-0.114629021,0,3,16,352,0.200792439,0.206762549,-27.90834911,-3.980270271,8704,0,0.905005796,19.68035588,1285,28.58617898,6.397255027,22.55433883,3.801318719,3.822776601,16.32924283,6.420712465,9.289939841,275.7212,77.84035035,0,0,0,0,,4999.02727,1
FXLH,R128,FTPZF001P3ML,R128-P2,R128-P2_P22J-LBU,,FXLH_F05-4FT-01_4_QT1,PASS,2019/9/26 19:10,2019/9/26 19:15,V2.2.5.6_forCYG,,GV29374004AP2RY28,R128-P2,R128-P2,00 f3 01 00 01 00,,C4P9354000NJCQW3B,,1.0.3,DLX93730025N47323,03 08 00 00,J Japanese,DLX93730025N47323,A0 02 00 0B 00 0B 00 0B,02 01 03 03 4B,DLX93730025N47323,0x0160,R128-P2_P22J-LBU,C479355067JJFK02E,R128-P2_P22J-LBU_C01187,WCR-J9000C,WCR-J9000C,105,69,10.03,1.655707102,0.001888,2.394847235,92,100,10.026,1.837101877,0.002213,4.830166497,500,1,5000,1506.724695,4999.467245,4591.856846,500,1,5000,,2504.518001,5000.138393,4322.584912,3000,6,9000,2506.904514,8999.919408,8320.980549,0,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,15,0,0,0,0,28.30130976,3.521679664,1.164193975,1.165849028,0.925259126,0.839225235,12.91926576,3.274421364,3.456400196,6.358668422,262.3194617,73.21874376,1,4,10.81927224,10.85031835,-0.114554337,0,3,16,352,0.200790329,0.206662414,-27.90654223,-3.980462329,8704,0,0.905391252,19.68289508,1285,28.60812832,6.399078718,22.55304996,3.795681418,3.802371497,16.18353787,6.408091173,9.276118817,275.7079921,77.869315,0,0,0,0,,4998.960156,1
FXLH,R128,FTPZF007P3ML,R128-P2,R128-P2_P22J-LBU,,FXLH_F05-4FT-01_4_QT1,PASS,2019/9/26 18:17,2019/9/26 18:22,V2.2.5.6_forCYG,,GV293740049P2RY29,R128-P2,R128-P2,00 f3 01 00 01 00,,C4P93540008JCQW3R,,1.0.3,DLX93730023N47325,00 00 00 00,J Japanese,DLX93730023N47325,A0 02 00 0B 00 0B 00 0B,02 01 03 03 4B,DLX93730023N47325,0x0160,R128-P2_P22J-LBU,C47935506GQJFK02F,R128-P2_P22J-LBU_C01193,WCR-J9000C,WCR-J9000C,109,71,10.011,1.656979935,0.000743,2.397039651,93,100,10.012,1.834750953,0.001716,4.830561728,500,1,5000,1505.909078,4999.802819,4572.47559,500,1,5000,,2505.544858,4999.787904,4298.386307,3000,6,9000,2506.099624,9000.292177,8306.18908,0,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,15,0,0,0,0,28.10705414,3.563113829,1.200552159,1.187675503,0.917186221,0.873441727,12.62645613,3.31359579,3.493765386,6.51809564,262.6096767,73.47591552,1,4,10.81059706,10.83358472,-0.122921365,0,3,16,352,0.200774594,0.206664283,-27.91238446,-3.980456396,8704,0,0.939388516,19.48961032,1285,28.40111408,6.461797309,22.38691339,3.848527504,3.837267356,16.17404841,6.467988704,9.456194458,275.9404243,78.09347482,0,0,0,0,,4999.02727,1
FXLH,R128,FTPZF007P3ML,R128-P2,R128-P2_P22J-LBU,,FXLH_F05-4FT-01_4_QT1,PASS,2019/9/26 18:25,2019/9/26 18:30,V2.2.5.6_forCYG,,GV293740049P2RY29,R128-P2,R128-P2,00 f3 01 00 01 00,,C4P93540008JCQW3R,,1.0.3,DLX93730023N47325,00 00 00 00,J Japanese,DLX93730023N47325,A0 02 00 0B 00 0B 00 0B,02 01 03 03 4B,DLX93730023N47325,0x0160,R128-P2_P22J-LBU,C47935506GQJFK02F,R128-P2_P22J-LBU_C01193,WCR-J9000C,WCR-J9000C,103,69,10.012,1.660673502,0.001414,2.397136595,91,99,10.014,1.835532231,0.002424,4.830494614,500,1,5000,1506.01601,4999.787904,4594.265521,500,1,5000,,2505.555762,5000.473967,4314.896542,3000,6,9000,2506.827767,9000.113248,8312.585794,0,0,0,0,0,16777216,0,0,0,0,0,16842752,16777216,0,0,2,15,0,0,0,0,28.14095745,3.573750019,1.172168106,1.178034272,0.924377394,0.878833299,12.77369811,3.305231384,3.520255884,6.52830542,262.4448019,73.44429604,1,4,10.8184411,10.96408343,-0.104604488,0,3,16,352,0.201221614,0.207061266,-27.89884977,-3.980589131,8704,0,0.92159488,19.4959029,1285,28.31079199,6.537474466,22.39524647,3.830851914,3.867426918,15.80014115,6.46249354,9.470904441,275.8702576,78.03994936,0,0,0,0,,4999.019813,1
