QT1,V2.3.1.0 - All,,,,,,,,,,,Parametric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,2V4_DUT_Applied_Voltage,2V4_MCU_AID_Fall_Time,2V4_MCU_AID_Rise_Time,2V4_MCU_Bits_period,2V4_MCU_VOH,2V4_MCU_VOL,4V8_DUT_Applied_Voltage,4V8_MCU_AID_Fall_Time,4V8_MCU_AID_Rise_Time,4V8_MCU_Bits_period,4V8_MCU_VOH,4V8_MCU_VOL,5V_2P5A_Charge_Capability,5V_2P5A_Charge_Type,5V_2P5A_Charge_Voltage,5V_2P5A_CURR_USBC_PD,5V_2P5A_DCR,5V_2P5A_DUT_Input_Voltage,5V_2P5A_Orion_Power_Voltage,5W_5V_1P0A_BRICKID_CAPABILITY_Curr,5W_5V_1P0A_BRICKID_CAPABILITY_DM_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_DP_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_Type,5W_5V_1P0A_BRICKID_CAPABILITY_Vol,5W_5V_1P0A_BRICKID_System_Curr,9V_2P5A_Charge_Capability,9V_2P5A_Charge_Type,9V_2P5A_Charge_Voltage,9V_2P5A_CURR_USBC_PD,9V_2P5A_DCR,9V_2P5A_DUT_Input_Voltage,9V_2P5A_Orion_Power_Voltage,10W_5V_1P5A_BRICKID_CAPABILITY_Curr,10W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_Type,10W_5V_1P5A_BRICKID_CAPABILITY_Vol,10W_5V_1P5A_BRICKID_System_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_Type,12.5W_5V_1P5A_BRICKID_CAPABILITY_Vol,12.5W_5V_1P5A_BRICKID_System_Curr,Atlas Hyperion Closed,CB Error Could not set FAIL CB,CB Error Could not set PASS CB,CC_Rp _SYS_Curr-56kohm_5V,CC_Rp_Capability_CURR-10kohm_5V,CC_Rp_Capability_CURR-22kohm_5V,CC_Rp_Capability_CURR-56kohm_5V,CC_Rp_Capability_Type-10kohm_5V,CC_Rp_Capability_Type-22kohm_5V,CC_Rp_Capability_Type-56kohm_5V,CC_Rp_Capability_VOL-10kohm_5V,CC_Rp_Capability_VOL-22kohm_5V,CC_Rp_Capability_VOL-56kohm_5V,CC_Rp_SYS_CURR-10kohm_5V,CC_Rp_SYS_CURR-22kohm_5V,FW_VERSION_CCG3,FW_VERSION_L4R5,FW_VERSION_MTFW,GreenPAK ID,KBD_HW_Layout,OrionPWR_On_Sys Voltage error,OrionPWR_On_Sys Voltage,OrionPWR_SYS_CURRENT_ALL_RAILS error,OrionPWR_SYS_CURRENT_ALL_RAILS,OrionPWR_SYS_CURRENT_BLC_ONLY,OrionPWR_SYS_CURRENT_CAPSLOCK_ONLY,OrionPWR_SYS_CURRENT_Energy_Storage,OrionPWR_SYS_CURRENT_Energy_Storage_ONLY,OrionPWR_SYS_CURRENT_IDLE,OrionPWR_SYS_CURRENT_LEDs_to_0PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_3P8PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_100PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_UserMax_brightness,OrionPWR_SYS_CURRENT_MFI_ONLY,OrionPWR_SYS_CURRENT_TOUCH_ONLY,OrionPWR_SYS_CURRENT_USBC_AltPWR_ONLY,PHASE1_CONSUMER_DUT_MODE,PHASE2_C2P_DUT_MODE,PHASE2_SYS_CURRENT_pre_swap_consumer,PHASE2_SYS_CURRENT_pre_swap_provide,PHASE3_Vol_IDBUS_provider,PHASE5:P2C_DUT_MODE,PORION_RVP_OUT_-16V_CURR error,PORION_RVP_OUT_-16V_CURR,PPORION_OVP_OUT_5V2_CURR error,PPORION_OVP_OUT_5V2_CURR,PPORION_OVP_OUT_16V_CURR error,PPORION_OVP_OUT_16V_CURR,Production signed check,READ_HW_VERSION,Read_PHASE5_BROWNOUT_STATUS,SYS_IDBUS_6V_VBUS_0V_CURR error,SYS_IDBUS_6V_VBUS_0V_CURR,SYS_IDBUS_6V_VBUS_5V2_CURR error,SYS_IDBUS_6V_VBUS_5V2_CURR,SYS_IDBUS_-5V2_VBUS_0V_CURR error,SYS_IDBUS_-5V2_VBUS_0V_CURR,USBC_PWR_On_Sys Voltage,USBC_PWR_SYS_CURRENT_ALL_RAILS,USBC_PWR_SYS_CURRENT_BLC_ONLY,USBC_PWR_SYS_CURRENT_CAPSLOCK_ONLY,USBC_PWR_SYS_CURRENT_Energy_Storage,USBC_PWR_SYS_CURRENT_Energy_Storage_ONLY,USBC_PWR_SYS_CURRENT_IDLE,USBC_PWR_SYS_CURRENT_LEDs_to_100PCT_brightness,USBC_PWR_SYS_CURRENT_MFI_ONLY,USBC_PWR_SYS_CURRENT_TOUCH_ONLY
Display Name ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCA Priority ----->,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0
Upper Limit ----->,,,,,,,,,,,,2.5,88,84,10.15,1.85,0.08,4.9,66,77,10.15,1.95,0.08,NA,NA,NA,NA,0.19,5.25,5.15,1,3.6,1.426,4,5000,1040,3000,6,9000,2540,0.19,9.45,9.1,1500,1.426,3.6,4,5000,1540,1500,3.6,3.6,4,5000,1540,NA,NA,NA,20,3001,1591,501,5,5,5,5001,5001,5001,20,20,258,624,1301,3,NA,NA,4900,NA,11.5,3.84,20,4.16,0.7,0.24,3.84,20.9,293,96.5,0.24,9,3.35,5,4,140,165,2960,5,NA,0.1,NA,8,NA,11.5,0,4,1,NA,0.22,NA,0.23,NA,-30,9100,13,9.61,16.75,9.5,8.5,8.2,178,8.2,12
Lower Limit ----->,,,,,,,,,,,,2.35,54,13,9.9,1.5,0,4.7,43,25,9.9,1.8,0,NA,NA,NA,NA,0.08,4.75,4.4,1,1.398,0.25,4,5000,980,3000,6,9000,2480,0.08,8.75,8.6,1500,0.25,1.398,4,5000,1480,1500,1.398,1.398,4,5000,1480,NA,NA,NA,1,2999,1499,499,5,5,5,4999,4999,4999,1,1,258,624,1301,3,NA,NA,4750,NA,5.7,2.07,17.5,2.24,0.1,0.08,2.07,17.9,263,81.5,0.08,1,2.75,5,4,80,80,2740,5,NA,-0.3,NA,2,NA,10.5,0,4,1,NA,0.19,NA,0.19,NA,-40,8900,7,6.79,14.25,6.5,6.5,6.2,148,6.2,8
Measurement Unit ----->,,,,,,,,,,,,V,ns,ns,us,V,V,V,ns,ns,us,V,V,NA,NA,NA,NA,ohms,V,V,A,V,V,NA,mV,mA,mA,NA,mV,mA,ohms,V,V,mA,V,V,NA,mV,mA,mA,V,V,NA,mV,mA,NA,NA,NA,mA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mA,mA,NA,NA,NA,NA,NA,NA,mV,NA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,NA,NA,mA,mA,mV,NA,NA,mA,NA,mA,NA,mA,NA,NA,NA,NA,mA,NA,mA,NA,mA,mV,mA,mA,mA,mA,mA,mA,mA,mA,mA
FXLH,R128,FTPZQ02GPPLC,R128-EVT,R128-EVT_E2AEN-LHWTE1,,FXLH_F05-4FT-01_5_QT1,FAIL,2019/12/4 20:31,2019/12/4 20:36,V2.3.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage;4V8_MCU_VOH,2.42405295,78,58.9,9.993,1.727923497,0.007458,4.804106397,61,59,9.992,1.953847891,0.004413,3000,6,5000,2514.569048,0.154915537,5.072823918,4.683278103,1,1.78,0.876,4,5000,1011.001693,3000,6,9000,2511.579708,0.154779316,9.058014782,8.669274193,1500,0.876,1.76,4,5000,1511.301731,1500,1.78,1.78,4,5000,1509.833012,,,,16.14306652,3000,1500,500,5,5,5,5000,5000,5000,16.12600727,16.13445905,258,624,1301,3,33,,4796.098036,,9.068711294,2.724359424,19.00236534,2.768960579,0.434288889,0.169728897,2.720805875,19.47266998,278.3540009,88.17240327,0.185567155,3.614739065,3.062872493,5,4,124.818646,130.3363415,2824.949552,5,,-0.020288274,,3.267570611,,11.05881222,0,4,1,,0.200474486,,0.206442517,,-35.53656011,9005.196361,9.921914419,8.24074903,15.69300086,6.475408658,7.465997883,7.413603646,162.813966,7.435046136,8.985321679
FXLH,R128,FTPZQ02GPPLC,R128-EVT,R128-EVT_E2AEN-LHWTE1,,FXLH_F05-4FT-01_5_QT1,FAIL,2019/12/4 20:41,2019/12/4 20:46,V2.3.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.424045473,79,56.9,9.994,1.718945748,0.007235,4.804054055,59,59,9.994,1.949644251,0.009069,3000,6,5000,2514.527996,0.154727749,5.072794008,4.68372675,1,1.78,0.876,4,5000,1011.049201,3000,6,9000,2509.534206,0.154631401,9.05782788,8.669775089,1500,0.876,1.78,4,5000,1521.596196,1500,1.78,1.78,4,5000,1509.516582,,,,16.15934731,3000,1500,500,5,5,5,5000,5000,5000,16.14749258,16.13919649,258,624,1301,3,33,,4796.083081,,9.143338238,2.723709798,19.00332039,2.759526465,0.428990077,0.151461815,2.737141048,19.47198884,278.3953321,88.22964061,0.184660588,3.634833825,3.069349357,5,4,124.9035098,129.7854031,2824.874777,5,,-0.020328088,,3.268802613,,11.05854946,0,4,1,,0.200459585,,0.206334424,,-35.53598976,9005.136552,10.06493142,8.22917697,15.70221439,6.488837484,7.481862804,7.408067285,162.8092608,7.445318945,9.558109586
FXLH,R128,FTPZQ02GPPLC,R128-EVT,R128-EVT_E2AEN-LHWTE1,,FXLH_F05-4FT-01_5_QT1,FAIL,2019/12/4 21:03,2019/12/4 21:08,V2.3.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.423910879,81,57.9,9.992,1.712747243,0.006632,4.803964325,59,61,9.994,1.949658879,0.008415,3000,6,5000,2514.286128,0.154626648,5.072786531,4.684010894,1,1.78,0.876,4,5000,1009.13087,3000,6,9000,2509.326761,0.15449224,9.057902641,8.67023113,1500,0.876,1.78,4,5000,1512.787087,1500,1.78,1.78,4,5000,1510.964483,,,,16.14110927,3000,1500,500,5,5,5,5000,5000,5000,16.13730597,16.1170217,258,624,1301,3,33,,4795.896145,,9.100271459,2.722871103,19.01795635,2.755517209,0.434048915,0.165797208,2.717295958,19.48477773,278.2203837,88.20571354,0.184830266,3.622779393,3.08100868,5,4,124.9216019,130.3410952,2825.084146,5,,-0.02027716,,3.269426178,,11.0577623,0,4,1,,0.20045757,,0.206361966,,-35.55610124,9004.889842,10.3878559,8.239030431,15.70531708,6.481662515,7.479526092,7.405589982,162.7388208,7.428743799,9.212770601
FXLH,R128,FTPZQ02GPPLC,R128-EVT,R128-EVT_E2AEN-LHWTE1,,FXLH_F05-4FT-01_5_QT1,FAIL,2019/12/4 21:08,2019/12/4 21:13,V2.3.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.423918356,81,57.9,9.997,1.718411337,0.007055,4.804031623,59,60,9.996,1.948651982,0.008954,3000,6,5000,2514.363539,0.15456241,5.072921125,4.684295037,1,1.78,0.876,4,5000,1011.070976,3000,6,9000,2509.618248,0.154471317,9.05820916,8.670545124,1500,0.876,1.78,4,5000,1521.652534,1500,1.78,1.78,4,5000,1511.146552,,,,16.14315549,3000,1500,500,5,5,5,5000,5000,5000,16.14800414,16.14288859,258,624,1301,3,33,,4796.068126,,9.133797469,2.722999574,19.0060619,2.762556435,0.443497573,0.158753135,2.72654585,19.4872308,278.3726884,88.23606414,0.183926123,3.612121171,3.072556277,5,4,124.3879093,129.394643,2825.076669,5,,-0.019973849,,3.26756781,,11.06105661,0,4,1,,0.200744475,,0.206799469,,-35.54055933,9005.71221,10.37743522,8.234340038,15.6998195,6.476947882,7.474433319,7.418972752,162.7579156,7.435576986,9.582329952
FXLH,R128,FTPZQ02GPPLC,R128-EVT,R128-EVT_E2AEN-LHWTE1,,FXLH_F05-4FT-01_5_QT1,FAIL,2019/12/4 21:14,2019/12/4 21:19,V2.3.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.423993131,79,57.9,9.992,1.719476282,0.007598,4.804091442,56,59,9.993,1.948530248,0.008932,3000,6,5000,2514.739067,0.154720709,5.072808963,4.68372675,1,1.78,0.876,4,5000,1010.172574,3000,6,9000,2509.686291,0.154657777,9.057992354,8.66984985,1500,0.876,1.78,4,5000,1521.716212,1500,1.78,1.78,4,5000,1511.230892,,,,16.1363051,3000,1500,500,5,5,5,5000,5000,5000,16.15467659,16.14179875,258,624,1301,3,33,,4795.798938,,8.046300115,2.727629367,19.01972101,2.764643478,0.426820619,0.158867062,2.728868019,19.49313075,278.3574189,88.18987528,0.204743228,2.206884221,3.070260772,5,4,124.5269678,129.9967205,2825.158921,5,,-0.019899716,,3.268039545,,11.06067899,0,4,1,,0.200739895,,0.206769667,,-35.53895135,9005.562688,10.24773555,8.232592352,15.70739928,6.48397014,7.475051432,7.409565302,162.827175,7.436139349,9.595494565
