FATP-QT,V2.3.9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Durations,Version,List of Failing Tests,Read_FATP_SN,PPORION_OVP_OUT_16V_CURR,PPORION_OVP_OUT_5V2_CURR,PORION_RVP_OUT_-16V_CURR,SYS_IDBUS_6V_VBUS_5V2_CURR,SYS_IDBUS_6V_VBUS_0V_CURR,SYS_IDBUS_-5V2_VBUS_0V_CURR,Query SFC Lang,Read Lang Blob,Query MLB SN,Read MLB SN,KBM SN,WO NO,Unit LBL,Build EVENT,Build MATRIX CONFIG,UNIT#,S BUILD,USBC BOARD SN,BACKLIGHT SN,TRACKPAD SN,TOUCH FLEX SN,P line SN,KBD_HW_Layout,READ_HW_VERSION,FW_VERSION_L4R5,FW_VERSION_MTFW,FW_VERSION_CCG3,MIX FW,Production signed check,GreenPAK ID,OrionPWR_On_Sys Voltage,OrionPWR_SYS_CURRENT_ALL_RAILS,OrionPWR_SYS_CURRENT_IDLE,OrionPWR_SYS_CURRENT_LEDs_to_0PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_3P8PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_100PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_UserMax_brightness,OrionPWR_SYS_CURRENT_CAPSLOCK_ONLY,OrionPWR_SYS_CURRENT_MFI_ONLY,OrionPWR_SYS_CURRENT_BLC_ONLY,OrionPWR_SYS_CURRENT_USBC_AltPWR_ONLY,OrionPWR_SYS_CURRENT_TOUCH_ONLY,OrionPWR_SYS_CURRENT_Energy_Storage_ONLY,OrionPWR_SYS_CURRENT_Energy_Storage,USBC_PWR_On_Sys Voltage,USBC_PWR_SYS_CURRENT_ALL_RAILS,USBC_PWR_SYS_CURRENT_IDLE,USBC_PWR_SYS_CURRENT_CAPSLOCK_ONLY,USBC_PWR_SYS_CURRENT_BLC_ONLY,USBC_PWR_SYS_CURRENT_MFI_ONLY,USBC_PWR_SYS_CURRENT_TOUCH_ONLY,USBC_PWR_SYS_CURRENT_Energy_Storage_ONLY,USBC_PWR_SYS_CURRENT_LEDs_to_100PCT_brightness,USBC_PWR_SYS_CURRENT_Energy_Storage_5V,5W_5V_1P0A_BRICKID_System_Curr,5W_5V_1P0A_BRICKID_CAPABILITY_Type,5W_5V_1P0A_BRICKID_CAPABILITY_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_Curr,5W_5V_1P0A_BRICKID_CAPABILITY_DM_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_DP_Vol,10W_5V_1P5A_BRICKID_System_Curr,10W_5V_1P5A_BRICKID_CAPABILITY_Type,10W_5V_1P5A_BRICKID_CAPABILITY_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_Curr,10W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,12.5W_5V_1P5A_BRICKID_System_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_Type,12.5W_5V_1P5A_BRICKID_CAPABILITY_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,CC_Rp_Capability_Type-56kohm_5V,CC_Rp_Capability_VOL-56kohm_5V,CC_Rp_Capability_CURR-56kohm_5V,CC_Rp_Capability_Type-22kohm_5V,CC_Rp_Capability_VOL-22kohm_5V,CC_Rp_Capability_CURR-22kohm_5V,CC_Rp_Capability_Type-10kohm_5V,CC_Rp_Capability_VOL-10kohm_5V,CC_Rp_Capability_CURR-10kohm_5V,5V_2P5A_CURR_USBC_PD,5V_2P5A_Charge_Type,5V_2P5A_Charge_Voltage,5V_2P5A_Charge_Capability,5V_2P5A_Orion_Power_Voltage,5V_2P5A_DUT_Input_Voltage,5V_2P5A_DCR,9V_2P5A_CURR_USBC_PD,9V_2P5A_Charge_Type,9V_2P5A_Charge_Voltage,9V_2P5A_Charge_Capability,9V_2P5A_Orion_Power_Voltage,9V_2P5A_DUT_Input_Voltage,9V_2P5A_DCR,PHASE1_CONSUMER_DUT_MODE,PHASE2_SYS_CURRENT_pre_swap_consumer,PHASE2_C2P_DUT_MODE,PHASE2_SYS_CURRENT_pre_swap_provider,PHASE3_Vol_IDBUS_provider,PHASE5_P2C_DUT_MODE,Read_PHASE5_BROWNOUT_STATUS,4V8_DUT_Applied_Voltage,4V8_MCU_AID_Rise_Time,4V8_MCU_AID_Fall_Time,4V8_MCU_VOH,4V8_MCU_VOL,4V8_MCU_Bits_period,2V4_DUT_Applied_Voltage,2V4_MCU_AID_Rise_Time,2V4_MCU_AID_Fall_Time,2V4_MCU_VOH,2V4_MCU_VOL,2V4_MCU_Bits_period,USBC Mux_In_Tristar CCG3_USB_VID,USBC Mux_In_Tristar CCG3_USB_PID,USBC Mux_In_Tristar STM32L4_VID,USBC Mux_In_Tristar STM32L4_PID
Upper Limited-------->,,,,,,,,,,,,,,11.5,8,0.1,0.23,0.22,-30,,,,,,,,,,,,,,,,,,4,624,1301,258,,0,3,4900,9.7,0.3,3.05,20.7,294,96,20.5,0.3,3.05,3.35,3.9,0.7,3.05,9100,12,8.4,17.5,9.25,8.4,10.5,8.4,178,7.5,1040,4,5000,1,2.1,1.25,1540,4,5000,1500,1.25,2.1,1540,4,5000,1500,2.1,2.1,5,5000,500,5,5000,1500,5,5000,3000,2540,6,5000,3000,4.85,5.25,0.221,2540,6,9000,3000,8.9,9.3,0.221,5,143,4,149,2900,5,1,4.9,77,75,1.95,0.2,10.2,2.5,85,90,1.85,0.2,10.2,1452,623,1452,623
Lower Limited-------->,,,,,,,,,,,,,,10.5,2,-0.3,0.19,0.19,-40,,,,,,,,,,,,,,,,,,4,624,1301,258,,0,3,4750,8.1,0.14,2.55,18.2,263,82,17,0.14,2.55,2.8,2.7,0.2,2.55,8900,8,6.2,13.75,7.25,6.2,7.9,6.3,148,5.5,980,4,5000,1,1.5,0.6,1480,4,5000,1500,0.6,1.5,1480,4,5000,1500,1.5,1.5,5,5000,500,5,5000,1500,5,5000,3000,2480,6,5000,3000,4.4,4.75,0.12,2480,6,9000,3000,8.35,8.9,0.12,5,108,4,114,2760,5,1,4.7,40,40,1.8,0,9.8,2.35,35,62,1.5,0,9.8,1452,623,1452,623
Measurement Units---->,,,,,,,,,,,,,,mA,mA,mA,mA,mA,mA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,,NA,NA,mV,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mV,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,NA,mV,A,V,V,mA,NA,mV,mA,V,V,mA,NA,mV,mA,V,V,NA,NA,NA,NA,NA,NA,NA,NA,NA,mA,NA,mV,mA,V,V,ohms,mA,NA,mV,mA,V,V,ohms,NA,mA,NA,mA,mV,NA,NA,V,ns,ns,V,V,us,V,ns,ns,V,V,us,NA,NA,NA,NA
FXLH,R128,FTPZQ02HPPLC,R128-EVT,R128-EVT_E2AEN-LHWTE1,,FXLH_F05-4FT-01_5_QT1,PASS,12-23-16:01:54,12-23-16:08:07,372.53,V2.3.9.1,PASS,FTPZQ02HPPLC,11.02281164,3.279238298,-0.019715813,0.205467305,0.199541474,-37.09752008,US ENGLISH,02 01 01 05 49,DLX9475000LN4735G,DLX9475000LN4735G,C4P9457008SJCPQ3N,WCR-JB0013,R128-EVT_E2AEN-LHWTE1_C02580,R128-EVT,E2AEN-LHWTE1,C02580,R128-EVT_E2AEN-LHWTE1,DLX94720056MW013Q,GV29472004PN5TG5X,FM794640097KG9X5N+N7J,CR1947301ZFJFK01M,DKB9476001MPQGM0F,33,4,624,1301,258," ""1.0.29""",0,3,4804.248744,8.807944967,0.222754788,2.780017191,19.60112393,279.0878514,88.19330135,18.79145526,0.246880452,2.761696452,3.169862923,3.496653372,0.493322421,2.801492625,9000.96629,10.20181952,7.487174888,15.63257703,8.279710318,7.505795607,9.455158657,7.549445587,162.9128547,6.556130595,1010.059897,4,5000,1,1.786,0.892,1512.226863,4,5000,1500,0.892,1.806,1511.910692,4,5000,1500,1.786,1.806,5,5000,500,5,5000,1500,5,5000,3000,2510.290618,6,5000,3000,4.657913282,5.086788523,0.170846848,2510.187299,6,9000,3000,8.648350572,9.075200002,0.170046845,5,124.8279109,4,129.2950423,2826.090376,5,1,4.81236111,54,54.2,1.913728808,0.000551,10.013,2.423503969,53.1,74,1.701573024,0.000181,10.014,1452,623,1452,623
FXLH,R128,FTPZQ02HPPLC,R128-EVT,R128-EVT_E2AEN-LHWTE1,,FXLH_F05-4FT-01_5_QT1,PASS,12-23-16:08:14,12-23-16:14:25,371.01,V2.3.9.1,PASS,FTPZQ02HPPLC,11.02393394,3.284281581,-0.019741001,0.205316851,0.199424401,-37.07632206,US ENGLISH,02 01 01 05 49,DLX9475000LN4735G,DLX9475000LN4735G,C4P9457008SJCPQ3N,WCR-JB0013,R128-EVT_E2AEN-LHWTE1_C02580,R128-EVT,E2AEN-LHWTE1,C02580,R128-EVT_E2AEN-LHWTE1,DLX94720056MW013Q,GV29472004PN5TG5X,FM794640097KG9X5N+N7J,CR1947301ZFJFK01M,DKB9476001MPQGM0F,33,4,624,1301,258," ""1.0.29""",0,3,4803.950769,8.953674161,0.224265856,2.76395344,19.58680093,279.5923001,88.24530578,18.81065505,0.246179699,2.763804026,3.169239833,3.43196307,0.478561033,2.791249797,9000.847123,10.21002129,7.488434195,15.63698156,8.287634229,7.507849505,9.362980286,7.540390676,162.7294561,6.540577812,1010.394198,4,5000,1,1.786,0.892,1520.183209,4,5000,1500,0.892,1.806,1512.073505,4,5000,1500,1.786,1.806,5,5000,500,5,5000,1500,5,5000,3000,2511.213174,6,5000,3000,4.663619501,5.087250384,0.168695707,2509.047663,6,9000,3000,8.654197212,9.075371305,0.167862133,5,123.88895,4,130.0796123,2825.93394,5,1,4.812331313,52,54.2,1.92204069,0.000794,10.011,2.423563564,53.1,76,1.700785123,0.000628,10.016,1452,623,1452,623
FXLH,R128,FTPZQ02HPPLC,R128-EVT,R128-EVT_E2AEN-LHWTE1,,FXLH_F05-4FT-01_5_QT1,PASS,12-23-16:14:29,12-23-16:20:41,372.14,V2.3.9.1,PASS,FTPZQ02HPPLC,11.02470346,3.283595339,-0.019683044,0.205371628,0.199463588,-37.07217612,US ENGLISH,02 01 01 05 49,DLX9475000LN4735G,DLX9475000LN4735G,C4P9457008SJCPQ3N,WCR-JB0013,R128-EVT_E2AEN-LHWTE1_C02580,R128-EVT,E2AEN-LHWTE1,C02580,R128-EVT_E2AEN-LHWTE1,DLX94720056MW013Q,GV29472004PN5TG5X,FM794640097KG9X5N+N7J,CR1947301ZFJFK01M,DKB9476001MPQGM0F,33,4,624,1301,258," ""1.0.29""",0,3,4803.988016,8.816034702,0.22218947,2.764466242,19.58469373,279.6442288,88.29100774,18.79150181,0.246287493,2.761050804,3.159969298,3.484444063,0.475465454,2.792397487,9001.063113,10.18697206,7.489509059,15.63773762,8.283909509,7.508368521,9.362560092,7.537283788,162.8667455,6.539290733,1009.973662,4,5000,1,1.806,0.892,1516.16116,4,5000,1500,0.902,1.786,1510.462054,4,5000,1500,1.806,1.806,5,5000,500,5,5000,1500,5,5000,3000,2511.265625,6,5000,3000,4.670837942,5.087682447,0.16598981,2509.243593,6,9000,3000,8.659395881,9.075631983,0.165881106,5,124.6442303,4,129.2974853,2825.799851,5,1,4.812323863,51,51.2,1.91944111,8.50E-05,10.014,2.423593362,53.1,76,1.702345624,5.00E-06,10.01,1452,623,1452,623
FXLH,R128,FTPZQ02EPPLC,R128-EVT,R128-EVT_E2AEN-LHWTE1,,FXLH_F05-4FT-01_1_QT1,PASS,12-23-15:35:28,12-23-15:41:40,371.86,V2.3.9.1,PASS,FTPZQ02EPPLC,11.03277994,3.262365939,-0.019857337,0.205481647,0.19954464,-37.25670872,US ENGLISH,02 01 01 05 49,DLX9475001GN4735H,DLX9475001GN4735H,C4P9457007GJCPQ31,WCR-JB0013,R128-EVT_E2AEN-LHWTE1_C02577,R128-EVT,E2AEN-LHWTE1,C02577,R128-EVT_E2AEN-LHWTE1,DLX94720055MW013R,GV29472003FN5TG58,FM794640095KG9X5Q+N7J,CR1947301ZWJFK016,DKB9476001EPQGM0N,33,4,624,1301,258," ""1.0.29""",0,3,4805.504682,8.989924941,0.216780397,2.757627332,19.61691109,277.0052038,88.267937,18.83751419,0.241490735,2.774823382,3.139696761,3.483471944,0.467116436,2.775319267,8999.20803,10.27505367,7.541009206,15.71338171,8.347956991,7.565309492,9.453819528,7.601191529,163.2184878,6.632273716,1009.864929,4,5000,1,1.806,0.876,1520.251652,4,5000,1500,0.876,1.78,1509.812172,4,5000,1500,1.806,1.76,5,5000,500,5,5000,1500,5,5000,3000,2508.124212,6,5000,3000,4.653794473,5.069743204,0.165840563,2508.235355,6,9000,3000,8.638861548,9.053843136,0.165447627,5,123.6696128,4,130.489805,2826.28054,5,1,4.813356017,55.61,57.22,1.909818803,0.000188,10.118,2.428718886,56.9,75.25,1.692234372,0.000227,10.117,1452,623,1452,623
FXLH,R128,FTPZQ02EPPLC,R128-EVT,R128-EVT_E2AEN-LHWTE1,,FXLH_F05-4FT-01_1_QT1,PASS,12-23-15:42:12,12-23-15:48:16,364.78,V2.3.9.1,PASS,FTPZQ02EPPLC,11.03376599,3.269816313,-0.019704796,0.205535572,0.199637222,-37.25641906,US ENGLISH,02 01 01 05 49,DLX9475001GN4735H,DLX9475001GN4735H,C4P9457007GJCPQ31,WCR-JB0013,R128-EVT_E2AEN-LHWTE1_C02577,R128-EVT,E2AEN-LHWTE1,C02577,R128-EVT_E2AEN-LHWTE1,DLX94720055MW013R,GV29472003FN5TG58,FM794640095KG9X5Q+N7J,CR1947301ZWJFK016,DKB9476001EPQGM0N,33,4,624,1301,258," ""1.0.29""",0,3,4805.54207,8.829527303,0.21683999,2.759278655,19.60363527,277.2446822,88.29412806,18.83743968,0.241308213,2.757817564,3.117622774,3.559349305,0.477988297,2.794466248,8999.761259,10.35947275,7.541419293,15.71414534,8.348685369,7.566405833,9.495658679,7.599311195,163.1887681,6.638253471,1009.905142,4,5000,1,1.806,0.876,1510.65239,4,5000,1500,0.876,1.78,1509.775785,4,5000,1500,1.806,1.78,5,5000,500,5,5000,1500,5,5000,3000,2507.708899,6,5000,3000,4.6573687,5.069915186,0.164511314,2507.655564,6,9000,3000,8.641642645,9.054000133,0.164439445,5,124.685196,4,130.3768897,2826.445044,5,1,4.813408359,54.61,55.22,1.912343999,0.000314,10.117,2.428756273,52.9,75.25,1.690461067,0.000669,10.116,1452,623,1452,623
FXLH,R128,FTPZQ02EPPLC,R128-EVT,R128-EVT_E2AEN-LHWTE1,,FXLH_F05-4FT-01_1_QT1,PASS,12-23-15:48:23,12-23-15:54:30,366.76,V2.3.9.1,PASS,FTPZQ02EPPLC,11.0346512,3.26485813,-0.019498884,0.205626871,0.199737803,-37.25648685,US ENGLISH,02 01 01 05 49,DLX9475001GN4735H,DLX9475001GN4735H,C4P9457007GJCPQ31,WCR-JB0013,R128-EVT_E2AEN-LHWTE1_C02577,R128-EVT,E2AEN-LHWTE1,C02577,R128-EVT_E2AEN-LHWTE1,DLX94720055MW013R,GV29472003FN5TG58,FM794640095KG9X5Q+N7J,CR1947301ZWJFK016,DKB9476001EPQGM0N,33,4,624,1301,258," ""1.0.29""",0,3,4805.586935,8.785689861,0.216950323,2.75902601,19.60138192,277.2913028,88.28209544,18.83823412,0.241466045,2.757958085,3.118910549,3.452887062,0.496506688,2.783913842,8999.806116,10.3127471,7.542740193,15.7124769,8.347432708,7.566557145,9.457927165,7.60580876,163.2219543,6.628473352,1009.816354,4,5000,1,1.806,0.876,1520.068337,4,5000,1500,0.876,1.78,1509.690222,4,5000,1500,1.806,1.78,5,5000,500,5,5000,1500,5,5000,3000,2507.119807,6,5000,3000,4.65825104,5.069720772,0.16412049,2505.981629,6,9000,3000,8.642562202,9.05383566,0.164116709,5,123.6075821,4,129.2902,2826.467476,5,1,4.813400881,54.61,53.22,1.90915478,0.000461,10.114,2.428778706,55.9,75.25,1.692104009,0.000713,10.116,1452,623,1452,623
FXLH,R128,FTPZQ02FPPLC,R128-EVT,R128-EVT_E2AEN-LHWTE1,,FXLH_F05-4FT-01_1_QT1,PASS,12-23-16:04:16,12-23-16:10:28,372.29,V2.3.9.1,PASS,FTPZQ02FPPLC,11.0677046,3.314511043,-0.01968269,0.206432257,0.200552533,-37.39278506,US ENGLISH,02 01 01 05 49,DLX9475000JN4735J,DLX9475000JN4735J,C4P9457005UJCPQ3V,WCR-JB0013,R128-EVT_E2AEN-LHWTE1_C02578,R128-EVT,E2AEN-LHWTE1,C02578,R128-EVT_E2AEN-LHWTE1,DLX94720052MW013U,GV294720036N5TG5H,FM7946400B2KG9X5M+N7J,CR19473020NJFK01A,DKB9476001HPQGM0K,33,4,624,1301,258," ""1.0.29""",0,3,4805.347656,8.885802727,0.222868107,2.755609896,19.59803327,277.8403115,88.14660489,19.03798208,0.248069603,2.757360641,3.143140905,3.453055435,0.485871899,2.785001003,8999.305219,10.29280126,7.569263248,15.86211951,8.369463764,7.583545642,9.538381676,7.626974703,163.4923813,6.647970933,1010.030606,4,5000,1,1.78,0.876,1518.371376,4,5000,1500,0.876,1.78,1509.950092,4,5000,1500,1.78,1.78,5,5000,500,5,5000,1500,5,5000,3000,2506.879876,6,5000,3000,4.654415103,5.069855366,0.165720052,2506.187806,6,9000,3000,8.638779311,9.053671186,0.165547001,5,124.6452327,4,130.1757439,2830.587557,5,1,4.813356017,55.61,53.22,1.917351291,0.000976,10.001,2.428688976,55.9,75.25,1.692775372,0.000516,10.001,1452,623,1452,623
