FATP-QT,,,,,,,,,,,,Parametric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,2V4_DUT_Applied_Voltage,2V4_MCU_AID_Fall_Time,2V4_MCU_AID_Rise_Time,2V4_MCU_Bits_period,2V4_MCU_VOH,2V4_MCU_VOL,4V8_DUT_Applied_Voltage,4V8_MCU_AID_Fall_Time,4V8_MCU_AID_Rise_Time,4V8_MCU_Bits_period,4V8_MCU_VOH,4V8_MCU_VOL,5V_2P5A_Charge_Capability,5V_2P5A_Charge_Type,5V_2P5A_Charge_Voltage,5V_2P5A_CURR_USBC_PD,5V_2P5A_DCR,5V_2P5A_DUT_Input_Voltage,5V_2P5A_Orion_Power_Voltage,5W_5V_1P0A_BRICKID_CAPABILITY_Curr,5W_5V_1P0A_BRICKID_CAPABILITY_DM_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_DP_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_Type,5W_5V_1P0A_BRICKID_CAPABILITY_Vol,5W_5V_1P0A_BRICKID_System_Curr,9V_2P5A_Charge_Capability,9V_2P5A_Charge_Type,9V_2P5A_Charge_Voltage,9V_2P5A_CURR_USBC_PD,9V_2P5A_DCR,9V_2P5A_DUT_Input_Voltage,9V_2P5A_Orion_Power_Voltage,10W_5V_1P5A_BRICKID_CAPABILITY_Curr,10W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_Type,10W_5V_1P5A_BRICKID_CAPABILITY_Vol,10W_5V_1P5A_BRICKID_System_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_Type,12.5W_5V_1P5A_BRICKID_CAPABILITY_Vol,12.5W_5V_1P5A_BRICKID_System_Curr,CC_Rp_Capability_CURR-10kohm_5V,CC_Rp_Capability_CURR-22kohm_5V,CC_Rp_Capability_CURR-56kohm_5V,CC_Rp_Capability_Type-10kohm_5V,CC_Rp_Capability_Type-22kohm_5V,CC_Rp_Capability_Type-56kohm_5V,CC_Rp_Capability_VOL-10kohm_5V,CC_Rp_Capability_VOL-22kohm_5V,CC_Rp_Capability_VOL-56kohm_5V,FW_VERSION_CCG3,FW_VERSION_L4R5,FW_VERSION_MTFW,GreenPAK ID,KBD_HW_Layout,OrionPWR_On_Sys Voltage,OrionPWR_SYS_CURRENT_ALL_RAILS,OrionPWR_SYS_CURRENT_BLC_ONLY,OrionPWR_SYS_CURRENT_CAPSLOCK_ONLY,OrionPWR_SYS_CURRENT_Energy_Storage,OrionPWR_SYS_CURRENT_Energy_Storage_ONLY,OrionPWR_SYS_CURRENT_IDLE,OrionPWR_SYS_CURRENT_LEDs_to_0PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_3P8PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_100PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_UserMax_brightness,OrionPWR_SYS_CURRENT_MFI_ONLY,OrionPWR_SYS_CURRENT_TOUCH_ONLY,OrionPWR_SYS_CURRENT_USBC_AltPWR_ONLY,PHASE1_CONSUMER_DUT_MODE,PHASE2_C2P_DUT_MODE,PHASE2_SYS_CURRENT_pre_swap_consumer,PHASE2_SYS_CURRENT_pre_swap_provider,PHASE3_Vol_IDBUS_provider,PHASE5_P2C_DUT_MODE,PORION_RVP_OUT_-16V_CURR,PPORION_OVP_OUT_5V2_CURR,PPORION_OVP_OUT_16V_CURR,Production signed check,READ_HW_VERSION,Read_PHASE5_BROWNOUT_STATUS,SYS_IDBUS_6V_VBUS_0V_CURR,SYS_IDBUS_6V_VBUS_5V2_CURR,SYS_IDBUS_-5V2_VBUS_0V_CURR,USBC Mux_In_Tristar CCG3_USB_PID,USBC Mux_In_Tristar CCG3_USB_VID,USBC Mux_In_Tristar STM32L4_PID,USBC Mux_In_Tristar STM32L4_VID,USBC_PWR_On_Sys Voltage,USBC_PWR_SYS_CURRENT_ALL_RAILS,USBC_PWR_SYS_CURRENT_BLC_ONLY,USBC_PWR_SYS_CURRENT_CAPSLOCK_ONLY,USBC_PWR_SYS_CURRENT_Energy_Storage_5V,USBC_PWR_SYS_CURRENT_Energy_Storage_ONLY,USBC_PWR_SYS_CURRENT_IDLE,USBC_PWR_SYS_CURRENT_LEDs_to_100PCT_brightness,USBC_PWR_SYS_CURRENT_MFI_ONLY,USBC_PWR_SYS_CURRENT_TOUCH_ONLY
Display Name ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCA Priority ----->,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Limit ----->,,,,,,,,,,,,2.5,90,70,10.2,1.85,0.2,4.9,66,70,10.2,1.95,0.2,3000,6,5000,2540,0.205,5.25,5,1,2.1,1.25,4,5000,1040,3000,6,9000,2540,0.205,9.3,8.9,1500,1.25,2.1,4,5000,1540,1500,2.1,2.1,4,5000,1540,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,NA,4900,9.7,3.05,20.5,3.05,0.7,0.3,3.05,18,235,87,0.3,3.9,3.35,5,4,135,140,2900,5,0.1,8,11.5,0,4,1,0.22,0.23,-30,622,1452,622,1452,9100,12,9.25,17.5,7.5,8.4,8.4,142,8.4,10.5
Lower Limit ----->,,,,,,,,,,,,2.35,62,35,9.8,1.5,0,4.7,40,40,9.8,1.8,0,3000,6,5000,2480,0.12,5,4.4,1,1.5,0.6,4,5000,980,3000,6,9000,2480,0.12,8.9,8.5,1500,0.6,1.5,4,5000,1480,1500,1.5,1.5,4,5000,1480,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,NA,4750,8.1,2.55,17,2.55,0.2,0.14,2.55,15,205,75,0.14,2.7,2.8,5,4,100,106,2760,5,-0.3,2,10.5,0,4,1,0.19,0.19,-40,622,1452,622,1452,8900,8,7.25,13.75,5.5,6.3,6.2,122,6.2,7.9
Measurement Unit ----->,,,,,,,,,,,,V,ns,ns,us,V,V,V,ns,ns,us,V,V,mA,NA,mV,mA,ohms,V,V,A,V,V,NA,mV,mA,mA,NA,mV,mA,ohms,V,V,mA,V,V,NA,mV,mA,mA,V,V,NA,mV,mA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mV,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,NA,NA,mA,mA,mV,NA,mA,mA,mA,NA,NA,NA,mA,mA,mA,NA,NA,NA,NA,mV,mA,mA,mA,mA,mA,mA,mA,mA,mA
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_2_QT1,PASS,2019/12/14 10:01,2019/12/14 10:08,V1.2.7.0,,2.425347038,76,55.5,9.996,1.676984898,0.000259,4.812374983,53,55,9.996,1.903981005,0.002363,3000,6,5000,2508.45333,0.152476479,5.065619073,4.683138941,1,1.806,0.876,4,5000,1010.414081,3000,6,9000,2507.489397,0.152082267,9.04899594,8.667651267,1500,0.876,1.806,4,5000,1511.393358,1500,1.806,1.806,4,5000,1508.900576,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,33,4805.070727,8.676683693,2.754904286,18.54326525,2.787521714,0.505665727,0.221041373,2.757569878,16.642355,219.0563366,81.08128996,0.246012805,3.339487157,3.153049472,5,4,116.3148938,122.3907747,2823.331911,5,-0.019894028,3.33504976,11.0694175,0,4,1,0.199414244,0.205294483,-37.17874809,622,1452,622,1452,9000.566242,10.09343094,8.152420612,15.43907746,6.433434159,7.410389855,7.359227698,131.3613908,7.368265186,9.152027206
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_2_QT1,PASS,2019/12/14 10:08,2019/12/14 10:14,V1.2.7.0,,2.425302227,74,56.5,10.004,1.675856621,0.00093,4.812472075,53,54,10.003,1.901567406,0.002474,3000,6,5000,2509.099805,0.151633514,5.065746039,4.685282419,1,1.806,0.876,4,5000,1010.308467,3000,6,9000,2509.485151,0.151449544,9.049078075,8.669017692,1500,0.876,1.806,4,5000,1513.312902,1500,1.806,1.806,4,5000,1508.873572,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,33,4805.063259,8.83736762,2.771523156,18.54531298,2.781858056,0.485296101,0.220912946,2.753768624,16.63114796,219.0656893,81.05300143,0.245554237,3.388170859,3.17345024,5,4,116.3131011,122.3181725,2823.466345,5,-0.019685675,3.334864259,11.06928189,0,4,1,0.199398185,0.205330447,-37.17932587,622,1452,622,1452,9000.730511,10.00188346,8.154346457,15.43863418,6.444199352,7.417586372,7.359371946,131.3444251,7.369845811,9.161703304
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_2_QT1,PASS,2019/12/14 10:17,2019/12/14 10:23,V1.2.7.0,,2.425347038,78,56.5,9.997,1.679054411,0.000299,4.812419795,53,53,9.996,1.90352662,0.001714,3000,6,5000,2509.113926,0.151457043,5.06579085,4.685767876,1,1.806,0.876,4,5000,1010.486746,3000,6,9000,2509.072743,0.151301834,9.049085541,8.669458233,1500,0.876,1.806,4,5000,1514.048323,1500,1.806,1.806,4,5000,1509.395384,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,33,4804.966167,8.669322865,2.75475365,18.54534997,2.782908234,0.466654971,0.220683733,2.756144912,16.63236741,218.9558135,81.04009803,0.247722823,3.370668883,3.156463176,5,4,115.907175,122.2227181,2823.593311,5,-0.019726833,3.335645099,11.06946682,0,4,1,0.19932473,0.205342904,-37.18091521,622,1452,622,1452,9000.715578,9.987380538,8.153453082,15.44109997,6.433211777,7.422761669,7.354078146,131.3418826,7.368885798,9.154364435
FXLH,R118,FTPZQ01PPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_6_QT1,PASS,2019/12/14 09:53,2019/12/14 09:59,V1.2.7.0,,2.425410985,76,50.5,10.016,1.709285797,0.000666,4.809643782,51,52,10.009,1.920251011,0.001538,3000,6,5000,2509.765403,0.156283955,5.066768024,4.67453196,1,1.78,0.876,4,5000,1010.868752,3000,6,9000,2508.157247,0.15594131,9.050074246,8.658948919,1500,0.876,1.78,4,5000,1514.181105,1500,1.78,1.78,4,5000,1511.032509,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,33,4801.341029,8.735987183,2.778510939,18.9449643,2.821787707,0.507324861,0.221401351,2.794318113,16.78500949,221.1046899,81.44135388,0.246301599,3.388607169,3.100151993,5,4,118.044353,123.3064552,2827.397002,5,-0.020114138,3.333640244,11.05153256,0,4,1,0.199707442,0.205575513,-37.089291,622,1452,622,1452,8999.275165,10.21494593,8.230370992,15.63521524,6.580229922,7.493400214,7.417556507,131.8349834,7.433123743,9.259719687
FXLH,R118,FTPZQ01PPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_6_QT1,PASS,2019/12/14 10:01,2019/12/14 10:07,V1.2.7.0,,2.425388606,77,55.5,10.009,1.710410386,0.000845,4.809688541,52,52,10.008,1.921049392,0.001332,3000,6,5000,2509.258838,0.155494983,5.066723265,4.676546105,1,1.78,0.876,4,5000,1010.780419,3000,6,9000,2508.27064,0.155312795,9.050066788,8.660500263,1500,0.876,1.78,4,5000,1512.083157,1500,1.78,1.78,4,5000,1511.183137,3000,1500,500,5,5,5,5000,5000,5000,258,624,1301,3,33,4801.423087,8.934588088,2.776783836,18.94518742,2.829167336,0.475944014,0.221520911,2.794662837,16.77248197,221.1567028,81.43561887,0.246271043,3.28588117,3.118787201,5,4,117.4133108,122.2779672,2827.4716,5,-0.019871548,3.335019752,11.0531219,0,4,1,0.199802602,0.205760457,-37.09047111,622,1452,622,1452,8999.573501,10.20011979,8.227559266,15.63920907,6.559932597,7.483456163,7.417128119,131.8546113,7.432770102,9.277878972
