FATP-QT,,,,,,,,,,,,Parametric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,2V4_DUT_Applied_Voltage,2V4_MCU_AID_Fall_Time,2V4_MCU_AID_Rise_Time,2V4_MCU_Bits_period,2V4_MCU_VOH,2V4_MCU_VOL,4V8_DUT_Applied_Voltage,4V8_MCU_AID_Fall_Time,4V8_MCU_AID_Rise_Time,4V8_MCU_Bits_period,4V8_MCU_VOH,4V8_MCU_VOL,5V_2P5A_Charge_Capability,5V_2P5A_Charge_Type,5V_2P5A_Charge_Voltage,5V_2P5A_CURR_USBC_PD [rpc] cyg_eload_SetEloadOn,5V_2P5A_CURR_USBC_PD,5V_2P5A_DCR,5V_2P5A_DUT_Input_Voltage,5V_2P5A_Orion_Power_Voltage,5W_5V_1P0A_BRICKID_CAPABILITY_Curr,5W_5V_1P0A_BRICKID_CAPABILITY_DM_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_DP_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_Type,5W_5V_1P0A_BRICKID_CAPABILITY_Vol,5W_5V_1P0A_BRICKID_System_Curr,9V_2P5A_Charge_Capability,9V_2P5A_Charge_Type,9V_2P5A_Charge_Voltage,9V_2P5A_CURR_USBC_PD,9V_2P5A_DCR,9V_2P5A_DUT_Input_Voltage,9V_2P5A_Orion_Power_Voltage,10W_5V_1P5A_BRICKID_CAPABILITY_Curr,10W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_Type,10W_5V_1P5A_BRICKID_CAPABILITY_Vol,10W_5V_1P5A_BRICKID_System_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_Type,12.5W_5V_1P5A_BRICKID_CAPABILITY_Vol,12.5W_5V_1P5A_BRICKID_System_Curr,CC_Rp _SYS_Curr-56kohm_5V,CC_Rp_Capability_CURR-10kohm_5V,CC_Rp_Capability_CURR-22kohm_5V,CC_Rp_Capability_CURR-56kohm_5V,CC_Rp_Capability_Type-10kohm_5V,CC_Rp_Capability_Type-22kohm_5V,CC_Rp_Capability_Type-56kohm_5V,CC_Rp_Capability_VOL-10kohm_5V,CC_Rp_Capability_VOL-22kohm_5V,CC_Rp_Capability_VOL-56kohm_5V,CC_Rp_SYS_CURR-10kohm_5V,CC_Rp_SYS_CURR-22kohm_5V,FW_VERSION_CCG3,FW_VERSION_L4R5,FW_VERSION_MTFW,GreenPAK ID,KBD_HW_Layout,MIX FW,OrionPWR_On_Sys Voltage,OrionPWR_SYS_CURRENT_ALL_RAILS,OrionPWR_SYS_CURRENT_BLC_ONLY,OrionPWR_SYS_CURRENT_CAPSLOCK_ONLY,OrionPWR_SYS_CURRENT_Energy_Storage,OrionPWR_SYS_CURRENT_Energy_Storage_ONLY,OrionPWR_SYS_CURRENT_IDLE,OrionPWR_SYS_CURRENT_LEDs_to_0PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_3P8PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_100PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_UserMax_brightness,OrionPWR_SYS_CURRENT_MFI_ONLY,OrionPWR_SYS_CURRENT_TOUCH_ONLY,OrionPWR_SYS_CURRENT_USBC_AltPWR_ONLY,PHASE1_CONSUMER_DUT_MODE,PHASE2_C2P_DUT_MODE,PHASE2_SYS_CURRENT_pre_swap_consumer,PHASE2_SYS_CURRENT_pre_swap_provide,PHASE3_Vol_IDBUS_provider,PHASE5:P2C_DUT_MODE,PORION_RVP_OUT_-16V_CURR,PPORION_OVP_OUT_5V2_CURR,PPORION_OVP_OUT_16V_CURR,Production signed check,READ_HW_VERSION,Read_PHASE5_BROWNOUT_STATUS,SYS_IDBUS_6V_VBUS_0V_CURR,SYS_IDBUS_6V_VBUS_5V2_CURR,SYS_IDBUS_-5V2_VBUS_0V_CURR,USBC_PWR_On_Sys Voltage,USBC_PWR_SYS_CURRENT_ALL_RAILS,USBC_PWR_SYS_CURRENT_BLC_ONLY,USBC_PWR_SYS_CURRENT_CAPSLOCK_ONLY,USBC_PWR_SYS_CURRENT_Energy_Storage,USBC_PWR_SYS_CURRENT_Energy_Storage_ONLY,USBC_PWR_SYS_CURRENT_IDLE,USBC_PWR_SYS_CURRENT_LEDs_to_100PCT_brightness,USBC_PWR_SYS_CURRENT_MFI_ONLY,USBC_PWR_SYS_CURRENT_TOUCH_ONLY
Display Name ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCA Priority ----->,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Limit ----->,,,,,,,,,,,,2.5,88,84,10.15,1.85,0.08,4.9,66,77,10.15,1.95,0.08,3000,6,5000,NA,2540,0.19,5.25,5.15,1,3.6,1.426,4,5000,1040,3000,6,9000,2540,0.19,9.45,9.1,1500,1.426,3.6,4,5000,1540,1500,3.6,3.6,4,5000,1540,20,3001,1591,501,5,5,5,5001,5001,5001,20,20,258,624,1301,3,NA,NA,4900,11.5,3.84,20,4.16,0.7,0.24,3.84,18,235,88.5,0.24,9,3.35,5,4,140,165,2960,5,0.1,8,11.5,0,4,1,0.22,0.23,-30,9100,13,9.61,16.75,9.5,8.5,8.2,146,8.2,12
Lower Limit ----->,,,,,,,,,,,,2.35,54,13,9.9,1.5,0,4.7,43,25,9.9,1.8,0,3000,6,5000,NA,2480,0.08,4.75,4.4,1,1.398,0.25,4,5000,980,3000,6,9000,2480,0.08,8.75,8.6,1500,0.25,1.398,4,5000,1480,1500,1.398,1.398,4,5000,1480,1,2999,1499,499,5,5,5,4999,4999,4999,1,1,258,624,1301,3,NA,NA,4750,5.7,2.07,17.5,2.24,0.1,0.08,2.07,15,205,73.5,0.08,1,2.75,5,4,80,80,2740,5,-0.3,2,10.5,0,4,1,0.19,0.19,-40,8900,7,6.79,14.25,6.5,6.5,6.2,116,6.2,8
Measurement Unit ----->,,,,,,,,,,,,V,ns,ns,us,V,V,V,ns,ns,us,V,V,mA,NA,mV,NA,mA,ohms,V,V,A,V,V,NA,mV,mA,mA,NA,mV,mA,ohms,V,V,mA,V,V,NA,mV,mA,mA,V,V,NA,mV,mA,mA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mA,mA,NA,NA,NA,NA,NA,NA,mV,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,NA,NA,mA,mA,mV,NA,mA,mA,mA,NA,NA,NA,mA,mA,mA,mV,mA,mA,mA,mA,mA,mA,mA,mA,mA
FXLH,R118,FTPZQ01LPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_2_QT1,FAIL,2019/12/5 12:32,2019/12/5 12:37,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage;CB Error Could not set FAIL CB,2.427005059,73,53.5,10.002,1.685459773,0.000029,4.813711857,51,53,10.003,1.902209025,0.001509,3000,6,5000,,2513.623081,0.146945394,5.065372611,4.696007278,1,1.786,0.868,4,5000,1010.645077,3000,6,9000,2508.626392,0.146965277,9.035749827,8.667068856,1500,0.868,1.786,4,5000,1520.866763,1500,1.786,1.786,4,5000,1510.728398,16.42177794,3000,1500,500,5,5,5,5000,5000,5000,16.44844847,16.4327979,258,624,1301,3,33,,4806.519629,7.493912769,2.684730334,18.91537081,2.708637667,0.403883517,0.137174241,2.703521425,16.55514098,219.0789236,81.15133323,0.159710935,2.12238282,3.057556142,5,4,116.9482679,122.6651292,2822.204158,5,-0.021102502,3.232250607,11.00610206,0,4,1,0.199335659,0.205357375,-36.61782518,8984.856083,9.387851377,8.111316285,15.55602555,6.421651335,7.356162384,7.292528368,131.7927469,7.308020222,9.371272716
FXLH,R118,FTPZQ01LPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_2_QT1,FAIL,2019/12/5 12:50,2019/12/5 12:54,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.427079745,70,54.5,10.009,1.678751977,0.000192,4.813726794,50,50,10.014,1.897031468,0.002262,3000,6,5000,,2513.635933,0.146002766,5.065253114,4.698255316,1,1.786,0.868,4,5000,1010.590756,3000,6,9000,2508.637016,0.146128275,9.035675159,8.66909236,1500,0.868,1.786,4,5000,1513.904952,1500,1.786,1.786,4,5000,1509.121332,16.41772615,3000,1500,500,5,5,5,5000,5000,5000,16.44751344,16.4382077,258,624,1301,3,33,,4806.542034,8.943929457,2.696381975,18.93146914,2.718035638,0.397910929,0.147518317,2.683376677,16.55591727,219.0488012,81.16031637,0.176430299,2.532533662,3.056217041,5,4,116.9706301,123.1615311,2821.980101,5,-0.021063604,3.231960876,11.0054901,0,4,1,0.19935123,0.205288743,-36.61405696,8984.968086,10.21647878,8.116100178,15.55479076,6.395524296,7.351303289,7.292802496,131.819388,7.325714802,8.603045592
FXLH,R118,FTPZQ01LPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_2_QT1,FAIL,2019/12/5 12:55,2019/12/5 12:59,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.427012528,73,55.5,10.002,1.691584972,0.000918,4.813726794,51,53,10.002,1.897377865,0.002387,3000,6,5000,,2513.706894,0.145847116,5.065260582,4.698643681,1,1.786,0.868,4,5000,1010.68958,3000,6,9000,2510.522384,0.145902541,9.035772228,8.669480634,1500,0.868,1.786,4,5000,1519.277996,1500,1.786,1.786,4,5000,1510.73501,16.41703601,3000,1500,500,5,5,5,5000,5000,5000,16.4412354,16.43598144,258,624,1301,3,33,,4806.609252,8.953417187,2.686137362,18.93550343,2.723416304,0.386977358,0.152539948,2.683721156,16.55563344,219.0558902,81.16240265,0.180988582,2.201287933,3.051192983,5,4,116.2498029,123.1987949,2821.905415,5,-0.020959977,3.230659609,11.00620406,0,4,1,0.199404474,0.205394377,-36.6151167,8985.087554,10.21828608,8.112427352,15.56350948,6.397477153,7.36926957,7.296189065,131.8551123,7.31978588,8.624294128
FXLH,R118,FTPZQ01LPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_2_QT1,FAIL,2019/12/5 13:30,2019/12/5 13:35,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.427079745,70,52.5,10.003,1.684728947,0.000627,4.813726794,49,54,10.003,1.898696831,0.001936,3000,6,5000,,2512.587852,0.144413953,5.065521982,4.702669237,1,1.786,0.868,4,5000,1010.438213,3000,6,9000,2508.662563,0.144376658,9.036026099,8.673833781,1500,0.868,1.786,4,5000,1521.030838,1500,1.786,1.786,4,5000,1510.728331,16.42266844,3000,1500,500,5,5,5,5000,5000,5000,16.42634176,16.4322636,258,624,1301,3,33,,4806.45988,8.601689509,2.681736763,18.90837691,2.712834489,0.398662961,0.147256319,2.681739189,16.55130319,218.96504,81.17169145,0.155368558,2.297332092,3.053398135,5,4,117.1494776,123.145109,2822.278843,5,-0.021181886,3.232893395,11.00554165,0,4,1,0.199369548,0.205275188,-36.61686127,8985.042754,10.20661989,8.108383362,15.55767031,6.396147755,7.349064175,7.29402758,131.8123935,7.308789235,8.644070137
FXLH,R118,FTPZQ01LPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_2_QT1,FAIL,2019/12/5 13:35,2019/12/5 13:40,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.426975185,74,55.5,10.002,1.695186803,0.000057,4.813644639,52,57,10.003,1.902486136,0.000862,3000,6,5000,,2512.315898,0.143840975,5.065492108,4.704118139,1,1.786,0.868,4,5000,1010.575195,3000,6,9000,2510.661301,0.143833458,9.036018632,8.674901534,1500,0.868,1.786,4,5000,1520.807055,1500,1.786,1.786,4,5000,1510.532065,16.42208961,3000,1500,500,5,5,5,5000,5000,5000,16.44726855,16.42956983,258,624,1301,3,33,,4806.392663,8.226345607,2.68079551,18.90935456,2.714105665,0.387947721,0.13240733,2.682367499,16.55894965,219.0318815,81.13679475,0.158621702,2.253978674,3.0545747,5,4,117.115048,123.1717876,2822.353529,5,-0.020995944,3.233873548,11.00541836,0,4,1,0.199316547,0.205384974,-36.61496539,8984.878484,10.19224638,8.121206716,15.56926131,6.399184993,7.369698956,7.293404121,131.8143854,7.320241951,8.681021581
