FATP-QT,,,,,,,,,,,,Parametric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,2V4_DUT_Applied_Voltage,2V4_MCU_AID_Fall_Time,2V4_MCU_AID_Rise_Time,2V4_MCU_Bits_period,2V4_MCU_VOH,2V4_MCU_VOL,4V8_DUT_Applied_Voltage,4V8_MCU_AID_Fall_Time,4V8_MCU_AID_Rise_Time,4V8_MCU_Bits_period,4V8_MCU_VOH,4V8_MCU_VOL,5V_2P5A_Charge_Capability,5V_2P5A_Charge_Type,5V_2P5A_Charge_Voltage,5V_2P5A_CURR_USBC_PD,5V_2P5A_DCR,5V_2P5A_DUT_Input_Voltage,5V_2P5A_Orion_Power_Voltage,5W_5V_1P0A_BRICKID_CAPABILITY_Curr,5W_5V_1P0A_BRICKID_CAPABILITY_DM_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_DP_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_Type,5W_5V_1P0A_BRICKID_CAPABILITY_Vol,5W_5V_1P0A_BRICKID_System_Curr,9V_2P5A_Charge_Capability,9V_2P5A_Charge_Type,9V_2P5A_Charge_Voltage,9V_2P5A_CURR_USBC_PD,9V_2P5A_DCR,9V_2P5A_DUT_Input_Voltage,9V_2P5A_Orion_Power_Voltage,10W_5V_1P5A_BRICKID_CAPABILITY_Curr,10W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_Type,10W_5V_1P5A_BRICKID_CAPABILITY_Vol,10W_5V_1P5A_BRICKID_System_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_Type,12.5W_5V_1P5A_BRICKID_CAPABILITY_Vol,12.5W_5V_1P5A_BRICKID_System_Curr,CC_Rp_Capability_CURR-10kohm_5V,CC_Rp_Capability_CURR-22kohm_5V,CC_Rp_Capability_CURR-56kohm_5V,CC_Rp_Capability_Type-10kohm_5V,CC_Rp_Capability_Type-22kohm_5V,CC_Rp_Capability_Type-56kohm_5V,CC_Rp_Capability_VOL-10kohm_5V,CC_Rp_Capability_VOL-22kohm_5V,CC_Rp_Capability_VOL-56kohm_5V,CC_Rp_SYS_CURR-10kohm_5V,CC_Rp_SYS_CURR-22kohm_5V,CC_Rp_SYS_Curr-56kohm_5V,FW_VERSION_CCG3,FW_VERSION_L4R5,FW_VERSION_MTFW,GreenPAK ID,KBD_HW_Layout,OrionPWR_On_Sys Voltage,OrionPWR_SYS_CURRENT_ALL_RAILS,OrionPWR_SYS_CURRENT_BLC_ONLY,OrionPWR_SYS_CURRENT_CAPSLOCK_ONLY,OrionPWR_SYS_CURRENT_Energy_Storage,OrionPWR_SYS_CURRENT_Energy_Storage_ONLY,OrionPWR_SYS_CURRENT_IDLE,OrionPWR_SYS_CURRENT_LEDs_to_0PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_3P8PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_100PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_UserMax_brightness,OrionPWR_SYS_CURRENT_MFI_ONLY,OrionPWR_SYS_CURRENT_TOUCH_ONLY,OrionPWR_SYS_CURRENT_USBC_AltPWR_ONLY,PHASE1_CONSUMER_DUT_MODE,PHASE2_C2P_DUT_MODE,PHASE2_SYS_CURRENT_pre_swap_consumer,PHASE2_SYS_CURRENT_pre_swap_provide,PHASE3_Vol_IDBUS_provider,PHASE5:P2C_DUT_MODE,PORION_RVP_OUT_-16V_CURR,PPORION_OVP_OUT_5V2_CURR,PPORION_OVP_OUT_16V_CURR,Production signed check,READ_HW_VERSION,Read_PHASE5_BROWNOUT_STATUS,SYS_IDBUS_6V_VBUS_0V_CURR,SYS_IDBUS_6V_VBUS_5V2_CURR,SYS_IDBUS_-5V2_VBUS_0V_CURR,USBC_PWR_On_Sys Voltage,USBC_PWR_SYS_CURRENT_ALL_RAILS,USBC_PWR_SYS_CURRENT_BLC_ONLY,USBC_PWR_SYS_CURRENT_CAPSLOCK_ONLY,USBC_PWR_SYS_CURRENT_Energy_Storage_5V,USBC_PWR_SYS_CURRENT_Energy_Storage_ONLY,USBC_PWR_SYS_CURRENT_IDLE,USBC_PWR_SYS_CURRENT_LEDs_to_100PCT_brightness,USBC_PWR_SYS_CURRENT_MFI_ONLY,USBC_PWR_SYS_CURRENT_TOUCH_ONLY
Display Name ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCA Priority ----->,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Limit ----->,,,,,,,,,,,,2.5,88,84,10.15,1.85,0.08,4.9,66,77,10.15,1.95,0.08,3000,6,5000,2540,0.19,5.25,5.15,1,3.6,1.426,4,5000,1040,3000,6,9000,2540,0.19,9.45,9.1,1500,1.426,3.6,4,5000,1540,1500,3.6,3.6,4,5000,1540,3000,1500,500,5,5,5,5000,5000,5000,22,22,22,258,624,1301,3,NA,4900,11.5,3.84,20,4.16,0.7,0.24,3.84,18,235,88.5,0.24,5,3.35,5,4,140,165,2960,5,0.1,8,11.5,0,4,1,0.22,0.23,-30,9100,13,9.61,16.75,7.5,8.5,8.4,146,8.4,10.5
Lower Limit ----->,,,,,,,,,,,,2.35,54,13,9.9,1.5,0,4.7,43,25,9.9,1.8,0,3000,6,5000,2480,0.08,4.75,4.4,1,1.398,0.25,4,5000,980,3000,6,9000,2480,0.08,8.75,8.6,1500,0.25,1.398,4,5000,1480,1500,1.398,1.398,4,5000,1480,3000,1500,500,5,5,5,5000,5000,5000,12,12,12,258,624,1301,3,NA,4750,5.7,2.07,17.5,2.24,0.2,0.04,2.07,15,205,73.5,0.04,2,2.5,5,4,80,80,2740,5,-0.3,2,10.5,0,4,1,0.19,0.19,-40,8900,7,6.79,14.25,5.5,6.5,6.2,116,6.2,8
Measurement Unit ----->,,,,,,,,,,,,V,ns,ns,us,V,V,V,ns,ns,us,V,V,mA,NA,mV,mA,ohms,V,V,A,V,V,NA,mV,mA,mA,NA,mV,mA,ohms,V,V,mA,V,V,NA,mV,mA,mA,V,V,NA,mV,mA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mA,mA,mA,NA,NA,NA,NA,NA,mV,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,NA,NA,mA,mA,mV,NA,mA,mA,mA,NA,NA,NA,mA,mA,mA,mV,mA,mA,mA,mA,mA,mA,mA,mA,mA
FXLH,R118,FTPZQ01LPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_6_QT1,PASS,2019/12/5 18:42,2019/12/5 18:47,V1.2.2.0,,2.423807129,74,59.5,10.004,1.710810837,0.00001,4.806339092,55,56,10.009,1.911233192,0.001177,3000,6,5000,2509.368749,0.152878073,5.083642082,4.700014623,1,1.76,0.868,4,5000,1010.513545,3000,6,9000,2508.624013,0.151815364,9.064006515,8.683158846,1500,0.868,1.786,4,5000,1512.474598,1500,1.76,1.786,4,5000,1510.827886,3000,1500,500,5,5,5,5000,5000,5000,16.44725529,16.41976696,16.40399241,258,624,1301,3,33,4797.775247,8.262481943,2.716060971,18.95812815,2.753539055,0.435516142,0.191952355,2.733798393,16.60600884,221.3346986,81.45630038,0.196282172,3.111019696,3.098529002,5,4,117.2190107,122.713722,2823.122539,5,-0.02021082,3.237401033,11.02129519,0,4,1,0.20013792,0.20610683,-36.26527293,9013.59527,9.943491687,8.186633555,15.60382503,6.462542005,7.429299593,7.376481166,131.4433319,7.382549232,9.188893356
FXLH,R118,FTPZQ01LPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_6_QT1,PASS,2019/12/5 18:49,2019/12/5 18:53,V1.2.2.0,,2.423822049,71,57.5,10.004,1.699648684,0.000512,4.806368932,57,55,10.009,1.911030011,0.001031,3000,6,5000,2509.573571,0.151186113,5.083657001,4.704244327,1,1.76,0.868,4,5000,1010.127526,3000,6,9000,2508.775531,0.150848915,9.06407364,8.685627573,1500,0.868,1.786,4,5000,1516.116154,1500,1.76,1.786,4,5000,1510.881725,3000,1500,500,5,5,5,5000,5000,5000,16.45832202,16.44172192,16.43136918,258,624,1301,3,33,4797.961742,7.80648724,2.715625801,18.96082426,2.755513122,0.436843532,0.188400494,2.724088516,16.60167173,221.5246613,81.46446893,0.198304861,3.225378538,3.095635974,5,4,117.7187694,121.8669317,2823.174757,5,-0.020077676,3.235328997,11.02304263,0,4,1,0.200477697,0.206366778,-36.25600979,9013.908522,9.592168683,8.185806975,15.61062729,6.466918013,7.420912242,7.366635147,131.443113,7.382420383,9.195099825
FXLH,R118,FTPZQ01LPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_6_QT1,PASS,2019/12/5 18:56,2019/12/5 19:01,V1.2.2.0,,2.42379221,74,59.5,10.005,1.700033189,0.000184,4.806301793,57,57,10.008,1.91109593,0.001042,3000,6,5000,2509.224172,0.150612576,5.083813657,4.705892942,1,1.76,0.868,4,5000,1010.69425,3000,6,9000,2509.029127,0.150408584,9.06449131,8.687111792,1500,0.868,1.786,4,5000,1514.80015,1500,1.76,1.786,4,5000,1510.355252,3000,1500,500,5,5,5,5000,5000,5000,16.43676867,16.42456403,16.41102067,258,624,1301,3,33,4797.939362,8.970012063,2.728744103,18.94017193,2.767962867,0.439026674,0.185344582,2.73019548,16.59248211,221.4167163,81.46292274,0.197507455,3.23699348,3.090542786,5,4,117.6089723,122.7964914,2823.301574,5,-0.02022731,3.237087649,11.02260479,0,4,1,0.200290798,0.206171145,-36.25574573,9014.027857,10.23723128,8.187272938,15.60439391,6.463397757,7.430899267,7.363046819,131.4177035,7.380378245,9.227726446
FXLH,R118,FTPZQ01LPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_6_QT1,PASS,2019/12/5 19:04,2019/12/5 19:09,V1.2.2.0,,2.42379221,71,58.5,10.004,1.70500705,0.000922,4.806294334,54,58,10.009,1.911120325,0.000929,3000,6,5000,2509.599955,0.150215488,5.083619702,4.706638922,1,1.76,0.868,4,5000,1010.687132,3000,6,9000,2508.798121,0.150211358,9.06407364,8.687223668,1500,0.868,1.786,4,5000,1521.036453,1500,1.76,1.786,4,5000,1510.846494,3000,1500,500,5,5,5,5000,5000,5000,16.44868325,16.42574656,16.41735727,258,624,1301,3,33,4797.782707,8.11935242,2.726947509,18.94097906,2.741322697,0.439743853,0.18562416,2.714974262,16.59772603,221.4645011,81.44183767,0.192358351,3.131021133,3.090773742,5,4,117.5198083,122.8096081,2823.219516,5,-0.020363996,3.237148195,11.02191018,0,4,1,0.200200586,0.206212984,-36.25049551,9013.796647,10.24800355,8.182610058,15.60191174,6.464742165,7.421695062,7.363659461,131.4152527,7.382449556,9.182301708
FXLH,R118,FTPZQ01LPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_6_QT1,PASS,2019/12/5 19:10,2019/12/5 19:15,V1.2.2.0,,2.423822049,73,58.5,10.005,1.689330617,0.000571,4.806376391,55,58,10.004,1.909855035,0.000998,3000,6,5000,2509.597991,0.14999564,5.083560024,4.707131268,1,1.76,0.868,4,5000,1009.903001,3000,6,9000,2508.840219,0.149994793,9.064021432,8.687708463,1500,0.868,1.786,4,5000,1511.176644,1500,1.76,1.786,4,5000,1510.892212,3000,1500,500,5,5,5,5000,5000,5000,16.45301177,16.4362555,16.4258135,258,624,1301,3,33,4797.916983,8.953414834,2.717478312,18.93967598,2.742674398,0.455937517,0.188726264,2.734906982,16.59737595,221.5996427,81.48035384,0.196000163,3.144206424,3.092917986,5,4,117.6969509,121.7612602,2823.226976,5,-0.020027533,3.233731243,11.02323548,0,4,1,0.200354564,0.206400371,-36.24965739,9014.01294,10.24306109,8.184805356,15.61224885,6.462294031,7.439437346,7.377191052,131.4368768,7.384956037,9.223671515
