FATP-QT,V1.2.10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Durations,Version,List of Failing Tests,Read_FATP_SN,PPORION_OVP_OUT_16V_CURR,PPORION_OVP_OUT_5V2_CURR,PORION_RVP_OUT_-16V_CURR,SYS_IDBUS_6V_VBUS_5V2_CURR,SYS_IDBUS_6V_VBUS_0V_CURR,SYS_IDBUS_-5V2_VBUS_0V_CURR,Query SFC Lang,Read Lang Blob,Query MLB SN,Read MLB SN,KBM SN,WO NO,Unit LBL,Build EVENT,Build MATRIX CONFIG,UNIT#,S BUILD,USBC BOARD SN,BACKLIGHT SN,TRACKPAD SN,TOUCH FLEX SN,P line SN,KBD_HW_Layout,READ_HW_VERSION,FW_VERSION_L4R5,FW_VERSION_MTFW,FW_VERSION_CCG3,MIX FW,Production signed check,GreenPAK ID,OrionPWR_On_Sys Voltage,OrionPWR_SYS_CURRENT_ALL_RAILS,OrionPWR_SYS_CURRENT_IDLE,OrionPWR_SYS_CURRENT_LEDs_to_0PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_3P8PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_100PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_UserMax_brightness,OrionPWR_SYS_CURRENT_CAPSLOCK_ONLY,OrionPWR_SYS_CURRENT_MFI_ONLY,OrionPWR_SYS_CURRENT_BLC_ONLY,OrionPWR_SYS_CURRENT_USBC_AltPWR_ONLY,OrionPWR_SYS_CURRENT_TOUCH_ONLY,OrionPWR_SYS_CURRENT_Energy_Storage_ONLY,OrionPWR_SYS_CURRENT_Energy_Storage,USBC_PWR_On_Sys Voltage,USBC_PWR_SYS_CURRENT_ALL_RAILS,USBC_PWR_SYS_CURRENT_IDLE,USBC_PWR_SYS_CURRENT_CAPSLOCK_ONLY,USBC_PWR_SYS_CURRENT_BLC_ONLY,USBC_PWR_SYS_CURRENT_MFI_ONLY,USBC_PWR_SYS_CURRENT_TOUCH_ONLY,USBC_PWR_SYS_CURRENT_Energy_Storage_ONLY,USBC_PWR_SYS_CURRENT_LEDs_to_100PCT_brightness,USBC_PWR_SYS_CURRENT_Energy_Storage_5V,5W_5V_1P0A_BRICKID_System_Curr,5W_5V_1P0A_BRICKID_CAPABILITY_Type,5W_5V_1P0A_BRICKID_CAPABILITY_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_Curr,5W_5V_1P0A_BRICKID_CAPABILITY_DM_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_DP_Vol,10W_5V_1P5A_BRICKID_System_Curr,10W_5V_1P5A_BRICKID_CAPABILITY_Type,10W_5V_1P5A_BRICKID_CAPABILITY_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_Curr,10W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,12.5W_5V_1P5A_BRICKID_System_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_Type,12.5W_5V_1P5A_BRICKID_CAPABILITY_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,CC_Rp_Capability_Type-56kohm_5V,CC_Rp_Capability_VOL-56kohm_5V,CC_Rp_Capability_CURR-56kohm_5V,CC_Rp_Capability_Type-22kohm_5V,CC_Rp_Capability_VOL-22kohm_5V,CC_Rp_Capability_CURR-22kohm_5V,CC_Rp_Capability_Type-10kohm_5V,CC_Rp_Capability_VOL-10kohm_5V,CC_Rp_Capability_CURR-10kohm_5V,5V_2P5A_CURR_USBC_PD,5V_2P5A_Charge_Type,5V_2P5A_Charge_Voltage,5V_2P5A_Charge_Capability,5V_2P5A_Orion_Power_Voltage,5V_2P5A_DUT_Input_Voltage,5V_2P5A_DCR,9V_2P5A_CURR_USBC_PD,9V_2P5A_Charge_Type,9V_2P5A_Charge_Voltage,9V_2P5A_Charge_Capability,9V_2P5A_Orion_Power_Voltage,9V_2P5A_DUT_Input_Voltage,9V_2P5A_DCR,PHASE1_CONSUMER_DUT_MODE,PHASE2_SYS_CURRENT_pre_swap_consumer,PHASE2_C2P_DUT_MODE,PHASE2_SYS_CURRENT_pre_swap_provider,PHASE3_Vol_IDBUS_provider,PHASE5_P2C_DUT_MODE,Read_PHASE5_BROWNOUT_STATUS,4V8_DUT_Applied_Voltage,4V8_MCU_AID_Rise_Time,4V8_MCU_AID_Fall_Time,4V8_MCU_VOH,4V8_MCU_VOL,4V8_MCU_Bits_period,2V4_DUT_Applied_Voltage,2V4_MCU_AID_Rise_Time,2V4_MCU_AID_Fall_Time,2V4_MCU_VOH,2V4_MCU_VOL,2V4_MCU_Bits_period,USBC Mux_In_Tristar CCG3_USB_VID,USBC Mux_In_Tristar CCG3_USB_PID,USBC Mux_In_Tristar STM32L4_VID,USBC Mux_In_Tristar STM32L4_PID
Upper Limited-------->,,,,,,,,,,,,,,11.5,8,0.1,0.23,0.22,-30,,,,,,,,,,,,,,,,,,4,624,1301,258,,0,3,4900,9.7,0.3,3.05,18,235,87,20.5,0.3,3.05,3.35,3.9,0.7,3.05,9100,12,8.4,17.5,9.25,8.4,10.5,8.4,142,7.5,1040,4,5000,1,2.1,1.25,1540,4,5000,1500,1.25,2.1,1540,4,5000,1500,2.1,2.1,5,5000,500,5,5000,1500,5,5000,3000,2540,6,5000,3000,5,5.25,0.205,2540,6,9000,3000,8.9,9.3,0.205,5,135,4,140,2900,5,1,4.9,77,75,1.95,0.2,10.2,2.5,85,90,1.85,0.2,10.2,1452,622,1452,622
Lower Limited-------->,,,,,,,,,,,,,,10.5,2,-0.3,0.19,0.19,-40,,,,,,,,,,,,,,,,,,4,624,1301,258,,0,3,4750,8.1,0.14,2.55,15,205,75,17,0.14,2.55,2.8,2.7,0.2,2.55,8900,8,6.2,13.75,7.25,6.2,7.9,6.3,122,5.5,980,4,5000,1,1.5,0.6,1480,4,5000,1500,0.6,1.5,1480,4,5000,1500,1.5,1.5,5,5000,500,5,5000,1500,5,5000,3000,2480,6,5000,3000,4.4,5,0.12,2480,6,9000,3000,8.5,8.9,0.12,5,100,4,106,2760,5,1,4.7,40,40,1.8,0,9.8,2.35,35,62,1.5,0,9.8,1452,622,1452,622
Measurement Units---->,,,,,,,,,,,,,,mA,mA,mA,mA,mA,mA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,,NA,NA,mV,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,mV,mA,mA,mA,mA,mA,mA,mA,mA,mA,mA,NA,mV,A,V,V,mA,NA,mV,mA,V,V,mA,NA,mV,mA,V,V,NA,NA,NA,NA,NA,NA,NA,NA,NA,mA,NA,mV,mA,V,V,ohms,mA,NA,mV,mA,V,V,ohms,NA,mA,NA,mA,mV,NA,NA,V,ns,ns,V,V,us,V,ns,ns,V,V,us,NA,NA,NA,NA
FXLH,R118,FTPZR004PPHH,R118-EVT,R118-EVT_E1ATH-S2,,FXLH_F05-4FT-02_5_QT1,PASS,12-23-15:47:08,12-23-15:53:15,367.05,V1.2.10.1,PASS,FTPZR004PPHH,11.04496329,3.245029679,-0.021446239,0.204592368,0.198649266,-36.97308831,TH THAI,02 01 01 21 49 16 16,DLX94850042N6R54Y,DLX94850042N6R54Y,C4P9454001FJCPX3G,WMT-JB0011,R118-EVT_E1ATH-S2_C02034,R118-EVT,E1ATH-S2,C02034,R118-EVT_E1ATH-S2,DLX9484024FMW013B,GV29477003CN3LN5P,FM7944602SKN0LH2S+02J,CR1947201D5MW5D1V,DKB9487002GPQGL0E,33,4,624,1301,258," ""1.0.29""",0,3,4810.647773,8.845875363,0.220912436,2.814790433,16.84775105,220.3051927,81.57352957,18.78178928,0.247130145,2.814099871,3.11418827,3.256758483,0.505387284,2.860959078,9000.926872,10.1827802,7.431156424,15.61464066,8.245125257,7.447546802,9.251679676,7.49053838,131.5256984,6.598347449,1010.79009,4,5000,1,1.832,0.928,1511.623962,4,5000,1500,0.928,1.832,1510.836774,4,5000,1500,1.832,1.832,5,5000,500,5,5000,1500,5,5000,3000,2508.883827,6,5000,3000,4.632037021,5.064902264,0.172532996,2507.824554,6,9000,3000,8.624884777,9.054439979,0.171285986,5,117.9900331,4,123.3646567,2833.64375,5,1,4.818274959,55,54,1.911895858,0.002914,10.003,2.429006572,57.5,76,1.691601304,0.001109,10.006,1452,622,1452,622
FXLH,R118,FTPZR004PPHH,R118-EVT,R118-EVT_E1ATH-S2,,FXLH_F05-4FT-02_5_QT1,PASS,12-23-15:54:01,12-23-16:00:06,365.78,V1.2.10.1,PASS,FTPZR004PPHH,11.04593585,3.252519013,-0.021285905,0.204719392,0.198892311,-36.97399525,TH THAI,02 01 01 21 49 16 16,DLX94850042N6R54Y,DLX94850042N6R54Y,C4P9454001FJCPX3G,WMT-JB0011,R118-EVT_E1ATH-S2_C02034,R118-EVT,E1ATH-S2,C02034,R118-EVT_E1ATH-S2,DLX9484024FMW013B,GV29477003CN3LN5P,FM7944602SKN0LH2S+02J,CR1947201D5MW5D1V,DKB9487002GPQGL0E,33,4,624,1301,258," ""1.0.29""",0,3,4810.565519,8.925434756,0.220605906,2.83224472,16.81979874,220.2939388,81.55394579,18.78069558,0.247200332,2.815729542,3.111142265,3.345189907,0.487603395,2.838756068,9001.173579,10.24659417,7.436749809,15.61401416,8.233668904,7.44796769,9.347400537,7.490261898,131.5216213,6.600208244,1010.880648,4,5000,1,1.832,0.928,1522.530338,4,5000,1500,0.928,1.832,1510.982423,4,5000,1500,1.832,1.832,5,5000,500,5,5000,1500,5,5000,3000,2509.574969,6,5000,3000,4.635820703,5.06491722,0.170983741,2507.929019,6,9000,3000,8.627142525,9.054454931,0.17038457,5,117.0651225,4,123.3780477,2833.554018,5,1,4.818222615,55,54,1.911698736,0.003042,10.004,2.428931796,54.5,75,1.691088282,0.001043,10.005,1452,622,1452,622
FXLH,R118,FTPZR004PPHH,R118-EVT,R118-EVT_E1ATH-S2,,FXLH_F05-4FT-02_5_QT1,PASS,12-23-16:39:12,12-23-16:45:22,369.73,V1.2.10.1,PASS,FTPZR004PPHH,11.04745638,3.251357337,-0.021241406,0.204760837,0.19887116,-36.99816853,TH THAI,02 01 01 21 49 16 16,DLX94850042N6R54Y,DLX94850042N6R54Y,C4P9454001FJCPX3G,WMT-JB0011,R118-EVT_E1ATH-S2_C02034,R118-EVT,E1ATH-S2,C02034,R118-EVT_E1ATH-S2,DLX9484024FMW013B,GV29477003CN3LN5P,FM7944602SKN0LH2S+02J,CR1947201D5MW5D1V,DKB9487002GPQGL0E,33,4,624,1301,258," ""1.0.29""",0,3,4810.505698,8.831669665,0.221054179,2.814768427,16.82681136,219.0116554,81.44637687,18.78465087,0.24731163,2.818605855,3.142620278,3.238063099,0.501321482,2.839439478,9000.91192,10.22644206,7.431799528,15.61508992,8.256078649,7.448073121,9.317905717,7.493409009,131.532589,6.607854921,1010.963774,4,5000,1,1.832,0.928,1511.249425,4,5000,1500,0.928,1.832,1511.014975,4,5000,1500,1.832,1.832,5,5000,500,5,5000,1500,5,5000,3000,2509.683507,6,5000,3000,4.659883728,5.064677935,0.161292931,2509.58532,6,9000,3000,8.65015361,9.054320364,0.161049218,5,117.6327526,4,123.2973001,2831.520102,5,1,4.818245048,58,54,1.912405992,0.002833,10.009,2.429021528,54.5,78,1.693045209,0.001087,10.01,1452,622,1452,622
FXLH,R118,FTPZT00EPPHG,R118-EVT,R118-EVT_E1ATW-S3,,FXLH_F05-4FT-02_2_QT1,PASS,12-23-16:28:32,12-23-16:34:38,366.31,V1.2.10.1,PASS,FTPZT00EPPHG,11.06228856,3.27441135,-0.020120457,0.205407689,0.199493317,-37.45213601,TA TAIWANESE,02 01 01 12 49 16 16,DLX9485002ZN6R547,DLX9485002ZN6R547,C4P94540057JCPW3D,WMT-JC0001,R118-EVT_E1ATW-S3_C02048,R118-EVT,E1ATW-S3,C02048,R118-EVT_E1ATW-S3,DLX948401YPMW013N,GV29477003FN3LN5L,FM7944602R7N0LH27+02J,C47947301VFMW5D2Q,DKB94920004PQGL00,33,4,624,1301,258," ""1.0.29""",0,3,4804.323871,8.926392222,0.218753039,2.81197103,16.69090257,218.3559307,80.46136107,18.93802833,0.243506994,2.811695525,3.142499517,3.430347657,0.482208215,2.846898555,9000.319837,10.22995674,7.406319112,15.66385594,8.23430682,7.422004975,9.255054035,7.4655749,131.1774462,6.563270366,1010.783906,4,5000,1,1.78,0.85,1521.542698,4,5000,1500,0.85,1.78,1510.932523,4,5000,1500,1.78,1.78,5,5000,500,5,5000,1500,5,5000,3000,2509.603042,6,5000,3000,4.698120882,5.06673189,0.146880204,2508.023148,6,9000,3000,8.682181669,9.049817288,0.146583822,5,116.0021895,4,122.0984643,2826.737576,5,1,4.812165864,56,50,1.905134223,0.002545,9.969,2.425309695,54.5,78,1.685272084,0.000214,9.973,1452,622,1452,622
FXLH,R118,FTPZT00EPPHG,R118-EVT,R118-EVT_E1ATW-S3,,FXLH_F05-4FT-02_2_QT1,PASS,12-23-16:34:45,12-23-16:40:56,371.64,V1.2.10.1,PASS,FTPZT00EPPHG,11.06254018,3.274184816,-0.019854214,0.20545556,0.199518474,-37.44946228,TA TAIWANESE,02 01 01 12 49 16 16,DLX9485002ZN6R547,DLX9485002ZN6R547,C4P94540057JCPW3D,WMT-JC0001,R118-EVT_E1ATW-S3_C02048,R118-EVT,E1ATW-S3,C02048,R118-EVT_E1ATW-S3,DLX948401YPMW013N,GV29477003FN3LN5L,FM7944602R7N0LH27+02J,C47947301VFMW5D2Q,DKB94920004PQGL00,33,4,624,1301,258," ""1.0.29""",0,3,4804.667425,8.974866947,0.218698621,2.811945201,16.68313476,218.4081064,80.48325732,18.93843574,0.243475738,2.813072743,3.142064889,3.447856824,0.479709685,2.847563991,9000.454239,10.11770223,7.412793093,15.66463883,8.231255021,7.424036977,9.263827133,7.472124055,131.1960107,6.564940551,1010.8173,4,5000,1,1.78,0.85,1521.56879,4,5000,1500,0.85,1.78,1511.012023,4,5000,1500,1.78,1.78,5,5000,500,5,5000,1500,5,5000,3000,2509.170722,6,5000,3000,4.70000296,5.066918604,0.146229844,2508.079989,6,9000,3000,8.683801966,9.049989025,0.146002943,5,116.2668187,4,122.5661009,2826.707702,5,1,4.812203206,56,51,1.90277469,0.00219,9.974,2.425317164,55.5,78,1.691830251,0.000702,9.973,1452,622,1452,622
FXLH,R118,FTPZT00EPPHG,R118-EVT,R118-EVT_E1ATW-S3,,FXLH_F05-4FT-02_2_QT1,PASS,12-23-16:41:26,12-23-16:47:35,368.78,V1.2.10.1,PASS,FTPZT00EPPHG,11.06285064,3.274701875,-0.019842551,0.205654006,0.19958387,-37.44910586,TA TAIWANESE,02 01 01 12 49 16 16,DLX9485002ZN6R547,DLX9485002ZN6R547,C4P94540057JCPW3D,WMT-JC0001,R118-EVT_E1ATW-S3_C02048,R118-EVT,E1ATW-S3,C02048,R118-EVT_E1ATW-S3,DLX948401YPMW013N,GV29477003FN3LN5L,FM7944602R7N0LH27+02J,C47947301VFMW5D2Q,DKB94920004PQGL00,33,4,624,1301,258," ""1.0.29""",0,3,4804.547928,8.860992807,0.21879341,2.812417809,16.68010295,218.4080336,80.47512568,18.95416807,0.243779368,2.811446155,3.141705854,3.44430844,0.478933363,2.843752723,9000.536374,10.22724978,7.406306253,15.66456766,8.230116062,7.42387426,9.245193658,7.463285807,131.2470535,6.579333952,1010.84357,4,5000,1,1.78,0.85,1521.571217,4,5000,1500,0.842,1.78,1511.053921,4,5000,1500,1.78,1.78,5,5000,500,5,5000,1500,5,5000,3000,2509.688526,6,5000,3000,4.700958936,5.066769232,0.145759242,2508.079744,6,9000,3000,8.684623315,9.049959158,0.145663567,5,116.1326411,4,123.0532125,2826.655422,5,1,4.812173332,56,51,1.90536869,0.002003,9.976,2.425279821,55.5,78,1.685598804,0.000371,9.973,1452,622,1452,622
FXLH,R118,FTPZR00EPPHH,R118-EVT,R118-EVT_E1ATH-S2,,FXLH_F05-4FT-02_6_QT1,PASS,12-23-14:58:24,12-23-15:04:34,369.51,V1.2.10.1,PASS,FTPZR00EPPHH,11.0773562,3.267422939,-0.019849377,0.205700051,0.199804678,-37.28981796,TH THAI,02 01 01 21 49 16 16,DLX9485004PN6R54B,DLX9485004PN6R54B,C4P9454005EJCPX35,WMT-JB0011,R118-EVT_E1ATH-S2_C02045,R118-EVT,E1ATH-S2,C02045,R118-EVT_E1ATH-S2,DLX94840249MW013H,GV294770034N3LN5X,FM7944602WPN0LH2A+02J,CR1947201DQMW5D1A,DKB9487002LPQGL0A,33,4,624,1301,258," ""1.0.29""",0,3,4801.67672,8.797630203,0.220752516,2.810010583,16.82943996,221.0888232,81.64053278,18.9948221,0.245260285,2.795136742,3.123574619,3.422772947,0.508176472,2.823819223,8999.961337,10.33446949,7.49187659,15.73847505,8.295867577,7.506326692,9.373363873,7.546285226,131.9806283,6.901098705,1011.144215,4,5000,1,1.786,0.876,1516.142393,4,5000,1500,0.876,1.806,1511.315358,4,5000,1500,1.806,1.806,5,5000,500,5,5000,1500,5,5000,3000,2509.164551,6,5000,3000,4.664177764,5.067417026,0.160706583,2508.489838,6,9000,3000,8.648768219,9.05102892,0.160359709,5,118.7343772,4,124.0333939,2830.485357,5,1,4.810113749,54,53,1.913927919,0.001262,9.985,2.425754136,54.5,78,1.703269106,0.00084,9.986,1452,622,1452,622
