TEST_GROUP,TEST_ITEM,CONDITIONAL_ITEM,DESCRIPTION,FUNCTION,PARAMETER,PDCA_NAME,,GLOBAL_VARIABLE,EXPECTED_VALUE,UNIT,PDCA_TYPE,TIMEOUT,ERROR_MSG,SA_FCM,NOTES,,
TRUE,FIXTURE_SETUP,,Set Fixture on,FIXTURE,top cy on,,,,,,,,,TRUE,,,
INIT,FIXTURE_SETUP,,Enable SPAM Debug Power,SPAM,./spamtool dbgpwron /dev/cu.usbserial*,,,,,,,,,TRUE,,,
INIT,CONSOLE_SETTING,,Disable consoleformat color,DIAGS,consoleformat --sink serial --dis --o color,,,,,,,,,TRUE,,,
INIT,ALIAS_SETTING,,Alias Setting,DIAGS,script radios.txt,,,,,,,,,TRUE,,,
INIT,SCAN_FCM_SN,,Save LCM SN,DIAGS,INPUTSN,,,LCM_SN,,,,,,TRUE,,,
INIT,SCAN_FCM_SN,,Auto Scan & Save LCM SN,SCANNER,Scanner N,,,LCM_SN,,,,,,FALSE,,,
INIT,GET_INFO,,Save Display SN,"SubStr(0,17)",LCM_SN,DISPLAY_SN,,DISPLAY_SN,,,ATTRIBUTE,,,TRUE,,,
INIT,GET_INFO,,Save FCM Vendor ,"SubStr(15,1)",DISPLAY_SN,FCM_VENDOR,,FCM_VENDOR,,,ATTRIBUTE,,,TRUE,,,
INIT,GET_INFO,,Parse Display Config,"SubStr(17,3)",LCM_SN,DISPLAY_CONFIG,,DISPLAY_CONFIG,,,,,,FALSE,,,
INIT,GET_SW_INFO,,Turn off thermal monitor,DIAGS,thermalmonitor --off,,,,,,,,,TRUE,,,
INIT,GET_SW_INFO,,Read EFI Diags Version,DIAGS,version,,,,,,,,,TRUE,,,
INIT,GET_SW_INFO,,Parse EFI Diags Version,PARSE,DIAGS_VERSION,DIAGS_VERSION,,DIAGS_VERSION,,,ATTRIBUTE,,,TRUE,,,
INIT,GET_SW_INFO,,Parse EFI Diags Build Date,PARSE,DIAGS_BUILD_TIMESTAMP,DIAGS_BUILD_TIMESTAMP,,DIAGS_BUILD_TIMESTAMP,,,ATTRIBUTE,,,TRUE,,,
INIT,GET_MLB_INFO,,Read MLB Serial Number,DIAGS,syscfg print MLB#,,,,,,,,,TRUE,,,
INIT,GET_MLB_INFO,,Parse MLB Serial Number,PARSE,MLB_SN,MLBSN,,,,,ATTRIBUTE,,,TRUE,,,
INIT,GET_MLB_INFO,,Read MLB Board REV,DIAGS,boardrev,,,,,,,,,TRUE,,,
INIT,GET_MLB_INFO,,Parse MLB Board REV,PARSE,BOARD_REV,BOARD_REV,,BOARD_REV,,,ATTRIBUTE,,,TRUE,,,
INIT,GET_MLB_INFO,,Read MLB Board ID,DIAGS,boardid,,,,,,,,,TRUE,,,
INIT,GET_MLB_INFO,,Parse MLBBoard ID,PARSE,BOARD_ID,BOARD_ID,,BOARD_ID,,,ATTRIBUTE,,,TRUE,,,
