TEST_GROUP,TEST_ITEM,CONDITIONAL_ITEM,DESCRIPTION,FUNCTION,PARAMETER,PDCA_NAME,COMBINEC,GLOBAL_VARIABLE,EXPECTED_VALUE,UNIT,PDCA_TYPE,TIMEOUT,ERROR_MSG,SA_QT0,QT0,QT1,QT1REL,TILT1,QT2,QT2REL,QT2_POSTROXER,QT_SPIRIT,,,
FIXTURE,FIXTURE_SETUP,,Disable SPAM Debug Power,SPAM,./spamtool dbgpwroff /dev/cu.usbserial*,,,,,,,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,qt1 and qt0 can do it in the overlay code for saving time,,
INIT,CONSOLE_SETTING,,Disable consoleformat color,DIAGS,consoleformat --sink serial --dis --o color,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
FIXTURE,FIXTURE_SETUP,,Fixture Reset,FIXTURE,Reset,,,,PASS,,,10,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,,
FIXTURE,FIXTURE_SETUP,,Fixture speaker module on,FIXTURE,Push Cy on,,,,PASS,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,,
FIXTURE,DBGPWR_OFF,,Turn OFF Puck using relay board,FIXTURE,usb off,,,,PASS,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,,
FIXTURE,DBGPWR_OFF,,Turn OFF Puck using relay board,FIXTURE,tt_charge_off,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
FIXTURE,FIXTURE_SETUP,,Grating Sensor Check,FIXTURE,start test,,,,OK,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,
START_CB,START_CONTROLBIT,,Write Control Bit Information (station specific command),FIXTURE,(station specific command),,,,,,,,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,
START_CB,START_CONTROLBIT,,Read Control Bit Information (station specific command),FIXTURE,(station specific command),,,,,,,,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,
INIT,ALIAS_SETTING,,Alias Setting,DIAGS,script radios.txt,,,,,,,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,STOCKHOLM_SE,,Initialize Stockholm,DIAGS,stockholm --off;stockholm --on;stockholm --init,,,,,,,20,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
INIT,STOCKHOLM_SE,,PRODUCTION_SE,DIAGS,stockholm --sefuse_type,,,,,,,20,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
INIT,STOCKHOLM_SE,,PRODUCTION_SE,PARSE,SEFUSE_TYPE,PRODUCTION_SE,,,,,ATTRIBUTE,20,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
INIT,SET_NVRAM,,Set disable-rtbuddy-fw to 1,DIAGS,"nvram --set disable-rtbuddy-fw ""1""",,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
INIT,SET_NVRAM,,NVRAM save,DIAGS,nvram --save,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
INIT,GET_SW_INFO,,Turn off thermal monitor,DIAGS,thermalmonitor --off,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
INIT,SPAM_SETTING,,Turn off Spam device,DIAGS,device -k Spam -e init,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,SPAM_SETTING,,Turn off Spam device,DIAGS,device -k Spam -e stop,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_SW_INFO,,Read EFI Diags Version,DIAGS,version,,GET_DUT_INFO_COMBINE,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_SW_INFO,,Parse EFI Diags Version,PARSE,DIAGS_VERSION,DIAGS_VERSION,GET_DUT_INFO_COMBINE,DIAGS_VERSION,,,ATTRIBUTE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_SW_INFO,,Parse EFI Diags Build Date,PARSE,DIAGS_BUILD_TIMESTAMP,DIAGS_BUILD_TIMESTAMP,GET_DUT_INFO_COMBINE,DIAGS_BUILD_TIMESTAMP,,,ATTRIBUTE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_SW_INFO,,Read Software Info,DIAGS,blockdevice,,GET_DUT_INFO_COMBINE,,,,,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_SW_INFO,,Parse Software Info,PARSE,BLOCK_DEVICE_FILE_SYSTEM_DEVICE,BLOCK_DEVICE,GET_DUT_INFO_COMBINE,,,,,,,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_MLB_INFO,,Read MLB Serial Number,DIAGS,syscfg print MLB#,,GET_DUT_INFO_COMBINE,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_MLB_INFO,,Parse MLB Serial Number,PARSE,MLB_SN,MLBSN,GET_DUT_INFO_COMBINE,,,,ATTRIBUTE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
INIT,GET_MLB_INFO,,Read MLB Board REV,DIAGS,boardrev,,GET_DUT_INFO_COMBINE,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
